Mito,Nuc,Sex,Rep,Slope,Build,Vial,Set,Treatment,Stock
375,375,F,1,2.1872,parental,1,1,Rotenone,375
375,375,F,1,2.3031,parental,2,1,Rotenone,375
375,375,F,1,2.3474,parental,3,1,Rotenone,375
375,375,F,1,2.5902,parental,4,1,Rotenone,375
375,375,F,1,2.7419,parental,5,1,Rotenone,375
375,375,F,1,2.4779,parental,6,1,Rotenone,375
375,375,F,2,3.2607,parental,1,1,Rotenone,375
375,375,F,2,2.3755,parental,2,1,Rotenone,375
375,375,F,2,2.2385,parental,3,1,Rotenone,375
375,375,F,2,3.7217,parental,4,1,Rotenone,375
375,375,F,2,2.7367,parental,5,1,Rotenone,375
375,375,F,2,2.8046,parental,6,1,Rotenone,375
375,375,F,3,2.4678,parental,1,1,Rotenone,375
375,375,F,3,3.0451,parental,2,1,Rotenone,375
375,375,F,3,2.7371,parental,3,1,Rotenone,375
375,375,F,3,3.0091,parental,4,1,Rotenone,375
375,375,F,3,2.1848,parental,5,1,Rotenone,375
375,375,F,3,3.4954,parental,6,1,Rotenone,375
375,375,F,1,2.8667,parental,1,1,Control,375
375,375,F,1,3.431,parental,2,1,Control,375
375,375,F,1,3.3871,parental,3,1,Control,375
375,375,F,1,2.5355,parental,4,1,Control,375
375,375,F,1,3.2369,parental,5,1,Control,375
375,375,F,1,3.1928,parental,6,1,Control,375
375,375,F,2,3.4956,parental,1,1,Control,375
375,375,F,2,2.4043,parental,2,1,Control,375
375,375,F,2,3.7438,parental,3,1,Control,375
375,375,F,2,3.1171,parental,4,1,Control,375
375,375,F,2,3.9037,parental,5,1,Control,375
375,375,F,2,2.6959,parental,6,1,Control,375
375,375,F,3,2.6303,parental,1,1,Control,375
375,375,F,3,2.8015,parental,2,1,Control,375
375,375,F,3,3.6808,parental,3,1,Control,375
375,375,F,3,2.6089,parental,4,1,Control,375
375,375,F,3,3.7323,parental,5,1,Control,375
375,375,F,3,4.0779,parental,6,1,Control,375
375,375,M,1,3.7937,parental,1,1,Rotenone,375
375,375,M,1,3.5062,parental,2,1,Rotenone,375
375,375,M,1,3.3233,parental,3,1,Rotenone,375
375,375,M,1,4.8897,parental,4,1,Rotenone,375
375,375,M,1,3.0022,parental,5,1,Rotenone,375
375,375,M,1,2.4203,parental,6,1,Rotenone,375
375,375,M,2,3.0544,parental,1,1,Rotenone,375
375,375,M,2,3.7859,parental,2,1,Rotenone,375
375,375,M,2,3.1275,parental,3,1,Rotenone,375
375,375,M,2,4.1821,parental,4,1,Rotenone,375
375,375,M,2,3.2809,parental,5,1,Rotenone,375
375,375,M,2,4.2599,parental,6,1,Rotenone,375
375,375,M,3,2.7126,parental,1,1,Rotenone,375
375,375,M,3,4.1643,parental,2,1,Rotenone,375
375,375,M,3,4.0775,parental,3,1,Rotenone,375
375,375,M,3,2.9975,parental,4,1,Rotenone,375
375,375,M,3,3.7202,parental,5,1,Rotenone,375
375,375,M,3,2.7598,parental,6,1,Rotenone,375
375,375,M,1,2.6123,parental,1,1,Control,375
375,375,M,1,2.6069,parental,2,1,Control,375
375,375,M,1,2.8303,parental,3,1,Control,375
375,375,M,1,3.2791,parental,4,1,Control,375
375,375,M,1,2.5654,parental,5,1,Control,375
375,375,M,1,2.9342,parental,6,1,Control,375
375,375,M,2,2.5954,parental,1,1,Control,375
375,375,M,2,2.8123,parental,2,1,Control,375
375,375,M,2,3.0679,parental,3,1,Control,375
375,375,M,2,4.0127,parental,4,1,Control,375
375,375,M,2,2.2273,parental,5,1,Control,375
375,375,M,2,3.7217,parental,6,1,Control,375
375,375,M,3,2.552,parental,1,1,Control,375
375,375,M,3,2.8985,parental,2,1,Control,375
375,375,M,3,1.9544,parental,3,1,Control,375
375,375,M,3,3.9017,parental,4,1,Control,375
375,375,M,3,2.6678,parental,5,1,Control,375
375,375,M,3,2.0282,parental,6,1,Control,375
Bei54,375,F,1,2.0228,A,1,1,Rotenone,30A
Bei54,375,F,1,2.6701,A,2,1,Rotenone,30A
Bei54,375,F,1,2.988,A,3,1,Rotenone,30A
Bei54,375,F,1,2.8067,A,4,1,Rotenone,30A
Bei54,375,F,1,3.6965,A,5,1,Rotenone,30A
Bei54,375,F,1,3.6842,A,6,1,Rotenone,30A
Bei54,375,F,1,3.8475,B,1,1,Rotenone,30B
Bei54,375,F,1,4.0633,B,2,1,Rotenone,30B
Bei54,375,F,1,3.0622,B,3,1,Rotenone,30B
Bei54,375,F,1,3.7136,B,4,1,Rotenone,30B
Bei54,375,F,1,4.0775,B,5,1,Rotenone,30B
Bei54,375,F,1,3.3232,B,6,1,Rotenone,30B
Bei54,375,F,2,1.7856,A,1,1,Rotenone,30A
Bei54,375,F,2,3.6679,A,2,1,Rotenone,30A
Bei54,375,F,2,3.3291,A,3,1,Rotenone,30A
Bei54,375,F,2,2.4997,A,4,1,Rotenone,30A
Bei54,375,F,2,3.0438,A,5,1,Rotenone,30A
Bei54,375,F,2,2.2896,A,6,1,Rotenone,30A
Bei54,375,F,2,4.9383,B,1,1,Rotenone,30B
Bei54,375,F,2,3.5469,B,2,1,Rotenone,30B
Bei54,375,F,2,3.2051,B,3,1,Rotenone,30B
Bei54,375,F,2,4.4471,B,4,1,Rotenone,30B
Bei54,375,F,2,2.9025,B,5,1,Rotenone,30B
Bei54,375,F,2,3.9019,B,6,1,Rotenone,30B
Bei54,375,F,3,1.8725,A,1,1,Rotenone,30A
Bei54,375,F,3,2.8944,A,2,1,Rotenone,30A
Bei54,375,F,3,3.0557,A,3,1,Rotenone,30A
Bei54,375,F,3,2.7211,A,4,1,Rotenone,30A
Bei54,375,F,3,3.1091,A,5,1,Rotenone,30A
Bei54,375,F,3,3.7487,A,6,1,Rotenone,30A
Bei54,375,F,3,3.2643,B,1,1,Rotenone,30B
Bei54,375,F,3,2.6323,B,2,1,Rotenone,30B
Bei54,375,F,3,3.9069,B,3,1,Rotenone,30B
Bei54,375,F,3,3.0625,B,4,1,Rotenone,30B
Bei54,375,F,3,4.1479,B,5,1,Rotenone,30B
Bei54,375,F,3,4.5574,B,6,1,Rotenone,30B
Bei54,375,F,1,4.4006,A,1,1,Control,30A
Bei54,375,F,1,4.2635,A,2,1,Control,30A
Bei54,375,F,1,2.47,A,3,1,Control,30A
Bei54,375,F,1,3.0656,A,4,1,Control,30A
Bei54,375,F,1,1.5201,A,5,1,Control,30A
Bei54,375,F,1,2.9014,A,6,1,Control,30A
Bei54,375,F,1,4.2928,B,1,1,Control,30B
Bei54,375,F,1,3.9249,B,2,1,Control,30B
Bei54,375,F,1,4.1315,B,3,1,Control,30B
Bei54,375,F,1,1.9901,B,4,1,Control,30B
Bei54,375,F,1,3.3091,B,5,1,Control,30B
Bei54,375,F,1,3.5793,B,6,1,Control,30B
Bei54,375,F,2,2.5411,A,1,1,Control,30A
Bei54,375,F,2,3.2531,A,2,1,Control,30A
Bei54,375,F,2,1.7275,A,3,1,Control,30A
Bei54,375,F,2,5.8903,A,4,1,Control,30A
Bei54,375,F,2,2.0012,A,5,1,Control,30A
Bei54,375,F,2,2.2752,A,6,1,Control,30A
Bei54,375,F,2,4.1909,B,1,1,Control,30B
Bei54,375,F,2,2.736,B,2,1,Control,30B
Bei54,375,F,2,3.5613,B,3,1,Control,30B
Bei54,375,F,2,3.3939,B,4,1,Control,30B
Bei54,375,F,2,4.662,B,5,1,Control,30B
Bei54,375,F,2,3.071,B,6,1,Control,30B
Bei54,375,F,3,3.7928,A,1,1,Control,30A
Bei54,375,F,3,5.0238,A,2,1,Control,30A
Bei54,375,F,3,2.6057,A,3,1,Control,30A
Bei54,375,F,3,2.8325,A,4,1,Control,30A
Bei54,375,F,3,1.6843,A,5,1,Control,30A
Bei54,375,F,3,2.4541,A,6,1,Control,30A
Bei54,375,F,3,4.5149,B,1,1,Control,30B
Bei54,375,F,3,4.2061,B,2,1,Control,30B
Bei54,375,F,3,3.7273,B,3,1,Control,30B
Bei54,375,F,3,3.6518,B,4,1,Control,30B
Bei54,375,F,3,3.5019,B,5,1,Control,30B
Bei54,375,F,3,3.7897,B,6,1,Control,30B
Bei54,375,M,1,3.9123,A,1,1,Rotenone,30A
Bei54,375,M,1,3.5986,A,2,1,Rotenone,30A
Bei54,375,M,1,3.4475,A,3,1,Rotenone,30A
Bei54,375,M,1,3.2713,A,4,1,Rotenone,30A
Bei54,375,M,1,4.2988,A,5,1,Rotenone,30A
Bei54,375,M,1,3.0735,A,6,1,Rotenone,30A
Bei54,375,M,1,4.4082,B,1,1,Rotenone,30B
Bei54,375,M,1,3.3662,B,2,1,Rotenone,30B
Bei54,375,M,1,3.5908,B,3,1,Rotenone,30B
Bei54,375,M,1,3.4841,B,4,1,Rotenone,30B
Bei54,375,M,1,5.1266,B,5,1,Rotenone,30B
Bei54,375,M,1,2.3954,B,6,1,Rotenone,30B
Bei54,375,M,2,4.0934,A,1,1,Rotenone,30A
Bei54,375,M,2,3.9202,A,2,1,Rotenone,30A
Bei54,375,M,2,2.929,A,3,1,Rotenone,30A
Bei54,375,M,2,2.1557,A,4,1,Rotenone,30A
Bei54,375,M,2,3.0632,A,5,1,Rotenone,30A
Bei54,375,M,2,3.3755,A,6,1,Rotenone,30A
Bei54,375,M,2,3.7433,B,1,1,Rotenone,30B
Bei54,375,M,2,3.6875,B,2,1,Rotenone,30B
Bei54,375,M,2,3.404,B,3,1,Rotenone,30B
Bei54,375,M,2,3.7103,B,4,1,Rotenone,30B
Bei54,375,M,2,5.1968,B,5,1,Rotenone,30B
Bei54,375,M,2,3.8966,B,6,1,Rotenone,30B
Bei54,375,M,3,3.2976,A,1,1,Rotenone,30A
Bei54,375,M,3,2.603,A,2,1,Rotenone,30A
Bei54,375,M,3,4.0007,A,3,1,Rotenone,30A
Bei54,375,M,3,3.8767,A,4,1,Rotenone,30A
Bei54,375,M,3,3.4837,A,5,1,Rotenone,30A
Bei54,375,M,3,3.0013,A,6,1,Rotenone,30A
Bei54,375,M,4,2.9455,B,1,1,Rotenone,30B
Bei54,375,M,4,3.1273,B,2,1,Rotenone,30B
Bei54,375,M,4,3.1351,B,3,1,Rotenone,30B
Bei54,375,M,4,3.1505,B,4,1,Rotenone,30B
Bei54,375,M,4,3.9382,B,5,1,Rotenone,30B
Bei54,375,M,4,4.7488,B,6,1,Rotenone,30B
Bei54,375,M,1,5.063,A,1,1,Control,30A
Bei54,375,M,1,1.818,A,2,1,Control,30A
Bei54,375,M,1,2.7479,A,3,1,Control,30A
Bei54,375,M,1,3.8763,A,4,1,Control,30A
Bei54,375,M,1,2.7275,A,5,1,Control,30A
Bei54,375,M,1,4.0783,A,6,1,Control,30A
Bei54,375,M,1,3.3151,B,1,1,Control,30B
Bei54,375,M,1,3.7087,B,2,1,Control,30B
Bei54,375,M,1,2.6361,B,3,1,Control,30B
Bei54,375,M,1,3.4956,B,4,1,Control,30B
Bei54,375,M,1,4.3056,B,5,1,Control,30B
Bei54,375,M,1,4.2592,B,6,1,Control,30B
Bei54,375,M,2,2.507,A,1,1,Control,30A
Bei54,375,M,2,2.9115,A,2,1,Control,30A
