Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,build,vial
375,375,F,070423R375,1,375_375_F_070423R375__1,35,85,2.1872,42.9786,0.9901,0,0.0246,R,parental,1
375,375,F,070423R375,1,375_375_F_070423R375__2,71,121,2.3031,26.0727,0.9908,0,0.025,R,parental,2
375,375,F,070423R375,1,375_375_F_070423R375__3,92,142,2.3474,-8.1658,0.987,0,0.0304,R,parental,3
375,375,F,070423R375,1,375_375_F_070423R375__4,32,82,2.5902,28.4039,0.9836,0,0.0377,R,parental,4
375,375,F,070423R375,1,375_375_F_070423R375__5,88,138,2.7419,-25.9919,0.9889,0,0.0328,R,parental,5
375,375,F,070423R375,1,375_375_F_070423R375__6,26,76,2.4779,21.4068,0.9895,0,0.0287,R,parental,6
375,375,F,070423R375,2,375_375_F_070423R375__1,2,52,3.2607,36.7586,0.9943,0,0.0276,R,parental,1
375,375,F,070423R375,2,375_375_F_070423R375__2,7,57,2.3755,75.9969,0.9634,0,0.0525,R,parental,2
375,375,F,070423R375,2,375_375_F_070423R375__3,45,95,2.2385,27.2433,0.9796,0,0.0365,R,parental,3
375,375,F,070423R375,2,375_375_F_070423R375__4,67,117,3.7217,-35.498,0.9843,0,0.0529,R,parental,4
375,375,F,070423R375,2,375_375_F_070423R375__5,46,96,2.7367,24.23,0.9951,0,0.0216,R,parental,5
375,375,F,070423R375,2,375_375_F_070423R375__6,8,58,2.8046,48.7598,0.9932,0,0.0261,R,parental,6
375,375,F,070423R375,3,375_375_F_070423R375__1,14,64,2.4678,37.8827,0.9835,0,0.036,R,parental,1
375,375,F,070423R375,3,375_375_F_070423R375__2,32,82,3.0451,39.0366,0.9922,0,0.0303,R,parental,2
375,375,F,070423R375,3,375_375_F_070423R375__3,69,119,2.7371,9.8474,0.9889,0,0.0326,R,parental,3
375,375,F,070423R375,3,375_375_F_070423R375__4,24,74,3.0091,25.3486,0.9841,0,0.0431,R,parental,4
375,375,F,070423R375,3,375_375_F_070423R375__5,22,72,2.1848,30.8556,0.9851,0,0.0303,R,parental,5
375,375,F,070423R375,3,375_375_F_070423R375__6,57,107,3.4954,-15.3412,0.993,0,0.033,R,parental,6
375,375,F,70323375,1,375_375_F_070323375__1,72,122,2.8667,8.7216,0.982,0,0.0438,C,parental,1
375,375,F,70323375,1,375_375_F_070323375__2,51,101,3.431,7.8397,0.9982,0,0.0165,C,parental,2
375,375,F,70323375,1,375_375_F_070323375__3,36,86,3.3871,14.2753,0.9934,0,0.0311,C,parental,3
375,375,F,70323375,1,375_375_F_070323375__4,58,108,2.5355,18.336,0.9811,0,0.0397,C,parental,4
375,375,F,70323375,1,375_375_F_070323375__5,79,129,3.2369,0.5038,0.9832,0,0.0477,C,parental,5
375,375,F,70323375,1,375_375_F_070323375__6,76,126,3.1928,7.3217,0.9957,0,0.0237,C,parental,6
375,375,F,70323375,2,375_375_F_070323375__1,81,131,3.4956,-19.9955,0.9981,0,0.0173,C,parental,1
375,375,F,70323375,2,375_375_F_070323375__2,23,73,2.4043,47.2671,0.9934,0,0.022,C,parental,2
375,375,F,70323375,2,375_375_F_070323375__3,37,87,3.7438,37.5677,0.9935,0,0.0339,C,parental,3
375,375,F,70323375,2,375_375_F_070323375__4,35,85,3.1171,46.2917,0.9934,0,0.0287,C,parental,4
375,375,F,70323375,2,375_375_F_070323375__5,43,93,3.9037,20.7402,0.9888,0,0.0467,C,parental,5
375,375,F,70323375,2,375_375_F_070323375__6,13,63,2.6959,50.0311,0.9886,0,0.0326,C,parental,6
375,375,F,70323375,3,375_375_F_070323375__1,19,69,2.6303,13.2058,0.989,0,0.0313,C,parental,1
375,375,F,70323375,3,375_375_F_070323375__2,40,90,2.8015,33.9808,0.9802,0,0.0449,C,parental,2
375,375,F,70323375,3,375_375_F_070323375__3,15,65,3.6808,52.4983,0.9765,0,0.0644,C,parental,3
375,375,F,70323375,3,375_375_F_070323375__4,27,77,2.6089,32.95,0.9828,0,0.0389,C,parental,4
375,375,F,70323375,3,375_375_F_070323375__5,75,125,3.7323,5.1355,0.9941,0,0.0324,C,parental,5
375,375,F,70323375,3,375_375_F_070323375__6,88,138,4.0779,-42.1727,0.9901,0,0.046,C,parental,6
375,375,M,070423R375,1,375_375_M_070423R375__1,34,84,3.7937,26.8343,0.9892,0,0.0446,R,parental,1
375,375,M,070423R375,1,375_375_M_070423R375__2,54,104,3.5062,17.5668,0.9785,0,0.0586,R,parental,2
375,375,M,070423R375,1,375_375_M_070423R375__3,13,63,3.3233,48.9938,0.9665,0,0.07,R,parental,3
375,375,M,070423R375,1,375_375_M_070423R375__4,45,95,4.8897,-2.7081,0.9877,0,0.0613,R,parental,4
375,375,M,070423R375,1,375_375_M_070423R375__5,2,52,3.0022,65.6104,0.9895,0,0.0347,R,parental,5
375,375,M,070423R375,1,375_375_M_070423R375__6,53,103,2.4203,36.5602,0.9677,0,0.05,R,parental,6
375,375,M,070423R375,2,375_375_M_070423R375__1,1,51,3.0544,61.7367,0.981,0,0.048,R,parental,1
375,375,M,070423R375,2,375_375_M_070423R375__2,3,53,3.7859,92.1404,0.9656,0,0.081,R,parental,2
375,375,M,070423R375,2,375_375_M_070423R375__3,35,85,3.1275,66.3278,0.9441,0,0.0866,R,parental,3
375,375,M,070423R375,2,375_375_M_070423R375__4,36,86,4.1821,53.7236,0.9929,0,0.0397,R,parental,4
375,375,M,070423R375,2,375_375_M_070423R375__5,72,122,3.2809,62.3487,0.9831,0,0.0486,R,parental,5
375,375,M,070423R375,2,375_375_M_070423R375__6,77,127,4.2599,-26.7676,0.9884,0,0.0519,R,parental,6
375,375,M,070423R375,3,375_375_M_070423R375__1,0,50,2.7126,67.7043,0.9678,0,0.056,R,parental,1
375,375,M,070423R375,3,375_375_M_070423R375__2,9,59,4.1643,57.8489,0.9939,0,0.0367,R,parental,2
375,375,M,070423R375,3,375_375_M_070423R375__3,33,83,4.0775,15.2274,0.9912,0,0.0432,R,parental,3
375,375,M,070423R375,3,375_375_M_070423R375__4,45,95,2.9975,71.0048,0.9692,0,0.0604,R,parental,4
375,375,M,070423R375,3,375_375_M_070423R375__5,20,70,3.7202,11.1356,0.9928,0,0.0357,R,parental,5
375,375,M,070423R375,3,375_375_M_070423R375__6,45,95,2.7598,47.8489,0.9653,0,0.0593,R,parental,6
375,375,M,70323375,1,375_375_M_070323375__1,89,139,2.6123,19.7229,0.9601,0,0.0604,C,parental,1
375,375,M,70323375,1,375_375_M_070323375__2,18,68,2.6069,66.7978,0.9789,0,0.0432,C,parental,2
375,375,M,70323375,1,375_375_M_070323375__3,1,51,2.8303,63.1926,0.9918,0,0.029,C,parental,3
375,375,M,70323375,1,375_375_M_070323375__4,21,71,3.2791,30.0858,0.9564,0,0.0795,C,parental,4
375,375,M,70323375,1,375_375_M_070323375__5,15,65,2.5654,63.0295,0.9892,0,0.0302,C,parental,5
375,375,M,70323375,1,375_375_M_070323375__6,22,72,2.9342,49.0148,0.9783,0,0.0493,C,parental,6
375,375,M,70323375,2,375_375_M_070323375__1,21,71,2.5954,73.5614,0.9716,0,0.0502,C,parental,1
375,375,M,70323375,2,375_375_M_070323375__2,29,79,2.8123,24.1583,0.9764,0,0.0494,C,parental,2
375,375,M,70323375,2,375_375_M_070323375__3,10,60,3.0679,71.3019,0.9917,0,0.0315,C,parental,3
375,375,M,70323375,2,375_375_M_070323375__4,17,67,4.0127,43.2039,0.9844,0,0.057,C,parental,4
375,375,M,70323375,2,375_375_M_070323375__5,3,53,2.2273,65.9557,0.9833,0,0.0327,C,parental,5
375,375,M,70323375,2,375_375_M_070323375__6,48,98,3.7217,33.6636,0.9938,0,0.033,C,parental,6
375,375,M,70323375,3,375_375_M_070323375__1,77,127,2.552,16.1783,0.9813,0,0.0397,C,parental,1
375,375,M,70323375,3,375_375_M_070323375__2,54,104,2.8985,31.3112,0.9858,0,0.0392,C,parental,2
375,375,M,70323375,3,375_375_M_070323375__3,13,63,1.9544,63.0923,0.9788,0,0.0325,C,parental,3
375,375,M,70323375,3,375_375_M_070323375__4,60,110,3.9017,11.9137,0.981,0,0.0613,C,parental,4
375,375,M,70323375,3,375_375_M_070323375__5,64,114,2.6678,54.7817,0.9687,0,0.0543,C,parental,5
375,375,M,70323375,3,375_375_M_070323375__6,17,67,2.0282,31.8075,0.9917,0,0.0209,C,parental,6
Bei54,375,F,070423R,1,Bei54_375A_F_070423R__1,48,98,2.0228,29.0635,0.9789,0,0.0335,R,A,1
Bei54,375,F,070423R,1,Bei54_375A_F_070423R__2,78,128,2.6701,53.4002,0.9979,0,0.0139,R,A,2
Bei54,375,F,070423R,1,Bei54_375A_F_070423R__3,63,113,2.988,23.014,0.9899,0,0.0339,R,A,3
Bei54,375,F,070423R,1,Bei54_375A_F_070423R__4,62,112,2.8067,40.2664,0.9904,0,0.0311,R,A,4
Bei54,375,F,070423R,1,Bei54_375A_F_070423R__5,57,107,3.6965,6.5191,0.9928,0,0.0354,R,A,5
Bei54,375,F,070423R,1,Bei54_375A_F_070423R__6,66,116,3.6842,-11.8393,0.9782,0,0.0621,R,A,6
Bei54,375,F,070423R,1,Bei54_375B_F_070423R__1,36,86,3.8475,60.4685,0.9912,0,0.0409,R,B,1
Bei54,375,F,070423R,1,Bei54_375B_F_070423R__2,54,104,4.0633,15.1756,0.991,0,0.0436,R,B,2
Bei54,375,F,070423R,1,Bei54_375B_F_070423R__3,14,64,3.0622,50.5285,0.9926,0,0.0297,R,B,3
Bei54,375,F,070423R,1,Bei54_375B_F_070423R__4,46,96,3.7136,15.7638,0.9788,0,0.0616,R,B,4
Bei54,375,F,070423R,1,Bei54_375B_F_070423R__5,40,90,4.0775,12.1378,0.995,0,0.0326,R,B,5
Bei54,375,F,070423R,1,Bei54_375B_F_070423R__6,70,120,3.3232,67.0166,0.9834,0,0.0487,R,B,6
Bei54,375,F,070423R,2,Bei54_375A_F_070423R__1,11,61,1.7856,38.7261,0.9692,0,0.036,R,A,1
Bei54,375,F,070423R,2,Bei54_375A_F_070423R__2,71,121,3.6679,-16.0203,0.9895,0,0.0425,R,A,2
Bei54,375,F,070423R,2,Bei54_375A_F_070423R__3,37,87,3.3291,43.6199,0.9802,0,0.0534,R,A,3
