Mito,Nuc,Sex,Day,Day2,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Bei11,375AC,F,Day,072924A,1,Bei11_375AC_F_Day_072924A_1,49,99,2.5817,63.7886,0.9796,0.0,0.0421
Bei11,375AC,F,Day,072924A,1,Bei11_375AC_F_Day_072924A_2,56,106,2.3558,40.8182,0.9667,0.0,0.0495
Bei11,375AC,F,Day,072924A,1,Bei11_375AC_F_Day_072924A_3,20,70,2.8274,56.6864,0.9474,0.0,0.0758
Bei11,375AC,F,Day,072924A,1,Bei11_375AC_F_Day_072924A_4,86,136,2.5952,58.5869,0.9878,0.0,0.0325
Bei11,375AC,F,Day,072924A,1,Bei11_375AC_F_Day_072924A_5,37,87,2.1609,62.8375,0.9774,0.0,0.0371
Bei11,375AC,F,Day,072924A,1,Bei11_375AC_F_Day_072924A_6,16,66,2.1337,65.8783,0.9858,0.0,0.0289
Bei11,375AC,F,Day,072924A,1,Bei11_375AC_F_Day_072924A_all,29,79,2.2072,66.9844,0.9939,0.0,0.0194
Bei11,375AC,F,Day,072924A,2,Bei11_375AC_F_Day_072924A_1,29,79,2.3908,21.7971,0.9659,0.0,0.0509
Bei11,375AC,F,Day,072924A,2,Bei11_375AC_F_Day_072924A_2,19,69,3.6463,54.0059,0.9727,0.0,0.0691
Bei11,375AC,F,Day,072924A,2,Bei11_375AC_F_Day_072924A_3,33,83,2.8993,42.2016,0.9723,0.0,0.0554
Bei11,375AC,F,Day,072924A,2,Bei11_375AC_F_Day_072924A_4,71,121,2.6361,24.9963,0.9908,0.0,0.0286
Bei11,375AC,F,Day,072924A,2,Bei11_375AC_F_Day_072924A_5,52,102,2.9612,15.2141,0.9821,0.0,0.0451
Bei11,375AC,F,Day,072924A,2,Bei11_375AC_F_Day_072924A_6,52,102,2.1622,36.2607,0.9978,0.0,0.0114
Bei11,375AC,F,Day,072924A,2,Bei11_375AC_F_Day_072924A_all,20,70,2.5614,42.278999999999996,0.9935,0.0,0.0232
Bei11,375AC,F,Day,072924A,3,Bei11_375AC_F_Day_072924A_1,9,59,3.3644,37.3737,0.9851,0.0,0.0466
Bei11,375AC,F,Day,072924A,3,Bei11_375AC_F_Day_072924A_2,55,105,3.1131,-12.3107,0.9913,0.0,0.0328
Bei11,375AC,F,Day,072924A,3,Bei11_375AC_F_Day_072924A_3,24,74,3.0065,32.6268,0.9835,0.0,0.0439
Bei11,375AC,F,Day,072924A,3,Bei11_375AC_F_Day_072924A_4,16,66,2.4167,41.3145,0.9841,0.0,0.0346
Bei11,375AC,F,Day,072924A,3,Bei11_375AC_F_Day_072924A_5,43,93,2.9614,21.2802,0.9793,0.0,0.0486
Bei11,375AC,F,Day,072924A,3,Bei11_375AC_F_Day_072924A_6,72,122,2.6201,61.9256,0.9926,0.0,0.0255
Bei11,375AC,F,Day,072924A,3,Bei11_375AC_F_Day_072924A_all,51,101,2.6771,37.7459,0.995,0.0,0.0213
Bei11,375AC,M,Day,072924A,1,Bei11_375AC_M_Day_072924A_1,3,53,2.6393,78.5664,0.945,0.0,0.0725
Bei11,375AC,M,Day,072924A,1,Bei11_375AC_M_Day_072924A_2,2,52,2.5411,71.1981,0.9683,0.0,0.0521
Bei11,375AC,M,Day,072924A,1,Bei11_375AC_M_Day_072924A_3,11,61,2.2149,94.524,0.9717,0.0,0.0427
Bei11,375AC,M,Day,072924A,1,Bei11_375AC_M_Day_072924A_4,44,94,3.8124,38.1328,0.975,0.0,0.0689
Bei11,375AC,M,Day,072924A,1,Bei11_375AC_M_Day_072924A_5,45,95,3.5093,16.0466,0.9537,0.0,0.0878
Bei11,375AC,M,Day,072924A,1,Bei11_375AC_M_Day_072924A_6,91,141,3.4578,-19.6745,0.9698,0.0,0.069
Bei11,375AC,M,Day,072924A,1,Bei11_375AC_M_Day_072924A_all,3,53,2.0898,81.1139,0.9856,0.0,0.0284
Bei11,375AC,M,Day,072924A,2,Bei11_375AC_M_Day_072924A_1,20,70,2.5213,48.1476,0.9777,0.0,0.043
Bei11,375AC,M,Day,072924A,2,Bei11_375AC_M_Day_072924A_2,91,141,3.4171,5.3924,0.9885,0.0,0.0414
Bei11,375AC,M,Day,072924A,2,Bei11_375AC_M_Day_072924A_3,20,70,3.2384,21.0694,0.9919,0.0,0.0329
Bei11,375AC,M,Day,072924A,2,Bei11_375AC_M_Day_072924A_4,0,50,2.1411,69.0174,0.9429,0.0,0.06
Bei11,375AC,M,Day,072924A,2,Bei11_375AC_M_Day_072924A_5,62,112,3.2018,34.2748,0.9623,0.0,0.0718
Bei11,375AC,M,Day,072924A,2,Bei11_375AC_M_Day_072924A_6,7,57,3.1792,84.8151,0.9371,0.0,0.094
Bei11,375AC,M,Day,072924A,2,Bei11_375AC_M_Day_072924A_all,62,112,2.4147,56.0932,0.9927,0.0,0.0233
Bei11,375AC,M,Day,072924A,3,Bei11_375AC_M_Day_072924A_1,39,89,2.9810000000000003,20.0242,0.9831,0.0,0.044000000000000004
Bei11,375AC,M,Day,072924A,3,Bei11_375AC_M_Day_072924A_2,53,103,2.8184,26.4764,0.9846,0.0,0.0397
Bei11,375AC,M,Day,072924A,3,Bei11_375AC_M_Day_072924A_3,30,80,2.965,51.449,0.9664,0.0,0.0626
Bei11,375AC,M,Day,072924A,3,Bei11_375AC_M_Day_072924A_4,66,116,3.5521,5.0267,0.9623,0.0,0.0797
Bei11,375AC,M,Day,072924A,3,Bei11_375AC_M_Day_072924A_5,61,111,4.0779,-50.4209,0.932,0.0,0.1258
Bei11,375AC,M,Day,072924A,3,Bei11_375AC_M_Day_072924A_6,29,79,3.4065,43.0408,0.9775,0.0,0.0584
Bei11,375AC,M,Day,072924A,3,Bei11_375AC_M_Day_072924A_all,58,108,2.2631,57.2188,0.9912,0.0,0.024
Bei11,375AR,F,Day,072924A,1,Bei11_375AR_F_Day_072924A_1,25,75,2.8904,39.8793,0.9861,0.0,0.0387
Bei11,375AR,F,Day,072924A,1,Bei11_375AR_F_Day_072924A_2,22,72,2.4413,62.3789,0.9759,0.0,0.0433
