Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Bei11,375BC,F,073024B,1,Bei11_375BC_F_073024B__1,88,138,2.6773,31.2422,0.9866,0.0,0.0351
Bei11,375BC,F,073024B,1,Bei11_375BC_F_073024B__2,69,119,3.2652,-9.9749,0.9866,0.0,0.0428
Bei11,375BC,F,073024B,1,Bei11_375BC_F_073024B__3,69,119,2.9052,55.9544,0.981,0.0,0.0457
Bei11,375BC,F,073024B,1,Bei11_375BC_F_073024B__4,32,82,2.6483,60.2035,0.9973,0.0,0.0154
Bei11,375BC,F,073024B,1,Bei11_375BC_F_073024B__5,14,64,3.8394,49.2963,0.9645,0.0,0.0834
Bei11,375BC,F,073024B,1,Bei11_375BC_F_073024B__6,43,93,2.2705,33.8317,0.9854,0.0,0.0311
Bei11,375BC,F,073024B,1,Bei11_375BC_F_073024B__all,55,105,2.5958,49.9908,0.9961,0.0,0.0183
Bei11,375BC,F,073024B,2,Bei11_375BC_F_073024B__1,44,94,2.0979,52.6703,0.9578,0.0,0.05
Bei11,375BC,F,073024B,2,Bei11_375BC_F_073024B__2,66,116,1.499,48.6524,0.9429,0.0,0.042
Bei11,375BC,F,073024B,2,Bei11_375BC_F_073024B__3,45,95,3.1642,22.6891,0.986,0.0,0.0425
Bei11,375BC,F,073024B,2,Bei11_375BC_F_073024B__4,10,60,2.5303,51.8474,0.9727,0.0,0.048
Bei11,375BC,F,073024B,2,Bei11_375BC_F_073024B__5,9,59,3.1910000000000003,28.6119,0.9891,0.0,0.0377
Bei11,375BC,F,073024B,2,Bei11_375BC_F_073024B__6,44,94,2.7621,3.1165,0.9867,0.0,0.0361
Bei11,375BC,F,073024B,2,Bei11_375BC_F_073024B__all,46,96,2.5839,32.5018,0.9957,0.0,0.0192
Bei11,375BC,F,073024B,3,Bei11_375BC_F_073024B__1,58,108,3.2239999999999998,-15.6342,0.9899,0.0,0.0366
Bei11,375BC,F,073024B,3,Bei11_375BC_F_073024B__2,76,126,2.1377,41.875,0.9623,0.0,0.048
Bei11,375BC,F,073024B,3,Bei11_375BC_F_073024B__3,9,59,3.5064,71.8843,0.9670000000000001,0.0,0.0733
Bei11,375BC,F,073024B,3,Bei11_375BC_F_073024B__4,0,50,1.6463,65.3602,0.9701,0.0,0.0327
Bei11,375BC,F,073024B,3,Bei11_375BC_F_073024B__5,39,89,2.7904,48.6087,0.9499,0.0,0.0728
Bei11,375BC,F,073024B,3,Bei11_375BC_F_073024B__6,8,58,2.1177,55.5006,0.9728,0.0,0.04
Bei11,375BC,F,073024B,3,Bei11_375BC_F_073024B__all,82,132,2.3666,41.0664,0.9914,0.0,0.0248
Bei11,375BC,M,073024B,1,Bei11_375BC_M_073024B__1,1,51,2.9698,64.6475,0.9640000000000001,0.0,0.0651
Bei11,375BC,M,073024B,1,Bei11_375BC_M_073024B__2,18,68,3.753,59.3581,0.9895,0.0,0.0435
Bei11,375BC,M,073024B,1,Bei11_375BC_M_073024B__3,18,68,1.8776,61.155,0.9655,0.0,0.0402
Bei11,375BC,M,073024B,1,Bei11_375BC_M_073024B__4,65,115,3.0049,59.1586,0.9593,0.0,0.0702
Bei11,375BC,M,073024B,1,Bei11_375BC_M_073024B__5,63,113,5.0999,-27.9505,0.9749,0.0,0.0925
Bei11,375BC,M,073024B,1,Bei11_375BC_M_073024B__6,26,76,2.2592,74.8931,0.9813,0.0,0.0352
Bei11,375BC,M,073024B,1,Bei11_375BC_M_073024B__all,0,50,2.3051,82.4899,0.9912,0.0,0.0244
Bei11,375BC,M,073024B,2,Bei11_375BC_M_073024B__1,65,115,2.1206,65.3664,0.9222,0.0,0.0706
Bei11,375BC,M,073024B,2,Bei11_375BC_M_073024B__2,31,81,3.6115,28.595,0.9837,0.0,0.0523
Bei11,375BC,M,073024B,2,Bei11_375BC_M_073024B__3,16,66,1.4283,86.7152,0.8582,0.0,0.0678
Bei11,375BC,M,073024B,2,Bei11_375BC_M_073024B__4,39,89,2.6577,80.4143,0.9687,0.0,0.054000000000000006
Bei11,375BC,M,073024B,2,Bei11_375BC_M_073024B__5,0,50,1.5934,62.0436,0.9604,0.0,0.0367
Bei11,375BC,M,073024B,2,Bei11_375BC_M_073024B__6,4,54,2.4471,86.6117,0.978,0.0,0.0414
Bei11,375BC,M,073024B,2,Bei11_375BC_M_073024B__all,32,82,1.9369999999999998,81.0666,0.9873,0.0,0.0247
Bei11,375BC,M,073024B,3,Bei11_375BC_M_073024B__1,59,109,2.7101,11.6296,0.9545,0.0,0.0672
Bei11,375BC,M,073024B,3,Bei11_375BC_M_073024B__2,51,101,1.8455,48.2329,0.9112,0.0,0.0662
Bei11,375BC,M,073024B,3,Bei11_375BC_M_073024B__3,89,139,2.1767,8.6607,0.9166,0.0,0.0753
Bei11,375BC,M,073024B,3,Bei11_375BC_M_073024B__4,49,99,2.7317,21.7155,0.9678,0.0,0.0564
Bei11,375BC,M,073024B,3,Bei11_375BC_M_073024B__5,63,113,2.6987,-8.0033,0.9718,0.0,0.052000000000000005
Bei11,375BC,M,073024B,3,Bei11_375BC_M_073024B__6,85,135,2.5567,7.3648,0.9224,0.0,0.085
Bei11,375BC,M,073024B,3,Bei11_375BC_M_073024B__all,84,134,2.077,34.0896,0.9854,0.0,0.0285
Bei11,375BR,F,073024B,1,Bei11_375BR_F_073024B__1,16,66,0.3726,57.6647,0.813,0.0,0.0212
Bei11,375BR,F,073024B,1,Bei11_375BR_F_073024B__2,82,132,1.7287,-1.2488,0.9494,0.0,0.0454
Bei11,375BR,F,073024B,1,Bei11_375BR_F_073024B__3,26,76,1.6745,37.8271,0.9121,0.0,0.0597
Bei11,375BR,F,073024B,1,Bei11_375BR_F_073024B__4,53,103,0.9652,30.3319,0.904,0.0,0.0362
Bei11,375BR,F,073024B,1,Bei11_375BR_F_073024B__5,14,64,1.4474,64.2521,0.9374,0.0,0.0427
Bei11,375BR,F,073024B,1,Bei11_375BR_F_073024B__6,77,127,0.8363,29.0956,0.8889,0.0,0.0342
Bei11,375BR,F,073024B,1,Bei11_375BR_F_073024B__all,75,125,0.7996,53.2838,0.9133,0.0,0.0283
Bei11,375BR,F,073024B,2,Bei11_375BR_F_073024B__1,2,52,0.3537,38.2508,0.7459,0.0,0.0251
Bei11,375BR,F,073024B,2,Bei11_375BR_F_073024B__2,19,69,0.675,32.7309,0.9199,0.0,0.0228
Bei11,375BR,F,073024B,2,Bei11_375BR_F_073024B__3,1,51,1.0897,82.6956,0.8224,0.0,0.0598
Bei11,375BR,F,073024B,2,Bei11_375BR_F_073024B__4,48,98,1.5819999999999999,9.5011,0.8153,0.0,0.0892
Bei11,375BR,F,073024B,2,Bei11_375BR_F_073024B__5,17,67,2.0434,32.2013,0.9822,0.0,0.031
Bei11,375BR,F,073024B,2,Bei11_375BR_F_073024B__6,9,59,1.5595,52.5677,0.9511,0.0,0.0402
Bei11,375BR,F,073024B,2,Bei11_375BR_F_073024B__all,18,68,1.0193,48.3759,0.9742,0.0,0.0188
Bei11,375BR,F,073024B,3,Bei11_375BR_F_073024B__1,29,79,0.2812,57.5476,0.7291,0.0,0.0209
Bei11,375BR,F,073024B,3,Bei11_375BR_F_073024B__2,48,98,2.1614,54.7091,0.9014,0.0,0.0824
Bei11,375BR,F,073024B,3,Bei11_375BR_F_073024B__3,87,137,1.2487,23.04,0.9057,0.0,0.0464
Bei11,375BR,F,073024B,3,Bei11_375BR_F_073024B__4,28,78,0.5216,59.3439,0.7602,0.0,0.0354
Bei11,375BR,F,073024B,3,Bei11_375BR_F_073024B__5,19,69,2.2675,54.6271,0.9589,0.0,0.0532
Bei11,375BR,F,073024B,3,Bei11_375BR_F_073024B__6,3,53,1.3084,63.1319,0.89,0.0,0.0532
Bei11,375BR,F,073024B,3,Bei11_375BR_F_073024B__all,1,51,0.9549,69.7881,0.9789,0.0,0.0158
Bei11,375BR,M,073024B,1,Bei11_375BR_M_073024B__1,24,74,2.8296,26.7723,0.9773,0.0,0.0487
Bei11,375BR,M,073024B,1,Bei11_375BR_M_073024B__2,12,62,2.023,58.1797,0.9668,0.0,0.0425
Bei11,375BR,M,073024B,1,Bei11_375BR_M_073024B__3,14,64,1.0746,52.9922,0.8303,0.0,0.0572
Bei11,375BR,M,073024B,1,Bei11_375BR_M_073024B__4,57,107,2.8867,29.2489,0.9397,0.0,0.0834
Bei11,375BR,M,073024B,1,Bei11_375BR_M_073024B__5,35,85,1.895,46.611999999999995,0.9114,0.0,0.0679
Bei11,375BR,M,073024B,1,Bei11_375BR_M_073024B__6,81,131,3.2967,11.9511,0.9429,0.0,0.0924
Bei11,375BR,M,073024B,1,Bei11_375BR_M_073024B__all,49,99,1.3979,77.0505,0.9872,0.0,0.0179
Bei11,375BR,M,073024B,2,Bei11_375BR_M_073024B__1,65,115,3.9816,-44.9566,0.9816,0.0,0.0615
Bei11,375BR,M,073024B,2,Bei11_375BR_M_073024B__2,0,50,1.6506,71.9055,0.9022,0.0,0.0626
Bei11,375BR,M,073024B,2,Bei11_375BR_M_073024B__3,28,78,1.9543,27.0118,0.8340000000000001,0.0,0.1026
Bei11,375BR,M,073024B,2,Bei11_375BR_M_073024B__4,48,98,2.1096,57.0387,0.9432,0.0,0.059000000000000004
Bei11,375BR,M,073024B,2,Bei11_375BR_M_073024B__5,9,59,1.1002,105.4012,0.879,0.0,0.0474
Bei11,375BR,M,073024B,2,Bei11_375BR_M_073024B__6,34,84,2.7461,43.0373,0.9552,0.0,0.0675
Bei11,375BR,M,073024B,2,Bei11_375BR_M_073024B__all,41,91,1.3126,74.7653,0.9368,0.0,0.0389
Bei11,375BR,M,073024B,3,Bei11_375BR_M_073024B__1,0,50,1.4198,104.8964,0.7803,0.0,0.0903
Bei11,375BR,M,073024B,3,Bei11_375BR_M_073024B__2,1,51,2.165,76.8632,0.9651,0.0,0.0466
Bei11,375BR,M,073024B,3,Bei11_375BR_M_073024B__3,92,142,1.6524,4.0091,0.8914,0.0,0.0667
Bei11,375BR,M,073024B,3,Bei11_375BR_M_073024B__4,92,142,2.9518,-2.5921,0.9238,0.0,0.0971
Bei11,375BR,M,073024B,3,Bei11_375BR_M_073024B__5,64,114,2.4772,11.5389,0.8559,0.0,0.1188
Bei11,375BR,M,073024B,3,Bei11_375BR_M_073024B__6,53,103,2.3825,59.7765,0.9338,0.0,0.0725
Bei11,375BR,M,073024B,3,Bei11_375BR_M_073024B__all,0,50,1.1965,97.6091,0.9546,0.0,0.0296
Bei11,OreBC,F,073024B,1,Bei11_OreBC_F_073024B__1,88,138,2.9486,-78.6839,0.9778,0.0,0.0502
Bei11,OreBC,F,073024B,1,Bei11_OreBC_F_073024B__2,11,61,1.0382,48.8527,0.9616,0.0,0.0235
Bei11,OreBC,F,073024B,1,Bei11_OreBC_F_073024B__3,16,66,1.7732,24.0003,0.9840000000000001,0.0,0.0255
Bei11,OreBC,F,073024B,1,Bei11_OreBC_F_073024B__4,51,101,2.3832,5.4933,0.9808,0.0,0.0376
Bei11,OreBC,F,073024B,1,Bei11_OreBC_F_073024B__5,47,97,2.0158,28.9337,0.9871,0.0,0.026000000000000002
Bei11,OreBC,F,073024B,1,Bei11_OreBC_F_073024B__6,28,78,1.4364,21.8293,0.9656,0.0,0.0307
Bei11,OreBC,F,073024B,1,Bei11_OreBC_F_073024B__all,20,70,1.3928,34.1604,0.9959,0.0,0.01
Bei11,OreBC,F,073024B,2,Bei11_OreBC_F_073024B__1,82,132,1.8419,-21.118000000000002,0.9847,0.0,0.0258
Bei11,OreBC,F,073024B,2,Bei11_OreBC_F_073024B__2,86,136,1.3543,-2.562,0.9816,0.0,0.0209
Bei11,OreBC,F,073024B,2,Bei11_OreBC_F_073024B__3,50,100,1.4659,22.4526,0.9758,0.0,0.0261
Bei11,OreBC,F,073024B,2,Bei11_OreBC_F_073024B__4,56,106,2.1323,-17.8954,0.9891,0.0,0.0252
Bei11,OreBC,F,073024B,2,Bei11_OreBC_F_073024B__5,78,128,2.536,-40.4116,0.9853,0.0,0.0349
