Mito,Nuc,treatment,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,vial,build
375,375,C,F,71223375,1,375_375_C_F_071223375_1,54,104,2.824,36.7325,0.9884,0,0.0344,1,parental
375,375,C,F,71223375,1,375_375_C_F_071223375_2,42,92,2.4766,53.3382,0.9898,0,0.0283,2,parental
375,375,C,F,71223375,1,375_375_C_F_071223375_3,89,139,2.4964,61.2414,0.9653,0,0.0536,3,parental
375,375,C,F,71223375,1,375_375_C_F_071223375_4,48,98,3.4945,-0.1784,0.9966,0,0.023,4,parental
375,375,C,F,71223375,1,375_375_C_F_071223375_5,53,103,2.684,30.307,0.9991,0,0.0092,5,parental
375,375,C,F,71223375,1,375_375_C_F_071223375_6,79,129,2.7869,45.2821,0.9975,0,0.0157,6,parental
375,375,C,F,71223375,2,375_375_C_F_071223375_1,57,107,2.8593,43.03,0.9986,0,0.012,1,parental
375,375,C,F,71223375,2,375_375_C_F_071223375_2,18,68,3.0175,41.0768,0.9809,0,0.0475,2,parental
375,375,C,F,71223375,2,375_375_C_F_071223375_3,50,100,3.9155,-19.6578,0.9961,0,0.0274,3,parental
375,375,C,F,71223375,2,375_375_C_F_071223375_4,11,61,3.1995,96.3475,0.9894,0,0.0373,4,parental
375,375,C,F,71223375,2,375_375_C_F_071223375_5,68,118,2.5886,79.0238,0.9922,0,0.0258,5,parental
375,375,C,F,71223375,2,375_375_C_F_071223375_6,5,55,3.4013,82.4164,0.9725,0,0.0646,6,parental
375,375,C,F,71223375,3,375_375_C_F_071223375_1,12,62,3.2479,54.0257,0.9932,0,0.0302,1,parental
375,375,C,F,71223375,3,375_375_C_F_071223375_2,14,64,3.0159,66.9307,0.9883,0,0.037,2,parental
375,375,C,F,71223375,3,375_375_C_F_071223375_3,55,105,3.3491,55.0137,0.9995,0,0.0082,3,parental
375,375,C,F,71223375,3,375_375_C_F_071223375_4,51,101,3.906,12.3772,0.9685,0,0.0797,4,parental
375,375,C,F,71223375,3,375_375_C_F_071223375_5,23,73,2.9423,52.9137,0.9958,0,0.0215,5,parental
375,375,C,F,71223375,3,375_375_C_F_071223375_6,39,89,3.042,33.2097,0.9917,0,0.0313,6,parental
375,375,C,F,71323375,1,375_375C_F_071323375__1,32,82,2.6114,59.5106,0.9951,0,0.0206,1,parental
375,375,C,F,71323375,1,375_375C_F_071323375__2,44,94,2.7821,45.3093,0.9802,0,0.0446,2,parental
375,375,C,F,71323375,1,375_375C_F_071323375__3,32,82,3.3926,41.8599,0.9958,0,0.0247,3,parental
375,375,C,F,71323375,1,375_375C_F_071323375__4,21,71,3.6245,40.9715,0.9827,0,0.0543,4,parental
375,375,C,F,71323375,1,375_375C_F_071323375__5,91,141,4.5549,-52.1309,0.9916,0,0.0472,5,parental
375,375,C,F,71323375,1,375_375C_F_071323375__6,29,79,3.289,46.6394,0.9946,0,0.0272,6,parental
375,375,C,F,71323375,2,375_375C_F_071323375__1,33,83,3.692,16.0022,0.995,0,0.0294,1,parental
375,375,C,F,71323375,2,375_375C_F_071323375__2,36,86,3.3518,44.0578,0.9905,0,0.0369,2,parental
375,375,C,F,71323375,2,375_375C_F_071323375__3,66,116,3.1972,-10.0953,0.9944,0,0.0269,3,parental
375,375,C,F,71323375,2,375_375C_F_071323375__4,7,57,4.1272,28.24,0.9961,0,0.0291,4,parental
375,375,C,F,71323375,2,375_375C_F_071323375__5,47,97,3.7985,43.3232,0.9863,0,0.0503,5,parental
375,375,C,F,71323375,2,375_375C_F_071323375__6,0,50,2.6312,33.6454,0.9843,0,0.0374,6,parental
375,375,C,F,71323375,3,375_375C_F_071323375__1,52,102,2.2379,30.727,0.9273,0,0.0717,1,parental
375,375,C,F,71323375,3,375_375C_F_071323375__2,44,94,2.7833,37.6806,0.9908,0,0.0301,2,parental
375,375,C,F,71323375,3,375_375C_F_071323375__3,25,75,1.9514,77.571,0.9868,0,0.0254,3,parental
375,375,C,F,71323375,3,375_375C_F_071323375__4,26,76,3.6727,50.4254,0.9878,0,0.046,4,parental
375,375,C,F,71323375,3,375_375C_F_071323375__5,34,84,3.1676,47.5883,0.9762,0,0.0558,5,parental
375,375,C,F,71323375,3,375_375C_F_071323375__6,11,61,2.9549,36.7363,0.9824,0,0.0446,6,parental
375,375,C,M,71223375,1,375_375_C_M_071223375_1,44,94,3.0251,139.8328,0.9401,0,0.0871,1,parental
375,375,C,M,71223375,1,375_375_C_M_071223375_2,48,98,2.6591,127.1038,0.9778,0,0.0453,2,parental
375,375,C,M,71223375,1,375_375_C_M_071223375_3,90,140,1.2524,130.1557,0.8089,0,0.0723,3,parental
375,375,C,M,71223375,1,375_375_C_M_071223375_4,69,119,2.1677,109.8429,0.711,0,0.1701,4,parental
375,375,C,M,71223375,1,375_375_C_M_071223375_5,31,81,1.0611,219.7908,0.6093,0,0.1096,5,parental
375,375,C,M,71223375,1,375_375_C_M_071223375_6,58,108,1.721,160.9822,0.7752,0,0.1113,6,parental
