Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,vial,build
375,375,F,073123OreR375,1,Parental_375C_F_073123OreR375__1,50,100,1.3169,89.2059,0.977,0,0.0228,C,1,parental
375,375,F,073123OreR375,1,Parental_375C_F_073123OreR375__2,62,112,1.9465,63.9879,0.9853,0,0.0267,C,2,parental
375,375,F,073123OreR375,1,Parental_375C_F_073123OreR375__3,50,100,3.0357,40.1075,0.9889,0,0.0362,C,3,parental
375,375,F,073123OreR375,1,Parental_375C_F_073123OreR375__4,37,87,3.1952,54.4464,0.9852,0,0.0441,C,4,parental
375,375,F,073123OreR375,1,Parental_375C_F_073123OreR375__5,27,77,2.5249,53.4601,0.9943,0,0.0214,C,5,parental
375,375,F,073123OreR375,1,Parental_375C_F_073123OreR375__6,36,86,3.0051,22.6287,0.9909,0,0.0324,C,6,parental
375,375,F,073123OreR375,1,Parental_375R_F_073123OreR375__1,46,96,2.1521,49.5607,0.9882,0,0.0264,R,1,parental
375,375,F,073123OreR375,1,Parental_375R_F_073123OreR375__2,92,142,3.6826,-68.6327,0.9932,0,0.0342,R,2,parental
375,375,F,073123OreR375,1,Parental_375R_F_073123OreR375__3,0,50,2.0923,68.6309,0.9878,0,0.0262,R,3,parental
375,375,F,073123OreR375,1,Parental_375R_F_073123OreR375__4,37,87,1.4153,79.4018,0.9163,0,0.0491,R,4,parental
375,375,F,073123OreR375,1,Parental_375R_F_073123OreR375__5,61,111,2.9462,11.1077,0.9949,0,0.0237,R,5,parental
375,375,F,073123OreR375,1,Parental_375R_F_073123OreR375__6,70,120,2.3848,34.7065,0.992,0,0.024,R,6,parental
375,375,F,073123OreR375,2,Parental_375C_F_073123OreR375__1,40,90,2.5585,61.7801,0.9799,0,0.0413,C,1,parental
375,375,F,073123OreR375,2,Parental_375C_F_073123OreR375__2,22,72,2.3749,53.3371,0.9954,0,0.0181,C,2,parental
375,375,F,073123OreR375,2,Parental_375C_F_073123OreR375__3,32,82,2.4656,47.0121,0.9902,0,0.0277,C,3,parental
375,375,F,073123OreR375,2,Parental_375C_F_073123OreR375__4,0,50,2.9372,50.006,0.9874,0,0.0374,C,4,parental
375,375,F,073123OreR375,2,Parental_375C_F_073123OreR375__5,53,103,3.0307,11.9687,0.994,0,0.0264,C,5,parental
375,375,F,073123OreR375,2,Parental_375C_F_073123OreR375__6,44,94,3.3833,11.51,0.9958,0,0.0246,C,6,parental
375,375,F,073123OreR375,2,Parental_375R_F_073123OreR375__1,49,99,2.5812,18.6799,0.9859,0,0.0348,R,1,parental
375,375,F,073123OreR375,2,Parental_375R_F_073123OreR375__2,19,69,2.8454,25.8766,0.9927,0,0.0275,R,2,parental
375,375,F,073123OreR375,2,Parental_375R_F_073123OreR375__3,28,78,2.5231,41.2709,0.9818,0,0.0387,R,3,parental
375,375,F,073123OreR375,2,Parental_375R_F_073123OreR375__4,22,72,1.8545,52.8431,0.9591,0,0.0434,R,4,parental
375,375,F,073123OreR375,2,Parental_375R_F_073123OreR375__5,18,68,2.407,60.2916,0.9428,0,0.0675,R,5,parental
375,375,F,073123OreR375,2,Parental_375R_F_073123OreR375__6,85,135,2.5954,25.6484,0.9817,0,0.04,R,6,parental
375,375,F,073123OreR375,3,Parental_375C_F_073123OreR375__1,60,110,2.1517,45.9827,0.9915,0,0.0225,C,1,parental
375,375,F,073123OreR375,3,Parental_375C_F_073123OreR375__2,87,137,2.2016,68.3043,0.9833,0,0.0323,C,2,parental
375,375,F,073123OreR375,3,Parental_375C_F_073123OreR375__3,69,119,3.8673,27.2423,0.9884,0,0.0471,C,3,parental
375,375,F,073123OreR375,3,Parental_375C_F_073123OreR375__4,23,73,3.8246,25.548,0.9874,0,0.0486,C,4,parental
375,375,F,073123OreR375,3,Parental_375C_F_073123OreR375__5,33,83,3.3336,34.2872,0.9973,0,0.0194,C,5,parental
375,375,F,073123OreR375,3,Parental_375C_F_073123OreR375__6,34,84,2.5502,37.3243,0.9813,0,0.0397,C,6,parental
375,375,F,073123OreR375,3,Parental_375R_F_073123OreR375__1,34,84,2.3558,59.8436,0.9829,0,0.035,R,1,parental
375,375,F,073123OreR375,3,Parental_375R_F_073123OreR375__2,46,96,3.2555,64.2018,0.9833,0,0.0478,R,2,parental
375,375,F,073123OreR375,3,Parental_375R_F_073123OreR375__3,16,66,2.5513,42.4079,0.9878,0,0.0319,R,3,parental
375,375,F,073123OreR375,3,Parental_375R_F_073123OreR375__4,9,59,1.5844,41.0167,0.9479,0,0.0423,R,4,parental
375,375,F,073123OreR375,3,Parental_375R_F_073123OreR375__5,34,84,2.3242,47.9899,0.9923,0,0.0231,R,5,parental
375,375,F,073123OreR375,3,Parental_375R_F_073123OreR375__6,2,52,1.8297,80.0904,0.9906,0,0.0201,R,6,parental
375,375,F,080123Parental,1,Parental_375C_F_080123Parental__1,12,62,2.1053,44.1573,0.9862,0,0.0281,C,1,parental
375,375,F,080123Parental,1,Parental_375C_F_080123Parental__2,15,65,1.9332,72.5867,0.9849,0,0.027,C,2,parental
375,375,F,080123Parental,1,Parental_375C_F_080123Parental__3,77,127,3.0843,33.0008,0.9979,0,0.0158,C,3,parental
375,375,F,080123Parental,1,Parental_375C_F_080123Parental__4,50,100,2.6663,33.4854,0.9944,0,0.0224,C,4,parental
375,375,F,080123Parental,1,Parental_375C_F_080123Parental__5,18,68,1.7487,65.9669,0.9844,0,0.0248,C,5,parental
375,375,F,080123Parental,1,Parental_375C_F_080123Parental__6,30,80,2.5349,14.5372,0.9758,0,0.0451,C,6,parental
375,375,F,080123Parental,1,Parental_375R_F_080123Parental__1,29,79,1.8167,26.891,0.9873,0,0.0232,R,1,parental
375,375,F,080123Parental,1,Parental_375R_F_080123Parental__2,48,98,2.1211,40.7765,0.9799,0,0.0342,R,2,parental
375,375,F,080123Parental,1,Parental_375R_F_080123Parental__3,17,67,2.7614,48.2828,0.9914,0,0.029,R,3,parental
375,375,F,080123Parental,1,Parental_375R_F_080123Parental__4,63,113,2.6501,46.7416,0.9953,0,0.0204,R,4,parental
375,375,F,080123Parental,1,Parental_375R_F_080123Parental__5,1,51,2.8058,49.7758,0.987,0,0.0363,R,5,parental
375,375,F,080123Parental,1,Parental_375R_F_080123Parental__6,21,71,2.8505,36.8551,0.9732,0,0.0535,R,6,parental
375,375,F,080123Parental,2,Parental_375C_F_080123Parental__1,16,66,3.5039,22.5696,0.9878,0,0.0439,C,1,parental
375,375,F,080123Parental,2,Parental_375C_F_080123Parental__2,3,53,2.0855,42.4593,0.9832,0,0.0307,C,2,parental
375,375,F,080123Parental,2,Parental_375C_F_080123Parental__3,49,99,3.2693,60.6551,0.9951,0,0.0257,C,3,parental
375,375,F,080123Parental,2,Parental_375C_F_080123Parental__4,31,81,2.5843,56.65,0.9477,0,0.0691,C,4,parental
375,375,F,080123Parental,2,Parental_375C_F_080123Parental__5,38,88,1.944,59.5644,0.9452,0,0.0533,C,5,parental
375,375,F,080123Parental,2,Parental_375C_F_080123Parental__6,24,74,2.4651,29.276,0.9894,0,0.0287,C,6,parental
375,375,F,080123Parental,2,Parental_375R_F_080123Parental__1,3,53,2.6352,70.1823,0.9896,0,0.0304,R,1,parental
375,375,F,080123Parental,2,Parental_375R_F_080123Parental__2,4,54,3.472,59.2271,0.9922,0,0.0345,R,2,parental
375,375,F,080123Parental,2,Parental_375R_F_080123Parental__3,39,89,2.7725,35.8564,0.9857,0,0.0376,R,3,parental
375,375,F,080123Parental,2,Parental_375R_F_080123Parental__4,6,56,3.2888,64.4794,0.9705,0,0.0649,R,4,parental
375,375,F,080123Parental,2,Parental_375R_F_080123Parental__5,70,120,3.2555,9.1879,0.9857,0,0.0442,R,5,parental
375,375,F,080123Parental,2,Parental_375R_F_080123Parental__6,11,61,2.7371,37.3234,0.984,0,0.0394,R,6,parental
375,375,F,080123Parental,3,Parental_375C_F_080123Parental__1,0,50,2.0162,66.3617,0.9819,0,0.0309,C,1,parental
375,375,F,080123Parental,3,Parental_375C_F_080123Parental__2,24,74,2.8508,41.6643,0.9906,0,0.0313,C,2,parental
375,375,F,080123Parental,3,Parental_375C_F_080123Parental__3,54,104,3.8477,19.2795,0.9972,0,0.0228,C,3,parental
375,375,F,080123Parental,3,Parental_375C_F_080123Parental__4,5,55,2.8719,53.2459,0.9888,0,0.0343,C,4,parental
375,375,F,080123Parental,3,Parental_375C_F_080123Parental__5,37,87,2.3191,50.9546,0.9767,0,0.0404,C,5,parental
375,375,F,080123Parental,3,Parental_375C_F_080123Parental__6,78,128,2.171,28.8978,0.965,0,0.0469,C,6,parental
375,375,F,080123Parental,3,Parental_375R_F_080123Parental__1,36,86,3.0418,34.7859,0.991,0,0.0327,R,1,parental
375,375,F,080123Parental,3,Parental_375R_F_080123Parental__2,0,50,3.1657,57.0674,0.9922,0,0.0315,R,2,parental
375,375,F,080123Parental,3,Parental_375R_F_080123Parental__3,34,84,3.8835,20.71,0.9967,0,0.0252,R,3,parental
375,375,F,080123Parental,3,Parental_375R_F_080123Parental__4,6,56,2.5754,48.9759,0.9477,0,0.0689,R,4,parental
375,375,F,080123Parental,3,Parental_375R_F_080123Parental__5,4,54,2.6917,53.2713,0.9861,0,0.036,R,5,parental
375,375,F,080123Parental,3,Parental_375R_F_080123Parental__6,5,55,3.1307,40.4406,0.9788,0,0.052,R,6,parental
375,375,M,073123OreR375,1,Parental_375C_M_073123OreR375__1,31,81,3.8254,30.7586,0.9795,0,0.0624,C,1,parental
