Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,build,vial
375,375,F,121223Parental,1,Parental_375C_F_121223Parental__1,58,108,2.8552,7.2383,0.9912,0,0.0302,C,parental,1
375,375,F,121223Parental,1,Parental_375C_F_121223Parental__2,48,98,2.3618,16.0987,0.9857,0,0.0321,C,parental,2
375,375,F,121223Parental,1,Parental_375C_F_121223Parental__3,0,50,2.1863,49.0201,0.9646,0,0.0474,C,parental,3
375,375,F,121223Parental,1,Parental_375C_F_121223Parental__4,32,82,1.71,46.8694,0.9564,0,0.0415,C,parental,4
375,375,F,121223Parental,1,Parental_375C_F_121223Parental__5,2,52,1.2371,47.5454,0.9716,0,0.0239,C,parental,5
375,375,F,121223Parental,1,Parental_375C_F_121223Parental__6,5,55,1.7428,45.3537,0.9758,0,0.031,C,parental,6
375,375,F,121223Parental,1,Parental_375R_F_121223Parental__1,22,72,2.601,36.8019,0.9858,0,0.0351,R,parental,1
375,375,F,121223Parental,1,Parental_375R_F_121223Parental__2,3,53,2.4206,57.0943,0.9621,0,0.0544,R,parental,2
375,375,F,121223Parental,1,Parental_375R_F_121223Parental__3,74,124,3.0258,14.0226,0.9702,0,0.06,R,parental,3
375,375,F,121223Parental,1,Parental_375R_F_121223Parental__4,64,114,1.5804,44.8642,0.9104,0,0.057,R,parental,4
375,375,F,121223Parental,1,Parental_375R_F_121223Parental__5,91,141,2.1794,19.9311,0.9845,0,0.0308,R,parental,5
375,375,F,121223Parental,1,Parental_375R_F_121223Parental__6,40,90,1.0179,54.4461,0.9488,0,0.0269,R,parental,6
375,375,F,121223Parental,2,Parental_375C_F_121223Parental__1,32,82,2.7581,59.8996,0.9892,0,0.0324,C,parental,1
375,375,F,121223Parental,2,Parental_375C_F_121223Parental__2,37,87,3.0155,32.5864,0.9917,0,0.031,C,parental,2
375,375,F,121223Parental,2,Parental_375C_F_121223Parental__3,16,66,1.3514,87.5392,0.8569,0,0.0645,C,parental,3
375,375,F,121223Parental,2,Parental_375C_F_121223Parental__4,15,65,2.023,37.2086,0.9647,0,0.0438,C,parental,4
375,375,F,121223Parental,2,Parental_375C_F_121223Parental__5,37,87,2.2819,52.7206,0.9812,0,0.0356,C,parental,5
375,375,F,121223Parental,2,Parental_375C_F_121223Parental__6,88,138,1.4443,91.4741,0.9947,0,0.0119,C,parental,6
375,375,F,121223Parental,2,Parental_375R_F_121223Parental__1,67,117,3.015,19.1474,0.9892,0,0.0354,R,parental,1
375,375,F,121223Parental,2,Parental_375R_F_121223Parental__2,1,51,2.5837,38.9751,0.9872,0,0.0332,R,parental,2
375,375,F,121223Parental,2,Parental_375R_F_121223Parental__3,55,105,2.4894,25.3965,0.9919,0,0.0253,R,parental,3
375,375,F,121223Parental,2,Parental_375R_F_121223Parental__4,4,54,2.239,45.3725,0.9568,0,0.054,R,parental,4
375,375,F,121223Parental,2,Parental_375R_F_121223Parental__5,85,135,2.5297,48.8119,0.9751,0,0.0456,R,parental,5
375,375,F,121223Parental,2,Parental_375R_F_121223Parental__6,54,104,1.613,41.8505,0.9806,0,0.0256,R,parental,6
375,375,F,121223Parental,3,Parental_375C_F_121223Parental__1,66,116,2.3306,51.411,0.9755,0,0.0417,C,parental,1
375,375,F,121223Parental,3,Parental_375C_F_121223Parental__2,76,126,2.513,60.2988,0.9905,0,0.0277,C,parental,2
375,375,F,121223Parental,3,Parental_375C_F_121223Parental__3,62,112,1.8139,60.7711,0.9647,0,0.0393,C,parental,3
375,375,F,121223Parental,3,Parental_375C_F_121223Parental__4,0,50,1.759,60.6049,0.933,0,0.0539,C,parental,4
375,375,F,121223Parental,3,Parental_375C_F_121223Parental__5,78,128,1.7149,64.8976,0.9667,0,0.036,C,parental,5
375,375,F,121223Parental,3,Parental_375C_F_121223Parental__6,25,75,2.363,29.6473,0.9793,0,0.0388,C,parental,6
