Stock,Vial,Treatment,Set,TSE,Build,Total,MitoNuc,Mito,Nuc
4A,1,Control,2,10.9066666666667,A,150,ZW133_Ore,ZW133,Ore
4A,3,Control,2,10.575,A,120,ZW133_Ore,ZW133,Ore
4A,5,Control,2,10.775,A,120,ZW133_Ore,ZW133,Ore
4B,1,Control,2,10.7456140350877,B,114,ZW133_Ore,ZW133,Ore
4B,3,Control,2,10.6980198019802,B,101,ZW133_Ore,ZW133,Ore
4B,5,Control,2,11.140350877193,B,114,ZW133_Ore,ZW133,Ore
7A,1,Control,2,11.0157894736842,A,95,ZH33_Ore,ZH33,Ore
7A,3,Control,2,11.1280991735537,A,121,ZH33_Ore,ZH33,Ore
7A,5,Control,2,10.6359223300971,A,103,ZH33_Ore,ZH33,Ore
7B,1,Control,2,11.0137614678899,B,109,ZH33_Ore,ZH33,Ore
7B,3,Control,2,10.936974789916,B,119,ZH33_Ore,ZH33,Ore
7B,5,Control,2,11.5183486238532,B,109,ZH33_Ore,ZH33,Ore
13A,1,Control,2,10.8595505617978,A,89,ZW133_375,ZW133,375
13A,3,Control,2,11.2798165137615,A,109,ZW133_375,ZW133,375
13A,5,Control,2,10.9193548387097,A,93,ZW133_375,ZW133,375
13B,1,Control,2,11.59375,B,128,ZW133_375,ZW133,375
13B,3,Control,2,11.8813559322034,B,118,ZW133_375,ZW133,375
13B,5,Control,2,10.8620689655172,B,116,ZW133_375,ZW133,375
16A,1,Control,2,11.6259842519685,A,127,ZH33_375,ZH33,375
16A,3,Control,2,11.2766497461929,A,197,ZH33_375,ZH33,375
16A,5,Control,2,11.7018348623853,A,109,ZH33_375,ZH33,375
16B,1,Control,2,11.7125,B,80,ZH33_375,ZH33,375
16B,3,Control,2,11.8225806451613,B,31,ZH33_375,ZH33,375
16B,5,Control,2,11.530303030303,B,99,ZH33_375,ZH33,375
24A,1,Control,2,11.1198347107438,A,121,Bei23_Ore,Bei23,Ore
24A,3,Control,2,11.1410256410256,A,117,Bei23_Ore,Bei23,Ore
24A,5,Control,2,11.0192307692308,A,104,Bei23_Ore,Bei23,Ore
24B,1,Control,2,11.0801526717557,B,131,Bei23_Ore,Bei23,Ore
24B,3,Control,2,11.2985074626866,B,134,Bei23_Ore,Bei23,Ore
24B,5,Control,2,11.3,B,130,Bei23_Ore,Bei23,Ore
26A,1,Control,2,10.5901639344262,A,122,Bei11_Ore,Bei11,Ore
26A,3,Control,2,10.6328125,A,128,Bei11_Ore,Bei11,Ore
26A,5,Control,2,11.2445255474453,A,137,Bei11_Ore,Bei11,Ore
26B,1,Control,2,11.6481481481481,B,135,Bei11_Ore,Bei11,Ore
26B,3,Control,2,11.1434108527132,B,129,Bei11_Ore,Bei11,Ore
26B,5,Control,2,11.1422018348624,B,109,Bei11_Ore,Bei11,Ore
34A,1,Control,2,11.5380952380952,A,105,Bei23_375,Bei23,375
34A,3,Control,2,11.2222222222222,A,108,Bei23_375,Bei23,375
34A,5,Control,2,11.669014084507,A,71,Bei23_375,Bei23,375
34B,1,Control,2,11.6388888888889,B,72,Bei23_375,Bei23,375
34B,3,Control,2,11.2209302325581,B,86,Bei23_375,Bei23,375
34B,5,Control,2,11.7166666666667,B,60,Bei23_375,Bei23,375
36A,1,Control,2,11.6125,A,80,Bei11_375,Bei11,375
36A,3,Control,2,11.3888888888889,A,99,Bei11_375,Bei11,375
36A,5,Control,2,11.7873563218391,A,87,Bei11_375,Bei11,375
36B,1,Control,2,12.1981132075472,B,53,Bei11_375,Bei11,375
36B,3,Control,2,11.9835164835165,B,91,Bei11_375,Bei11,375
36B,5,Control,2,11.9833333333333,B,60,Bei11_375,Bei11,375
41A,1,Control,2,10.0833333333333,A,12,siI_Ore,siI,Ore
41A,3,Control,2,10.9251968503937,A,127,siI_Ore,siI,Ore
41A,5,Control,2,11.0952380952381,A,126,siI_Ore,siI,Ore
41B,1,Control,2,11.5485436893204,B,103,siI_Ore,siI,Ore
41B,3,Control,2,9.98484848484848,B,33,siI_Ore,siI,Ore
41B,5,Control,2,11.1421052631579,B,95,siI_Ore,siI,Ore
42A,1,Control,2,10.3809523809524,A,84,yak_Ore,yak,Ore
42A,3,Control,2,9.88983050847458,A,59,yak_Ore,yak,Ore
42A,5,Control,2,10.1326530612245,A,49,yak_Ore,yak,Ore
42B,1,Control,2,10.2666666666667,B,60,yak_Ore,yak,Ore
42B,3,Control,2,10.7884615384615,B,104,yak_Ore,yak,Ore
42B,5,Control,2,10.7666666666667,B,90,yak_Ore,yak,Ore
45A,1,Control,2,10.5461538461538,A,65,siI_375,siI,375
45A,3,Control,2,11.4310344827586,A,116,siI_375,siI,375
45A,5,Control,2,11.82,A,100,siI_375,siI,375
45B,1,Control,2,12.1222222222222,B,45,siI_375,siI,375
45B,3,Control,2,11.8717948717949,B,78,siI_375,siI,375
45B,5,Control,2,11.9603174603175,B,63,siI_375,siI,375
46A,1,Control,2,11.6975308641975,A,81,yak_375,yak,375
46A,3,Control,2,11.6333333333333,A,105,yak_375,yak,375
46A,5,Control,2,12,A,70,yak_375,yak,375
46B,1,Control,2,12.2894736842105,B,38,yak_375,yak,375
46B,3,Control,2,12.1511627906977,B,43,yak_375,yak,375
46B,5,Control,2,11.5909090909091,B,22,yak_375,yak,375
Ore,1,Control,2,11.3717948717949,parental,156,Ore_Ore,Ore,Ore
Ore,3,Control,2,11.1493506493506,parental,154,Ore_Ore,Ore,Ore
Ore,5,Control,2,11.2553956834532,parental,139,Ore_Ore,Ore,Ore
375,1,Control,2,11.3108108108108,parental,37,375_375,375,375
375,3,Control,2,11.5769230769231,parental,52,375_375,375,375
375,5,Control,2,11.8285714285714,parental,70,375_375,375,375
10A,1,Control,2,11.6744186046512,A,86,ZW144_375,ZW144,375
10A,3,Control,2,11.825,A,80,ZW144_375,ZW144,375
10A,5,Control,2,11.5733944954128,A,109,ZW144_375,ZW144,375
4A,1,Rotenone,2,11.2372881355932,A,118,ZW133_Ore,ZW133,Ore
4A,3,Rotenone,2,11.3181818181818,A,121,ZW133_Ore,ZW133,Ore
4A,5,Rotenone,2,11.492,A,125,ZW133_Ore,ZW133,Ore
4B,1,Rotenone,2,11.2788461538462,B,104,ZW133_Ore,ZW133,Ore
4B,3,Rotenone,2,11.0227272727273,B,88,ZW133_Ore,ZW133,Ore
4B,5,Rotenone,2,11.1929824561404,B,114,ZW133_Ore,ZW133,Ore
7A,1,Rotenone,2,11.1446280991736,A,121,ZH33_Ore,ZH33,Ore
7A,3,Rotenone,2,11.1,A,105,ZH33_Ore,ZH33,Ore
7A,5,Rotenone,2,11.2777777777778,A,108,ZH33_Ore,ZH33,Ore
7B,1,Rotenone,2,11.2692307692308,B,104,ZH33_Ore,ZH33,Ore
7B,3,Rotenone,2,11.3545454545455,B,110,ZH33_Ore,ZH33,Ore
7B,5,Rotenone,2,11.1370967741935,B,124,ZH33_Ore,ZH33,Ore
13A,1,Rotenone,2,11.8636363636364,A,77,ZW133_375,ZW133,375
13A,3,Rotenone,2,11.6694915254237,A,59,ZW133_375,ZW133,375
13A,5,Rotenone,2,11.3543689320388,A,103,ZW133_375,ZW133,375
13B,1,Rotenone,2,11.7876712328767,B,73,ZW133_375,ZW133,375
13B,3,Rotenone,2,11.7142857142857,B,84,ZW133_375,ZW133,375
13B,5,Rotenone,2,11.6529411764706,B,85,ZW133_375,ZW133,375
16A,1,Rotenone,2,11.6315789473684,A,76,ZH33_375,ZH33,375
16A,3,Rotenone,2,11.6363636363636,A,88,ZH33_375,ZH33,375
16A,5,Rotenone,2,11.6682242990654,A,107,ZH33_375,ZH33,375
16B,1,Rotenone,2,11.6038961038961,B,77,ZH33_375,ZH33,375
16B,3,Rotenone,2,11.6204819277108,B,83,ZH33_375,ZH33,375
16B,5,Rotenone,2,12.1805555555556,B,72,ZH33_375,ZH33,375
24A,1,Rotenone,2,11.695652173913,A,92,Bei23_Ore,Bei23,Ore
24A,3,Rotenone,2,11.3363636363636,A,110,Bei23_Ore,Bei23,Ore
24A,5,Rotenone,2,11.1504854368932,A,103,Bei23_Ore,Bei23,Ore
24B,1,Rotenone,2,11.2875,B,80,Bei23_Ore,Bei23,Ore
24B,3,Rotenone,2,11.2835820895522,B,134,Bei23_Ore,Bei23,Ore
24B,5,Rotenone,2,11.2983193277311,B,119,Bei23_Ore,Bei23,Ore
26A,1,Rotenone,2,11.1491228070175,A,114,Bei11_Ore,Bei11,Ore
26A,3,Rotenone,2,11,A,64,Bei11_Ore,Bei11,Ore
26A,5,Rotenone,2,11.400826446281,A,121,Bei11_Ore,Bei11,Ore
26B,1,Rotenone,2,11.1592592592593,B,135,Bei11_Ore,Bei11,Ore
26B,3,Rotenone,2,11.0123966942149,B,121,Bei11_Ore,Bei11,Ore
26B,5,Rotenone,2,11.047619047619,B,126,Bei11_Ore,Bei11,Ore
34A,1,Rotenone,2,11.480198019802,A,101,Bei23_375,Bei23,375
34A,3,Rotenone,2,11.4555555555556,A,90,Bei23_375,Bei23,375
34A,5,Rotenone,2,11.6458333333333,A,96,Bei23_375,Bei23,375
34B,1,Rotenone,2,11.4620253164557,B,79,Bei23_375,Bei23,375
34B,3,Rotenone,2,11.45,B,80,Bei23_375,Bei23,375
34B,5,Rotenone,2,11.5606060606061,B,66,Bei23_375,Bei23,375
36A,1,Rotenone,2,11.3313253012048,A,83,Bei11_375,Bei11,375
36A,3,Rotenone,2,11.3536585365854,A,82,Bei11_375,Bei11,375
36A,5,Rotenone,2,11.5,A,101,Bei11_375,Bei11,375
36B,1,Rotenone,2,11.9432989690722,B,97,Bei11_375,Bei11,375
36B,3,Rotenone,2,11.364406779661,B,59,Bei11_375,Bei11,375
36B,5,Rotenone,2,11.6449275362319,B,69,Bei11_375,Bei11,375
41A,1,Rotenone,2,11.1666666666667,A,6,siI_Ore,siI,Ore
41A,3,Rotenone,2,11.0172413793103,A,58,siI_Ore,siI,Ore
41A,5,Rotenone,2,11.3522727272727,A,88,siI_Ore,siI,Ore
41B,1,Rotenone,2,10.8260869565217,B,46,siI_Ore,siI,Ore
41B,3,Rotenone,2,11.2076923076923,B,65,siI_Ore,siI,Ore
41B,5,Rotenone,2,10.6818181818182,B,33,siI_Ore,siI,Ore
42A,1,Rotenone,2,11.3775510204082,A,49,yak_Ore,yak,Ore
42A,3,Rotenone,2,11.4111111111111,A,45,yak_Ore,yak,Ore
42A,5,Rotenone,2,11.4444444444444,A,54,yak_Ore,yak,Ore
42B,1,Rotenone,2,10.8076923076923,B,26,yak_Ore,yak,Ore
42B,3,Rotenone,2,10.9032258064516,B,62,yak_Ore,yak,Ore
42B,5,Rotenone,2,10.8913043478261,B,46,yak_Ore,yak,Ore
45A,1,Rotenone,2,11.7291666666667,A,48,siI_375,siI,375
45A,3,Rotenone,2,12.0416666666667,A,24,siI_375,siI,375
45A,5,Rotenone,2,11.7777777777778,A,18,siI_375,siI,375
45B,1,Rotenone,2,11.5952380952381,B,63,siI_375,siI,375
45B,3,Rotenone,2,11.5340909090909,B,88,siI_375,siI,375
45B,5,Rotenone,2,11.6538461538462,B,65,siI_375,siI,375
46A,1,Rotenone,2,11.9050632911392,A,79,yak_375,yak,375
46A,3,Rotenone,2,11.5684931506849,A,73,yak_375,yak,375
46A,5,Rotenone,2,11.8125,A,32,yak_375,yak,375
46B,1,Rotenone,2,12.1086956521739,B,69,yak_375,yak,375
46B,3,Rotenone,2,12.0142857142857,B,35,yak_375,yak,375
46B,5,Rotenone,2,11.969696969697,B,66,yak_375,yak,375
Ore,1,Rotenone,2,11.1666666666667,parental,117,Ore_Ore,Ore,Ore
Ore,3,Rotenone,2,11.3050847457627,parental,118,Ore_Ore,Ore,Ore
Ore,5,Rotenone,2,11.5222222222222,parental,135,Ore_Ore,Ore,Ore
375,1,Rotenone,2,9.5,parental,2,375_375,375,375
375,3,Rotenone,2,11.5,parental,13,375_375,375,375
375,5,Rotenone,2,11.9576271186441,parental,59,375_375,375,375
10A,1,Rotenone,2,11.3059701492537,A,67,ZW144_375,ZW144,375
10A,3,Rotenone,2,11.490990990991,A,111,ZW144_375,ZW144,375
10A,5,Rotenone,2,11.5675675675676,A,74,ZW144_375,ZW144,375
3A,1,Control,3,10.1,A,5,ZW140_Ore,ZW140,Ore
3A,3,Control,3,10,A,26,ZW140_Ore,ZW140,Ore
3A,5,Control,3,10.5,A,51,ZW140_Ore,ZW140,Ore
5A,1,Control,3,10.2142857142857,A,7,ZW09_Ore,ZW09,Ore
5A,3,Control,3,10.2307692307692,A,78,ZW09_Ore,ZW09,Ore
5A,5,Control,3,10.1144578313253,A,83,ZW09_Ore,ZW09,Ore
21A,1,Control,3,10.4090909090909,A,11,Bei52_Ore,Bei52,Ore
21A,3,Control,3,10.3823529411765,A,17,Bei52_Ore,Bei52,Ore
21A,5,Control,3,11.0972222222222,A,72,Bei52_Ore,Bei52,Ore
22A,1,Control,3,11.34375,A,32,Bei42_Ore,Bei42,Ore
22A,3,Control,3,11.546875,A,64,Bei42_Ore,Bei42,Ore
22A,5,Control,3,11.0384615384615,A,26,Bei42_Ore,Bei42,Ore
41A,1,Control,3,10.6558441558442,A,77,siI_Ore,siI,Ore
41A,3,Control,3,10.2727272727273,A,44,siI_Ore,siI,Ore
41A,5,Control,3,10.4705882352941,A,68,siI_Ore,siI,Ore
42A,1,Control,3,10.5571428571429,A,35,yak_Ore,yak,Ore
42A,3,Control,3,10.4473684210526,A,38,yak_Ore,yak,Ore
42A,5,Control,3,10.1216216216216,A,37,yak_Ore,yak,Ore
12A,1,Control,3,11.7987012987013,A,77,ZW140_375,ZW140,375
12A,3,Control,3,11.210843373494,A,83,ZW140_375,ZW140,375
12A,5,Control,3,12.0806451612903,A,31,ZW140_375,ZW140,375
14A,1,Control,3,11.4156626506024,A,83,ZW09_375,ZW09,375
14A,3,Control,3,11.3765432098765,A,81,ZW09_375,ZW09,375
14A,5,Control,3,11.0176470588235,A,85,ZW09_375,ZW09,375
31A,1,Control,3,10.7033898305085,A,59,Bei52_375,Bei52,375
31A,3,Control,3,11.0882352941176,A,68,Bei52_375,Bei52,375
31A,5,Control,3,11.2142857142857,A,70,Bei52_375,Bei52,375
32A,1,Control,3,11.8839285714286,A,112,Bei42_375,Bei42,375
32A,3,Control,3,11.25,A,48,Bei42_375,Bei42,375
32A,5,Control,3,11.6,A,40,Bei42_375,Bei42,375
45A,1,Control,3,10.9615384615385,A,65,siI_375,siI,375
45A,3,Control,3,11.0569620253165,A,79,siI_375,siI,375
45A,5,Control,3,10.9927536231884,A,69,siI_375,siI,375
46A,1,Control,3,11.4047619047619,A,84,yak_375,yak,375
46A,3,Control,3,10.9358974358974,A,78,yak_375,yak,375
46A,5,Control,3,11.0614035087719,A,57,yak_375,yak,375
3B,1,Control,3,10.5520833333333,B,96,ZW140_Ore,ZW140,Ore
3B,3,Control,3,10.9666666666667,B,30,ZW140_Ore,ZW140,Ore
3B,5,Control,3,11.1,B,45,ZW140_Ore,ZW140,Ore
5B,1,Control,3,10.375,B,8,ZW09_Ore,ZW09,Ore
5B,3,Control,3,9.86363636363636,B,22,ZW09_Ore,ZW09,Ore
5B,5,Control,3,10.3181818181818,B,11,ZW09_Ore,ZW09,Ore
