Stock,Vial,Treatment,Set,TSE,Build,Total,MitoNuc,Mito,Nuc,Set_adj,Pos_adj,Total_treat,Y_adj,Larval_density
4A,1,Control,2,10.9066666666667,A,150,ZW133_Ore,ZW133,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.6941241325592,1.82518906340896
4A,3,Control,2,10.575,A,120,ZW133_Ore,ZW133,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.3624574658925,1.46015125072717
4A,5,Control,2,10.775,A,120,ZW133_Ore,ZW133,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.5624574658925,1.46015125072717
4B,1,Control,2,10.7456140350877,B,114,ZW133_Ore,ZW133,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.5330715009802,1.38714368819081
4B,3,Control,2,10.6980198019802,B,101,ZW133_Ore,ZW133,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.4854772678727,1.2289606360287
4B,5,Control,2,11.140350877193,B,114,ZW133_Ore,ZW133,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.9278083430855,1.38714368819081
7A,1,Control,2,11.0157894736842,A,95,ZH33_Ore,ZH33,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.8032469395767,1.15595307349234
7A,3,Control,2,11.1280991735537,A,121,ZH33_Ore,ZH33,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.9155566394462,1.47231917781656
7A,5,Control,2,10.6359223300971,A,103,ZH33_Ore,ZH33,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.4233797959896,1.25329649020749
7B,1,Control,2,11.0137614678899,B,109,ZH33_Ore,ZH33,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.8012189337824,1.32630405274384
7B,3,Control,2,10.936974789916,B,119,ZH33_Ore,ZH33,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.7244322558085,1.44798332363777
7B,5,Control,2,11.5183486238532,B,109,ZH33_Ore,ZH33,Ore,11.1182279598313,10.9056854257238,82.1832669322709,11.3058060897457,1.32630405274384
13A,1,Control,2,10.8595505617978,A,89,ZW133_375,ZW133,375,11.1182279598313,10.9056854257238,82.1832669322709,10.6470080276903,1.08294551095598
13A,3,Control,2,11.2798165137615,A,109,ZW133_375,ZW133,375,11.1182279598313,10.9056854257238,82.1832669322709,11.067273979654,1.32630405274384
13A,5,Control,2,10.9193548387097,A,93,ZW133_375,ZW133,375,11.1182279598313,10.9056854257238,82.1832669322709,10.7068123046022,1.13161721931355
13B,1,Control,2,11.59375,B,128,ZW133_375,ZW133,375,11.1182279598313,10.9056854257238,82.1832669322709,11.3812074658925,1.55749466744231
13B,3,Control,2,11.8813559322034,B,118,ZW133_375,ZW133,375,11.1182279598313,10.9056854257238,82.1832669322709,11.6688133980959,1.43581539654838
13B,5,Control,2,10.8620689655172,B,116,ZW133_375,ZW133,375,11.1182279598313,10.9056854257238,82.1832669322709,10.6495264314097,1.41147954236959
16A,1,Control,2,11.6259842519685,A,127,ZH33_375,ZH33,375,11.1182279598313,10.9056854257238,82.1832669322709,11.413441717861,1.54532674035292
16A,3,Control,2,11.2766497461929,A,197,ZH33_375,ZH33,375,11.1182279598313,10.9056854257238,82.1832669322709,11.0641072120854,2.39708163661043
16A,5,Control,2,11.7018348623853,A,109,ZH33_375,ZH33,375,11.1182279598313,10.9056854257238,82.1832669322709,11.4892923282778,1.32630405274384
16B,1,Control,2,11.7125,B,80,ZH33_375,ZH33,375,11.1182279598313,10.9056854257238,82.1832669322709,11.4999574658925,0.973434167151445
16B,3,Control,2,11.8225806451613,B,31,ZH33_375,ZH33,375,11.1182279598313,10.9056854257238,82.1832669322709,11.6100381110538,0.377205739771185
16B,5,Control,2,11.530303030303,B,99,ZH33_375,ZH33,375,11.1182279598313,10.9056854257238,82.1832669322709,11.3177604961955,1.20462478184991
24A,1,Control,2,11.1198347107438,A,121,Bei23_Ore,Bei23,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.9072921766363,1.47231917781656
24A,3,Control,2,11.1410256410256,A,117,Bei23_Ore,Bei23,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.9284831069181,1.42364746945899
24A,5,Control,2,11.0192307692308,A,104,Bei23_Ore,Bei23,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.8066882351233,1.26546441729688
24B,1,Control,2,11.0801526717557,B,131,Bei23_Ore,Bei23,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.8676101376482,1.59399844871049
24B,3,Control,2,11.2985074626866,B,134,Bei23_Ore,Bei23,Ore,11.1182279598313,10.9056854257238,82.1832669322709,11.0859649285791,1.63050222997867
24B,5,Control,2,11.3,B,130,Bei23_Ore,Bei23,Ore,11.1182279598313,10.9056854257238,82.1832669322709,11.0874574658925,1.5818305216211
26A,1,Control,2,10.5901639344262,A,122,Bei11_Ore,Bei11,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.3776214003187,1.48448710490595
26A,3,Control,2,10.6328125,A,128,Bei11_Ore,Bei11,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.4202699658925,1.55749466744231
26A,5,Control,2,11.2445255474453,A,137,Bei11_Ore,Bei11,Ore,11.1182279598313,10.9056854257238,82.1832669322709,11.0319830133378,1.66700601124685
26B,1,Control,2,11.6481481481481,B,135,Bei11_Ore,Bei11,Ore,11.1182279598313,10.9056854257238,82.1832669322709,11.4356056140406,1.64267015706806
26B,3,Control,2,11.1434108527132,B,129,Bei11_Ore,Bei11,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.9308683186057,1.5696625945317
26B,5,Control,2,11.1422018348624,B,109,Bei11_Ore,Bei11,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.9296593007549,1.32630405274384
34A,1,Control,2,11.5380952380952,A,105,Bei23_375,Bei23,375,11.1182279598313,10.9056854257238,82.1832669322709,11.3255527039877,1.27763234438627
34A,3,Control,2,11.2222222222222,A,108,Bei23_375,Bei23,375,11.1182279598313,10.9056854257238,82.1832669322709,11.0096796881147,1.31413612565445
34A,5,Control,2,11.669014084507,A,71,Bei23_375,Bei23,375,11.1182279598313,10.9056854257238,82.1832669322709,11.4564715503995,0.863922823346907
34B,1,Control,2,11.6388888888889,B,72,Bei23_375,Bei23,375,11.1182279598313,10.9056854257238,82.1832669322709,11.4263463547814,0.8760907504363
34B,3,Control,2,11.2209302325581,B,86,Bei23_375,Bei23,375,11.1182279598313,10.9056854257238,82.1832669322709,11.0083876984506,1.0464417296878
34B,5,Control,2,11.7166666666667,B,60,Bei23_375,Bei23,375,11.1182279598313,10.9056854257238,82.1832669322709,11.5041241325592,0.730075625363584
36A,1,Control,2,11.6125,A,80,Bei11_375,Bei11,375,11.1182279598313,10.9056854257238,82.1832669322709,11.3999574658925,0.973434167151445
36A,3,Control,2,11.3888888888889,A,99,Bei11_375,Bei11,375,11.1182279598313,10.9056854257238,82.1832669322709,11.1763463547814,1.20462478184991
36A,5,Control,2,11.7873563218391,A,87,Bei11_375,Bei11,375,11.1182279598313,10.9056854257238,82.1832669322709,11.5748137877316,1.0586096567772
36B,1,Control,2,12.1981132075472,B,53,Bei11_375,Bei11,375,11.1182279598313,10.9056854257238,82.1832669322709,11.9855706734397,0.644900135737832
36B,3,Control,2,11.9835164835165,B,91,Bei11_375,Bei11,375,11.1182279598313,10.9056854257238,82.1832669322709,11.770973949409,1.10728136513477
