Stock,Vial,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,Treatment
4A,1,0,0,0,33,48,44,25,Control
4A,3,0,0,0,36,54,15,15,Control
4A,5,0,0,0,28,53,17,22,Control
4B,1,0,0,0,39,27,29,19,Control
4B,3,0,0,0,32,36,14,19,Control
4B,5,0,0,0,17,33,38,26,Control
7A,1,0,0,0,15,40,16,24,Control
7A,3,0,0,0,17,40,35,29,Control
7A,5,0,0,0,32,41,14,16,Control
7B,1,0,0,0,18,37,34,20,Control
7B,3,0,0,0,25,43,25,26,Control
7B,5,0,0,0,1,32,40,36,Control
13A,1,0,0,0,20,32,22,15,Control
13A,3,0,0,0,7,32,48,22,Control
13A,5,0,0,0,14,36,33,10,Control
13B,1,0,0,0,2,30,50,46,Control
13B,3,0,0,0,3,16,32,67,Control
13B,5,0,0,0,11,61,35,9,Control
16A,1,0,0,0,1,34,40,52,Control
16A,3,0,0,0,6,73,77,41,Control
16A,5,0,0,0,5,10,52,42,Control
16B,1,0,0,0,2,18,21,39,Control
16B,3,0,0,0,0,5,11,15,Control
16B,5,0,0,0,5,14,53,27,Control
24A,1,0,0,0,9,53,34,25,Control
24A,3,0,0,0,21,32,32,32,Control
24A,5,0,0,0,18,39,22,25,Control
24B,1,0,0,0,18,48,36,29,Control
24B,3,0,0,0,7,51,38,38,Control
24B,5,0,0,0,8,46,40,36,Control
26A,1,0,0,0,38,48,23,13,Control
26A,3,0,0,0,49,32,28,19,Control
26A,5,0,0,0,6,59,36,36,Control
26B,1,0,0,0,1,24,64,46,Control
26B,3,0,0,0,2,63,43,21,Control
26B,5,0,0,0,3,62,15,29,Control
34A,1,0,0,0,2,30,35,38,Control
34A,3,0,0,0,11,32,41,24,Control
34A,5,0,0,0,1,15,26,29,Control
34B,1,0,0,0,0,15,32,25,Control
34B,3,0,0,0,9,30,23,24,Control
34B,5,0,0,0,2,11,19,28,Control
36A,1,0,0,0,4,12,35,29,Control
36A,3,0,0,0,3,30,41,25,Control
36A,5,0,0,0,1,9,41,36,Control
36B,1,0,0,0,0,1,14,38,Control
36B,3,0,0,0,0,2,43,46,Control
36B,5,0,0,0,0,5,21,34,Control
41A,1,0,0,0,8,1,3,0,Control
41A,3,0,0,0,39,20,43,25,Control
41A,5,0,0,0,30,28,31,37,Control
41B,1,0,0,0,16,10,30,47,Control
41B,3,0,0,0,21,9,2,1,Control
41B,5,0,0,0,28,8,29,30,Control
42A,1,0,0,0,48,12,10,14,Control
42A,3,0,0,0,40,16,2,1,Control
42A,5,0,0,0,33,5,7,4,Control
42B,1,0,0,0,33,12,11,4,Control
42B,3,0,0,0,42,13,26,23,Control
42B,5,0,0,0,33,18,21,18,Control
45A,1,0,0,0,17,32,12,4,Control
45A,3,0,0,0,2,38,42,34,Control
45A,5,0,0,0,0,19,30,51,Control
45B,1,0,0,0,0,1,15,29,Control
45B,3,0,0,0,3,9,22,44,Control
45B,5,0,0,0,2,5,18,38,Control
46A,1,0,0,0,2,12,35,32,Control
46A,3,0,0,0,1,26,36,42,Control
46A,5,0,0,0,1,8,16,45,Control
46B,1,0,0,0,0,0,8,30,Control
46B,3,0,0,0,0,1,13,29,Control
46B,5,0,0,0,1,5,7,9,Control
Ore,1,0,0,0,3,54,59,40,Control
Ore,3,0,0,0,6,79,32,37,Control
Ore,5,0,0,0,3,61,42,33,Control
375,1,0,0,0,6,8,10,13,Control
375,3,0,0,0,4,11,14,23,Control
375,5,0,0,0,0,5,37,28,Control
10A,1,0,0,0,0,15,41,30,Control
10A,3,0,0,0,0,6,42,32,Control
10A,5,0,0,0,1,26,46,36,Control
4A,1,0,0,0,2,47,49,20,Rotenone
4A,3,0,0,0,6,45,35,35,Rotenone
4A,5,0,0,0,0,38,50,37,Rotenone
4B,1,0,0,0,8,29,45,22,Rotenone
4B,3,0,0,0,16,25,32,15,Rotenone
4B,5,0,0,0,11,41,34,28,Rotenone
7A,1,0,0,0,1,62,37,21,Rotenone
7A,3,0,0,0,1,61,22,21,Rotenone
7A,5,0,0,0,3,42,39,24,Rotenone
7B,1,0,0,0,2,48,26,28,Rotenone
7B,3,0,0,0,3,41,35,31,Rotenone
7B,5,0,0,0,2,64,35,23,Rotenone
13A,1,0,0,0,0,7,35,35,Rotenone
13A,3,0,0,0,3,8,24,24,Rotenone
13A,5,0,0,0,8,31,32,32,Rotenone
13B,1,0,0,0,0,15,22,36,Rotenone
13B,3,0,0,0,1,22,19,42,Rotenone
13B,5,0,0,0,1,17,35,32,Rotenone
16A,1,0,0,0,3,11,35,27,Rotenone
16A,3,0,0,0,2,17,36,33,Rotenone
16A,5,0,0,0,0,19,51,37,Rotenone
16B,1,0,0,0,0,7,55,15,Rotenone
16B,3,0,0,0,0,12,49,22,Rotenone
16B,5,0,0,0,0,2,19,51,Rotenone
24A,1,0,0,0,1,17,37,37,Rotenone
24A,3,0,0,0,0,50,28,32,Rotenone
24A,5,0,0,0,4,47,33,19,Rotenone
24B,1,0,0,0,1,32,30,17,Rotenone
24B,3,0,0,0,3,56,42,33,Rotenone
24B,5,0,0,0,1,52,36,30,Rotenone
26A,1,0,0,0,2,60,28,24,Rotenone
26A,3,0,0,0,5,34,13,12,Rotenone
26A,5,0,0,0,3,40,44,34,Rotenone
26B,1,0,0,0,1,64,50,20,Rotenone
26B,3,0,0,0,4,67,34,16,Rotenone
26B,5,0,0,0,6,66,33,21,Rotenone
34A,1,0,0,0,2,21,55,23,Rotenone
34A,3,0,0,0,1,24,43,22,Rotenone
34A,5,0,0,0,1,11,57,27,Rotenone
34B,1,0,0,0,1,25,29,24,Rotenone
34B,3,0,0,0,1,22,37,20,Rotenone
34B,5,0,0,0,1,10,39,16,Rotenone
36A,1,0,0,0,0,29,39,15,Rotenone
36A,3,0,0,0,0,33,28,21,Rotenone
