Stock,Vial,day7,day8,day9,day10,day11,day12,day13,Treatment
9A,1,0,0,1,21,44,40,26,Control
9A,3,0,0,3,11,39,29,22,Control
9A,5,0,0,1,8,37,25,23,Control
9B,1,0,0,0,7,28,29,28,Control
9B,3,0,0,0,9,27,34,23,Control
9B,5,0,0,0,2,16,28,35,Control
18A,1,0,1,1,17,13,13,10,Control
18A,3,0,0,1,1,21,26,17,Control
18A,5,0,0,2,4,10,25,15,Control
18B,1,0,0,0,2,12,17,5,Control
18B,3,0,0,0,1,4,19,10,Control
18B,5,0,0,1,3,10,27,16,Control
23A,1,0,0,0,13,37,28,35,Control
23A,3,0,0,0,16,22,36,32,Control
23A,5,0,0,2,10,30,52,23,Control
23B,1,0,0,0,0,11,34,36,Control
23B,3,0,0,0,3,22,36,27,Control
23B,5,0,0,0,1,11,39,20,Control
33A,1,0,0,0,6,29,15,19,Control
33A,3,0,0,1,2,24,21,22,Control
33A,5,0,0,0,2,26,35,18,Control
33B,1,0,0,0,0,5,22,20,Control
33B,3,0,0,1,2,20,29,33,Control
33B,5,0,0,0,2,12,22,20,Control
41A,1,0,0,0,16,36,16,13,Control
41A,3,0,0,3,26,21,31,25,Control
41A,5,0,0,3,3,37,37,27,Control
42A,1,0,0,1,13,16,23,23,Control
42A,3,0,0,0,12,15,11,17,Control
42A,5,0,0,0,7,11,17,31,Control
45A,1,0,0,0,2,27,33,29,Control
45A,3,0,0,0,15,25,10,15,Control
45A,5,0,0,0,5,29,17,13,Control
46A,1,0,0,0,2,24,13,20,Control
46A,3,0,0,0,1,10,12,18,Control
46A,5,0,0,0,0,10,22,19,Control
Ore,1,0,0,3,25,16,18,20,Control
Ore,3,0,0,2,16,44,35,28,Control
Ore,5,0,0,0,12,45,33,29,Control
375,1,0,0,0,1,19,47,29,Control
375,3,0,0,0,1,10,25,29,Control
375,5,0,0,0,0,17,24,23,Control
8A,1,0,0,2,24,19,9,10,Control
8A,3,0,0,0,15,31,19,15,Control
8A,5,0,0,6,16,44,26,22,Control
28B,1,0,0,22,48,12,10,13,Control
28B,3,0,0,5,55,22,9,3,Control
28B,5,0,0,15,43,49,17,2,Control
9A,1,0,0,0,3,14,17,23,Rotenone
9A,3,0,0,0,2,12,24,24,Rotenone
9A,5,0,0,0,3,19,28,25,Rotenone
9B,1,0,0,0,3,19,20,18,Rotenone
9B,3,0,0,0,0,6,21,25,Rotenone
9B,5,0,0,0,0,3,11,31,Rotenone
18A,1,0,0,0,1,3,16,17,Rotenone
18A,3,0,0,0,0,3,9,19,Rotenone
18A,5,0,0,0,0,4,7,11,Rotenone
18B,1,0,0,0,1,9,19,7,Rotenone
18B,3,0,0,0,0,1,6,25,Rotenone
18B,5,0,0,0,0,1,21,22,Rotenone
23A,1,0,0,0,4,10,30,25,Rotenone
23A,3,0,0,0,1,13,25,25,Rotenone
23A,5,0,0,0,1,14,33,13,Rotenone
23B,1,0,0,0,0,1,9,30,Rotenone
23B,3,0,0,0,0,0,6,26,Rotenone
23B,5,0,0,0,0,4,22,37,Rotenone
33A,1,0,0,0,1,20,16,8,Rotenone
33A,3,0,0,0,0,1,7,26,Rotenone
33A,5,0,0,0,0,8,39,14,Rotenone
33B,1,0,0,0,3,36,30,10,Rotenone
33B,3,0,0,0,0,7,27,33,Rotenone
33B,5,0,0,0,1,5,3,8,Rotenone
41A,1,0,0,0,1,14,24,41,Rotenone
41A,3,0,0,0,1,12,33,32,Rotenone
41A,5,0,0,0,1,11,25,25,Rotenone
42A,1,0,0,0,0,2,19,27,Rotenone
42A,3,0,0,0,0,1,7,23,Rotenone
42A,5,0,0,0,0,1,1,21,Rotenone
45A,1,0,0,0,0,1,15,27,Rotenone
45A,3,0,0,0,0,3,18,29,Rotenone
45A,5,0,0,0,0,2,15,26,Rotenone
46A,1,0,0,0,0,3,14,21,Rotenone
46A,3,0,0,0,0,0,12,24,Rotenone
46A,5,0,0,0,0,6,13,27,Rotenone
Ore,1,0,0,0,4,27,39,22,Rotenone
Ore,3,0,0,0,2,18,55,23,Rotenone
Ore,5,0,0,0,0,17,16,31,Rotenone
375,1,0,0,0,0,1,11,26,Rotenone
375,3,0,0,0,1,22,30,11,Rotenone
375,5,0,0,0,0,4,21,38,Rotenone
8A,1,0,0,0,4,20,25,31,Rotenone
8A,3,0,0,0,3,15,17,14,Rotenone
8A,5,0,0,0,1,18,26,19,Rotenone
28B,1,0,0,1,13,24,44,28,Rotenone
28B,3,0,0,3,26,35,26,14,Rotenone
28B,5,0,0,0,0,20,44,23,Rotenone
