Stock,Vial,7/18,7/19,7/20,7/21,7/22,7/23,7/24,Treatment
2B,1,0,1,12,30,34,29,19,Control
2B,2,0,0,11,16,34,39,22,Control
2B,3,0,0,17,27,31,21,26,Control
4B,1,0,0,10,31,32,16,24,Control
4B,2,0,1,11,36,13,13,6,Control
4B,3,0,2,10,27,20,10,8,Control
7B,1,0,0,12,28,35,28,14,Control
7B,2,0,0,12,25,22,7,8,Control
7B,3,0,0,5,33,17,13,10,Control
11B,1,0,0,4,40,21,9,2,Control
11B,2,0,0,0,15,11,35,27,Control
11B,3,0,0,1,14,19,35,39,Control
13B,1,0,0,1,39,40,23,13,Control
13B,2,0,0,11,13,22,36,25,Control
13B,3,0,0,2,15,28,40,42,Control
16B,1,0,0,2,24,31,18,9,Control
16B,2,0,0,1,31,27,13,5,Control
16B,3,0,0,9,26,16,22,16,Control
19B,1,0,0,36,27,18,15,9,Control
19B,2,0,0,31,25,31,37,17,Control
19B,3,0,1,25,24,33,15,10,Control
24B,1,0,5,33,17,17,12,5,Control
24B,2,0,1,32,16,18,13,11,Control
24B,3,0,2,42,19,7,21,15,Control
26B,1,0,0,26,14,11,14,8,Control
26B,2,0,0,27,32,22,19,14,Control
26B,3,0,1,29,17,19,15,11,Control
29B,1,0,1,12,5,62,37,23,Control
29B,2,0,0,7,20,41,25,18,Control
29B,3,0,0,3,14,45,30,17,Control
34B,1,0,1,18,22,18,14,15,Control
34B,2,0,1,10,35,13,16,8,Control
34B,3,0,1,9,20,12,28,15,Control
36B,1,0,0,7,54,20,13,16,Control
36B,2,0,0,8,44,22,14,17,Control
36B,3,0,0,5,50,29,11,6,Control
41B,1,0,1,5,23,47,34,14,Control
41B,2,0,0,7,27,41,41,15,Control
41B,3,0,0,4,28,54,18,11,Control
42B,1,0,1,17,21,26,21,32,Control
42B,2,0,0,11,21,38,15,13,Control
42B,3,0,0,15,21,23,15,23,Control
45B,1,0,0,8,21,23,19,21,Control
45B,2,0,0,7,18,21,20,34,Control
45B,3,0,0,19,14,21,40,36,Control
46B,1,0,0,5,37,13,15,34,Control
46B,2,0,0,4,35,18,23,21,Control
46B,3,0,0,2,45,36,13,7,Control
2B,1,0,0,5,9,20,12,3,Rotenone
2B,2,0,0,6,8,26,42,5,Rotenone
2B,3,0,0,3,22,24,18,5,Rotenone
4B,1,0,0,4,12,22,8,4,Rotenone
4B,2,0,0,4,11,21,10,2,Rotenone
4B,3,0,0,5,17,31,16,3,Rotenone
7B,1,0,0,2,11,8,13,1,Rotenone
7B,2,0,0,0,16,27,21,5,Rotenone
7B,3,0,0,7,10,18,15,5,Rotenone
11B,1,0,0,0,10,39,11,9,Rotenone
11B,2,0,0,1,4,11,28,38,Rotenone
11B,3,0,0,1,14,24,18,9,Rotenone
13B,1,0,0,2,18,9,36,22,Rotenone
13B,2,0,0,2,5,18,24,27,Rotenone
13B,3,0,0,0,6,12,25,40,Rotenone
16B,1,0,0,1,8,21,3,7,Rotenone
16B,2,0,0,4,9,21,7,12,Rotenone
16B,3,0,0,0,10,15,9,13,Rotenone
19B,1,0,0,4,9,40,41,10,Rotenone
19B,2,0,0,3,21,27,46,21,Rotenone
19B,3,0,0,0,18,5,32,32,Rotenone
24B,1,0,0,3,42,16,18,10,Rotenone
24B,2,0,0,3,34,10,16,2,Rotenone
24B,3,0,0,8,29,10,6,1,Rotenone
26B,1,0,0,26,14,11,14,8,Rotenone
26B,2,0,0,27,32,22,19,14,Rotenone
26B,3,0,0,29,17,19,15,11,Rotenone
29B,1,0,0,12,5,62,37,23,Rotenone
29B,2,0,0,7,20,41,25,18,Rotenone
29B,3,0,0,3,14,45,30,17,Rotenone
34B,1,0,0,18,22,18,14,15,Rotenone
34B,2,0,0,10,35,13,16,8,Rotenone
34B,3,0,0,9,20,12,28,15,Rotenone
36B,1,0,0,7,54,20,13,16,Rotenone
36B,2,0,0,8,44,22,14,17,Rotenone
36B,3,0,0,5,50,29,11,6,Rotenone
41B,1,0,0,5,23,47,34,14,Rotenone
41B,2,0,0,7,27,41,41,15,Rotenone
41B,3,0,0,4,28,54,18,11,Rotenone
42B,1,0,0,17,21,26,21,32,Rotenone
42B,2,0,0,11,21,38,15,13,Rotenone
42B,3,0,0,15,21,23,15,23,Rotenone
45B,1,0,0,8,21,23,19,21,Rotenone
45B,2,0,0,7,18,21,20,34,Rotenone
45B,3,0,0,19,14,21,40,36,Rotenone
46B,1,0,0,5,37,13,15,34,Rotenone
46B,2,0,0,4,35,18,23,21,Rotenone
46B,3,0,0,2,45,36,13,7,Rotenone
