,X,Y,Mito,Nuc,Sex
0,307,0.0878003696857671,Bei52B,375R,F
1,206,0.9168207024029575,Bei52B,375R,F
2,298,0.7356746765249538,Bei52B,375R,F
3,233,0.9094269870609981,Bei52B,375R,F
4,357,0.8142329020332717,Bei52B,375R,F
5,174,0.8696857670979667,Bei52B,375R,F
6,355,0.878003696857671,Bei52B,375R,F
7,125,0.9205175600739371,Bei52B,375R,F
8,173,0.9020332717190388,Bei52B,375R,F
9,302,0.9990757855822551,Bei52B,375R,F
10,127,0.8401109057301294,Bei52B,375R,F
11,370,0.9500924214417745,Bei52B,375R,F
12,391,0.6645101663585952,Bei52B,375R,F
13,339,0.9269870609981515,Bei52B,375R,F
14,172,0.910351201478743,Bei52B,375R,F
15,374,0.9768946395563771,Bei52B,375R,F
16,306,0.8706099815157117,Bei52B,375R,F
17,258,-0.06377079482439929,Bei52B,375R,F
18,350,0.7948243992606285,Bei52B,375R,F
19,368,0.865988909426987,Bei52B,375R,F
20,81,0.967652495378928,Bei52B,375R,F
21,314,0.8373382624768946,Bei52B,375R,F
22,359,0.865988909426987,Bei52B,375R,F
23,175,0.8955637707948244,Bei52B,375R,F
24,314,0.9279112754158965,Bei52B,375R,F
25,357,0.7985212569316081,Bei52B,375R,F
26,97,0.9001848428835489,Bei52B,375R,F
27,204,0.8012939001848429,Bei52B,375R,F
28,140,0.8123844731977818,Bei52B,375R,F
29,197,0.8364140480591498,Bei52B,375R,F
30,127,0.8438077634011091,Bei52B,375R,F
31,251,0.8077634011090573,Bei52B,375R,F
32,164,0.5683918669131238,Bei52B,375R,F
33,142,0.8077634011090573,Bei52B,375R,F
34,232,0.8197781885397413,Bei52B,375R,F
35,13,0.8317929759704251,Bei52B,375R,F
36,140,0.8382624768946396,Bei52B,375R,F
37,273,0.8530499075785583,Bei52B,375R,F
38,185,0.8207024029574861,Bei52B,375R,F
39,89,0.821626617375231,Bei52B,375R,F
40,58,0.8493530499075785,Bei52B,375R,F
41,337,0.7402957486136783,Bei52B,375R,F
42,317,0.9075785582255083,Bei52B,375R,F
43,293,0.6848428835489834,Bei52B,375R,F
44,302,0.7929759704251387,Bei52B,375R,F
45,221,0.8585951940850277,Bei52B,375R,F
