,X,Y,Mito,Nuc,Sex
0,5,0.9541800643086816,siI,OreAR,M
1,55,0.09163987138263663,siI,OreAR,M
2,47,0.9983922829581994,siI,OreAR,M
3,6,0.9437299035369775,siI,OreAR,M
4,272,0.297427652733119,siI,OreAR,M
5,192,0.844855305466238,siI,OreAR,M
6,343,0.8512861736334405,siI,OreAR,M
7,411,0.8545016077170418,siI,OreAR,M
8,377,0.8954983922829582,siI,OreAR,M
9,406,0.7146302250803859,siI,OreAR,M
10,364,0.7242765273311897,siI,OreAR,M
11,408,0.822347266881029,siI,OreAR,M
12,129,0.8609324758842444,siI,OreAR,M
13,71,0.9019292604501608,siI,OreAR,M
14,231,0.6985530546623795,siI,OreAR,M
15,195,0.7757234726688103,siI,OreAR,M
16,154,0.819935691318328,siI,OreAR,M
17,188,0.862540192926045,siI,OreAR,M
18,183,0.8858520900321544,siI,OreAR,M
19,138,0.8689710610932476,siI,OreAR,M
20,131,0.8520900321543409,siI,OreAR,M
21,113,0.8802250803858521,siI,OreAR,M
22,95,0.912379421221865,siI,OreAR,M
23,148,0.732315112540193,siI,OreAR,M
24,123,0.862540192926045,siI,OreAR,M
25,183,0.8995176848874598,siI,OreAR,M
26,197,0.9067524115755627,siI,OreAR,M
27,122,0.9083601286173634,siI,OreAR,M
28,335,0.9115755627009646,siI,OreAR,M
29,395,0.6310289389067525,siI,OreAR,M
30,268,0.909967845659164,siI,OreAR,M
31,374,0.8207395498392283,siI,OreAR,M
32,260,0.887459807073955,siI,OreAR,M
33,143,0.8681672025723473,siI,OreAR,M
34,37,0.8697749196141479,siI,OreAR,M
35,84,0.8786173633440515,siI,OreAR,M
36,114,0.8303858520900321,siI,OreAR,M
37,123,0.867363344051447,siI,OreAR,M
38,259,0.747588424437299,siI,OreAR,M
39,198,0.8456591639871383,siI,OreAR,M
40,163,0.687299035369775,siI,OreAR,M
41,185,0.7990353697749196,siI,OreAR,M
42,341,0.6672025723472669,siI,OreAR,M
43,172,0.7122186495176849,siI,OreAR,M
44,32,0.8271704180064309,siI,OreAR,M
45,42,0.8545016077170418,siI,OreAR,M
46,96,0.8681672025723473,siI,OreAR,M
47,319,0.882636655948553,siI,OreAR,M
48,94,0.9188102893890675,siI,OreAR,M
49,94,0.8295819935691319,siI,OreAR,M
50,155,0.8440514469453376,siI,OreAR,M
51,203,0.8569131832797428,siI,OreAR,M
52,193,0.8818327974276527,siI,OreAR,M
53,290,0.882636655948553,siI,OreAR,M
54,242,0.6913183279742765,siI,OreAR,M
55,189,0.8159163987138264,siI,OreAR,M
56,170,0.8882636655948553,siI,OreAR,M
57,54,0.9131832797427653,siI,OreAR,M
58,136,0.7652733118971061,siI,OreAR,M
59,164,0.7893890675241158,siI,OreAR,M
60,191,0.8255627009646302,siI,OreAR,M
61,98,0.8593247588424437,siI,OreAR,M
62,357,0.75,siI,OreAR,M
63,59,0.844855305466238,siI,OreAR,M
64,170,0.9131832797427653,siI,OreAR,M
65,342,0.887459807073955,siI,OreAR,M
66,270,0.9139871382636656,siI,OreAR,M
67,120,0.7942122186495177,siI,OreAR,M
68,147,0.7684887459807074,siI,OreAR,M
69,194,0.7861736334405145,siI,OreAR,M
70,92,0.7508038585209003,siI,OreAR,M
71,86,0.8127009646302251,siI,OreAR,M
72,67,0.6792604501607717,siI,OreAR,M
73,284,0.8472668810289389,siI,OreAR,M
0,85,0.0988745980707395,siI,OreAC,F
1,30,0.9935691318327974,siI,OreAC,F
2,186,0.2516077170418006,siI,OreAC,F
3,395,0.8480707395498392,siI,OreAC,F
4,392,0.8528938906752411,siI,OreAC,F
5,62,0.8062700964630225,siI,OreAC,F
6,240,0.8585209003215434,siI,OreAC,F
7,370,0.6245980707395498,siI,OreAC,F
8,396,0.8504823151125402,siI,OreAC,F
9,362,0.7242765273311897,siI,OreAC,F
10,217,0.8432475884244373,siI,OreAC,F
11,381,0.8215434083601286,siI,OreAC,F
12,180,0.7130225080385852,siI,OreAC,F
13,380,0.7741157556270096,siI,OreAC,F
14,190,0.7210610932475885,siI,OreAC,F
15,364,0.7315112540192926,siI,OreAC,F
16,71,0.7733118971061093,siI,OreAC,F
17,329,0.8054662379421222,siI,OreAC,F
18,256,0.8472668810289389,siI,OreAC,F
19,137,0.864951768488746,siI,OreAC,F
20,307,0.6254019292604502,siI,OreAC,F
21,397,0.8794212218649518,siI,OreAC,F
22,284,0.7266881028938907,siI,OreAC,F
23,140,0.5747588424437299,siI,OreAC,F
24,65,0.8183279742765274,siI,OreAC,F
25,88,0.8207395498392283,siI,OreAC,F
26,73,0.9541800643086816,siI,OreAC,F
27,56,0.520096463022508,siI,OreAC,F
28,252,0.7106109324758842,siI,OreAC,F
29,170,0.7347266881028939,siI,OreAC,F
30,153,0.7668810289389068,siI,OreAC,F
31,45,0.5241157556270096,siI,OreAC,F
32,157,0.7435691318327975,siI,OreAC,F
33,93,0.817524115755627,siI,OreAC,F
34,348,0.7266881028938907,siI,OreAC,F
35,186,0.7982315112540193,siI,OreAC,F
36,45,0.8360128617363344,siI,OreAC,F
37,383,0.5755627009646302,siI,OreAC,F
38,72,0.619774919614148,siI,OreAC,F
39,156,0.7347266881028939,siI,OreAC,F
40,368,0.9019292604501608,siI,OreAC,F
41,284,0.7033762057877814,siI,OreAC,F
42,248,0.6511254019292605,siI,OreAC,F
43,130,0.7741157556270096,siI,OreAC,F
44,122,0.6519292604501608,siI,OreAC,F
45,373,0.6889067524115755,siI,OreAC,F
46,323,0.7017684887459807,siI,OreAC,F
47,351,0.767684887459807,siI,OreAC,F
48,55,0.7781350482315113,siI,OreAC,F
49,84,0.8392282958199357,siI,OreAC,F
50,47,0.8472668810289389,siI,OreAC,F
51,27,0.6535369774919615,siI,OreAC,F
52,143,0.6631832797427653,siI,OreAC,F
53,46,0.7122186495176849,siI,OreAC,F
54,251,0.8327974276527331,siI,OreAC,F
55,78,0.7596463022508039,siI,OreAC,F
56,341,0.8247588424437299,siI,OreAC,F
0,5,0.9533762057877814,375,375C,F
1,174,0.9943729903536977,375,375C,F
2,3,0.9847266881028939,375,375C,F
3,30,0.094855305466238,375,375C,F
4,82,0.9003215434083601,375,375C,F
5,143,0.9172025723472669,375,375C,F
6,5,0.9429260450160771,375,375C,F
7,242,0.9646302250803859,375,375C,F
8,139,0.9807073954983923,375,375C,F
9,211,0.9332797427652733,375,375C,F
10,159,0.934887459807074,375,375C,F
11,403,0.9662379421221865,375,375C,F
12,322,0.957395498392283,375,375C,F
13,227,0.9268488745980707,375,375C,F
14,263,0.3440514469453376,375,375C,F
15,273,0.8946945337620579,375,375C,F
16,39,0.9188102893890675,375,375C,F
17,382,0.6808681672025724,375,375C,F
18,116,0.9188102893890675,375,375C,F
19,227,0.9702572347266881,375,375C,F
20,401,0.889871382636656,375,375C,F
21,78,0.8303858520900321,375,375C,F
22,281,0.912379421221865,375,375C,F
23,398,0.927652733118971,375,375C,F
24,88,0.912379421221865,375,375C,F
25,68,0.9630225080385852,375,375C,F
26,361,0.9027331189710611,375,375C,F
27,318,0.9131832797427653,375,375C,F
28,414,0.934887459807074,375,375C,F
29,52,0.8818327974276527,375,375C,F
30,36,0.9163987138263665,375,375C,F
31,32,0.9437299035369775,375,375C,F
32,235,0.8360128617363344,375,375C,F
33,192,0.8930868167202572,375,375C,F
34,81,0.909967845659164,375,375C,F
35,381,0.9220257234726688,375,375C,F
36,403,0.9356913183279743,375,375C,F
37,254,0.43569131832797425,375,375C,F
38,161,0.7861736334405145,375,375C,F
39,48,0.8842443729903537,375,375C,F
40,143,0.8577170418006431,375,375C,F
41,177,0.905144694533762,375,375C,F
42,408,0.9453376205787781,375,375C,F
43,301,0.770096463022508,375,375C,F
44,340,0.8030546623794212,375,375C,F
45,207,0.8287781350482315,375,375C,F
46,319,0.9630225080385852,375,375C,F
47,108,0.7644694533762058,375,375C,F
48,79,0.8866559485530546,375,375C,F
49,396,0.9453376205787781,375,375C,F
50,31,0.9670418006430869,375,375C,F
51,114,0.5916398713826366,375,375C,F
52,356,0.8022508038585209,375,375C,F
53,264,0.8657556270096463,375,375C,F
54,92,0.8110932475884245,375,375C,F
55,142,0.7339228295819935,375,375C,F
56,91,0.7789389067524115,375,375C,F
57,101,0.795016077170418,375,375C,F
0,8,0.9445337620578778,Bei12,375BC,M
1,43,0.9967845659163987,Bei12,375BC,M
2,3,0.9541800643086816,Bei12,375BC,M
3,8,0.9863344051446945,Bei12,375BC,M
4,411,0.072347266881029,Bei12,375BC,M
5,184,0.38183279742765275,Bei12,375BC,M
6,262,0.8963022508038585,Bei12,375BC,M
7,18,0.9421221864951769,Bei12,375BC,M
8,405,0.9252411575562701,Bei12,375BC,M
9,321,0.9268488745980707,Bei12,375BC,M
10,412,0.7331189710610932,Bei12,375BC,M
11,385,0.8906752411575563,Bei12,375BC,M
12,62,0.9107717041800643,Bei12,375BC,M
13,295,0.867363344051447,Bei12,375BC,M
14,34,0.9083601286173634,Bei12,375BC,M
15,144,0.9815112540192926,Bei12,375BC,M
16,358,0.912379421221865,Bei12,375BC,M
17,212,0.8729903536977492,Bei12,375BC,M
18,217,0.8979099678456591,Bei12,375BC,M
19,412,0.7877813504823151,Bei12,375BC,M
20,347,0.8368167202572347,Bei12,375BC,M
21,272,0.8946945337620579,Bei12,375BC,M
22,108,0.9212218649517685,Bei12,375BC,M
23,203,0.9630225080385852,Bei12,375BC,M
24,319,0.9083601286173634,Bei12,375BC,M
25,254,0.9284565916398714,Bei12,375BC,M
26,97,0.9244372990353698,Bei12,375BC,M
27,200,0.7387459807073955,Bei12,375BC,M
28,240,0.9284565916398714,Bei12,375BC,M
29,102,0.930064308681672,Bei12,375BC,M
30,355,0.9453376205787781,Bei12,375BC,M
31,102,0.9003215434083601,Bei12,375BC,M
32,245,0.9107717041800643,Bei12,375BC,M
33,97,0.9212218649517685,Bei12,375BC,M
34,365,0.9710610932475884,Bei12,375BC,M
35,93,0.8609324758842444,Bei12,375BC,M
36,37,0.8954983922829582,Bei12,375BC,M
37,249,0.932475884244373,Bei12,375BC,M
38,0,0.9927652733118971,Bei12,375BC,M
39,152,0.8713826366559485,Bei12,375BC,M
40,345,0.8167202572347267,Bei12,375BC,M
41,237,0.927652733118971,Bei12,375BC,M
42,293,0.6728295819935691,Bei12,375BC,M
43,217,0.889871382636656,Bei12,375BC,M
44,218,0.704983922829582,Bei12,375BC,M
45,166,0.819935691318328,Bei12,375BC,M
46,250,0.8922829581993569,Bei12,375BC,M
47,267,0.8729903536977492,Bei12,375BC,M
48,226,0.864951768488746,Bei12,375BC,M
49,134,0.9115755627009646,Bei12,375BC,M
50,181,0.7668810289389068,Bei12,375BC,M
51,209,0.8030546623794212,Bei12,375BC,M
52,259,0.819935691318328,Bei12,375BC,M
53,170,0.8319935691318328,Bei12,375BC,M
54,61,0.8456591639871383,Bei12,375BC,M
55,127,0.8754019292604501,Bei12,375BC,M
56,253,0.8818327974276527,Bei12,375BC,M
57,117,0.8046623794212219,Bei12,375BC,M
58,244,0.8593247588424437,Bei12,375BC,M
59,275,0.6985530546623795,Bei12,375BC,M
60,381,0.7709003215434084,Bei12,375BC,M
61,92,0.9107717041800643,Bei12,375BC,M
62,71,0.8472668810289389,Bei12,375BC,M
63,119,0.8890675241157556,Bei12,375BC,M
64,103,0.819935691318328,Bei12,375BC,M
65,268,0.8593247588424437,Bei12,375BC,M
66,282,0.8842443729903537,Bei12,375BC,M
67,86,0.9147909967845659,Bei12,375BC,M
68,300,0.5932475884244373,Bei12,375BC,M
69,289,0.8938906752411575,Bei12,375BC,M
70,29,0.8963022508038585,Bei12,375BC,M
71,60,0.9019292604501608,Bei12,375BC,M
72,130,0.9043408360128617,Bei12,375BC,M
73,83,0.8946945337620579,Bei12,375BC,M
0,126,0.13183279742765275,Zim53,OreBR,F
1,89,0.20016077170418012,Zim53,OreBR,F
2,9,0.9863344051446945,Zim53,OreBR,F
3,379,0.8086816720257235,Zim53,OreBR,F
4,6,0.9541800643086816,Zim53,OreBR,F
5,8,0.9445337620578778,Zim53,OreBR,F
6,68,0.9943729903536977,Zim53,OreBR,F
7,412,0.8536977491961415,Zim53,OreBR,F
8,241,0.35289389067524113,Zim53,OreBR,F
9,398,0.8520900321543409,Zim53,OreBR,F
10,229,0.7363344051446945,Zim53,OreBR,F
11,131,0.797427652733119,Zim53,OreBR,F
12,235,0.9831189710610932,Zim53,OreBR,F
13,242,0.7644694533762058,Zim53,OreBR,F
14,407,0.7982315112540193,Zim53,OreBR,F
15,404,0.8303858520900321,Zim53,OreBR,F
16,154,0.8336012861736335,Zim53,OreBR,F
17,267,0.8946945337620579,Zim53,OreBR,F
18,377,0.7290996784565916,Zim53,OreBR,F
