Mito,Nuc,Sex,Y,Set,Build,Treatment,Stock,Set_adj,Pos_adj,Y_adj
375,375,M,0.55546875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.528884103774337
375,375,M,0.88828125,1,parental,Control,375,0.851918472782258,0.825333826556595,0.861696603774337
375,375,M,0.9375,1,parental,Control,375,0.851918472782258,0.825333826556595,0.910915353774337
375,375,M,0.0984375,1,parental,Control,375,0.851918472782258,0.825333826556595,0.0718528537743366
375,375,M,0.7515625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.724977853774337
375,375,M,0.98046875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.953884103774337
375,375,M,0.86015625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.833571603774337
375,375,M,0.9203125,1,parental,Control,375,0.851918472782258,0.825333826556595,0.893727853774337
375,375,M,0.8515625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.824977853774337
375,375,M,0.96796875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.941384103774337
375,375,M,0.903125,1,parental,Control,375,0.851918472782258,0.825333826556595,0.876540353774337
375,375,M,0.81171875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.785134103774337
375,375,M,0.9375,1,parental,Control,375,0.851918472782258,0.825333826556595,0.910915353774337
375,375,M,0.94921875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.922634103774337
375,375,M,0.8890625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.862477853774337
375,375,M,0.825,1,parental,Control,375,0.851918472782258,0.825333826556595,0.798415353774337
375,375,M,0.90390625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.877321603774337
375,375,M,0.92734375,1,parental,Control,375,0.851918472782258,0.825333826556595,0.900759103774337
375,375,M,0.8328125,1,parental,Control,375,0.851918472782258,0.825333826556595,0.806227853774337
375,375,M,0.85078125,1,parental,Control,375,0.851918472782258,0.825333826556595,0.824196603774337
375,375,M,0.91328125,1,parental,Control,375,0.851918472782258,0.825333826556595,0.886696603774337
375,375,M,0.89921875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.872634103774337
375,375,M,0.93515625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.908571603774337
375,375,M,0.971875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.945290353774337
375,375,M,0.86171875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.835134103774337
375,375,M,0.86640625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.839821603774337
375,375,M,0.8734375,1,parental,Control,375,0.851918472782258,0.825333826556595,0.846852853774337
375,375,M,0.984375,1,parental,Control,375,0.851918472782258,0.825333826556595,0.957790353774337
375,375,M,0.9015625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.874977853774337
375,375,M,0.94765625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.921071603774337
375,375,M,0.97578125,1,parental,Control,375,0.851918472782258,0.825333826556595,0.949196603774337
375,375,M,0.9046875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.878102853774337
375,375,M,0.91640625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.889821603774337
375,375,M,0.91953125,1,parental,Control,375,0.851918472782258,0.825333826556595,0.892946603774337
375,375,M,0.96328125,1,parental,Control,375,0.851918472782258,0.825333826556595,0.936696603774337
375,375,M,0.92109375,1,parental,Control,375,0.851918472782258,0.825333826556595,0.894509103774337
375,375,M,0.9046875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.878102853774337
375,375,M,0.9171875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.890602853774337
375,375,M,0.56328125,1,parental,Control,375,0.851918472782258,0.825333826556595,0.536696603774337
375,375,M,0.884375,1,parental,Control,375,0.851918472782258,0.825333826556595,0.857790353774337
375,375,M,0.94765625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.921071603774337
375,375,M,0.94765625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.921071603774337
375,375,M,0.871875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.845290353774337
375,375,M,0.92734375,1,parental,Control,375,0.851918472782258,0.825333826556595,0.900759103774337
375,375,M,0.890625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.864040353774337
375,375,M,0.925,1,parental,Control,375,0.851918472782258,0.825333826556595,0.898415353774337
375,375,M,0.92890625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.902321603774337
375,375,M,0.9609375,1,parental,Control,375,0.851918472782258,0.825333826556595,0.934352853774337
375,375,M,0.84921875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.822634103774337
375,375,M,0.89453125,1,parental,Control,375,0.851918472782258,0.825333826556595,0.867946603774337
375,375,M,0.95625,1,parental,Control,375,0.851918472782258,0.825333826556595,0.929665353774337
375,375,M,0.91171875,1,parental,Control,375,0.851918472782258,0.825333826556595,0.885134103774337
375,375,M,0.99609375,1,parental,Control,375,0.851918472782258,0.825333826556595,0.969509103774337
375,375,M,0.7125,1,parental,Control,375,0.851918472782258,0.825333826556595,0.685915353774337
375,375,M,0.9609375,1,parental,Control,375,0.851918472782258,0.825333826556595,0.934352853774337
yak,375,F,0.31796875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.269140505605918
yak,375,F,0.62109375,1,B,Control,46B,0.819002549093656,0.770174304699573,0.572265505605918
yak,375,F,0.9140625,1,B,Control,46B,0.819002549093656,0.770174304699573,0.865234255605918
yak,375,F,0.87265625,1,B,Control,46B,0.819002549093656,0.770174304699573,0.823828005605918
yak,375,F,0.946875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.898046755605918
yak,375,F,0.86875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.819921755605918
yak,375,F,0.8328125,1,B,Control,46B,0.819002549093656,0.770174304699573,0.783984255605918
yak,375,F,0.0921875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.0433592556059178
yak,375,F,0.81640625,1,B,Control,46B,0.819002549093656,0.770174304699573,0.767578005605918
yak,375,F,0.95078125,1,B,Control,46B,0.819002549093656,0.770174304699573,0.901953005605918
yak,375,F,0.909375,1,B,Control,46B,0.819002549093656,0.770174304699573,0.860546755605918
yak,375,F,0.965625,1,B,Control,46B,0.819002549093656,0.770174304699573,0.916796755605918
yak,375,F,0.96796875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.919140505605918
yak,375,F,0.653125,1,B,Control,46B,0.819002549093656,0.770174304699573,0.604296755605918
yak,375,F,0.87578125,1,B,Control,46B,0.819002549093656,0.770174304699573,0.826953005605918
yak,375,F,0.99921875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.950390505605918
yak,375,F,0.80234375,1,B,Control,46B,0.819002549093656,0.770174304699573,0.753515505605918
yak,375,F,0.95078125,1,B,Control,46B,0.819002549093656,0.770174304699573,0.901953005605918
yak,375,F,0.98046875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.931640505605918
yak,375,F,0.8796875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.830859255605918
yak,375,F,0.82890625,1,B,Control,46B,0.819002549093656,0.770174304699573,0.780078005605918
yak,375,F,0.6015625,1,B,Control,46B,0.819002549093656,0.770174304699573,0.552734255605918
yak,375,F,0.79375,1,B,Control,46B,0.819002549093656,0.770174304699573,0.744921755605918
yak,375,F,0.82734375,1,B,Control,46B,0.819002549093656,0.770174304699573,0.778515505605918
yak,375,F,0.8625,1,B,Control,46B,0.819002549093656,0.770174304699573,0.813671755605918
yak,375,F,0.9171875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.868359255605918
yak,375,F,0.9671875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.918359255605918
yak,375,F,0.97109375,1,B,Control,46B,0.819002549093656,0.770174304699573,0.922265505605918
yak,375,F,0.9375,1,B,Control,46B,0.819002549093656,0.770174304699573,0.888671755605918
yak,375,F,0.98046875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.931640505605918
yak,375,F,0.91953125,1,B,Control,46B,0.819002549093656,0.770174304699573,0.870703005605918
yak,375,F,0.93203125,1,B,Control,46B,0.819002549093656,0.770174304699573,0.883203005605918
yak,375,F,0.82421875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.775390505605918
yak,375,F,0.80546875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.756640505605918
yak,375,F,0.8890625,1,B,Control,46B,0.819002549093656,0.770174304699573,0.840234255605918
yak,375,F,0.9125,1,B,Control,46B,0.819002549093656,0.770174304699573,0.863671755605918
yak,375,F,0.88828125,1,B,Control,46B,0.819002549093656,0.770174304699573,0.839453005605918
yak,375,F,0.92578125,1,B,Control,46B,0.819002549093656,0.770174304699573,0.876953005605918
yak,375,F,0.76015625,1,B,Control,46B,0.819002549093656,0.770174304699573,0.711328005605918
yak,375,F,0.90234375,1,B,Control,46B,0.819002549093656,0.770174304699573,0.853515505605918
yak,375,F,0.95234375,1,B,Control,46B,0.819002549093656,0.770174304699573,0.903515505605918
yak,375,F,0.9078125,1,B,Control,46B,0.819002549093656,0.770174304699573,0.858984255605918
yak,375,F,0.96015625,1,B,Control,46B,0.819002549093656,0.770174304699573,0.911328005605918
yak,375,F,0.83203125,1,B,Control,46B,0.819002549093656,0.770174304699573,0.783203005605918
yak,375,F,0.9671875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.918359255605918
yak,375,F,0.84296875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.794140505605918
yak,375,F,0.9328125,1,B,Control,46B,0.819002549093656,0.770174304699573,0.883984255605918
yak,375,F,0.9765625,1,B,Control,46B,0.819002549093656,0.770174304699573,0.927734255605918
yak,375,F,0.790625,1,B,Control,46B,0.819002549093656,0.770174304699573,0.741796755605918
yak,375,F,0.88046875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.831640505605918
yak,375,F,0.93984375,1,B,Control,46B,0.819002549093656,0.770174304699573,0.891015505605918
yak,375,F,0.97421875,1,B,Control,46B,0.819002549093656,0.770174304699573,0.925390505605918
siI,375,F,0.3,1,A,Control,45A,0.819002549093656,0.770174304699573,0.251171755605918
siI,375,F,0.28984375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.241015505605918
siI,375,F,0.09921875,1,A,Control,45A,0.819002549093656,0.770174304699573,0.0503905056059178
siI,375,F,0.28046875,1,A,Control,45A,0.819002549093656,0.770174304699573,0.231640505605918
siI,375,F,1,1,A,Control,45A,0.819002549093656,0.770174304699573,0.951171755605918
siI,375,F,0.909375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.860546755605918
siI,375,F,0.93359375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.884765505605918
siI,375,F,0.771875,1,A,Control,45A,0.819002549093656,0.770174304699573,0.723046755605918
siI,375,F,0.86171875,1,A,Control,45A,0.819002549093656,0.770174304699573,0.812890505605918
siI,375,F,0.9,1,A,Control,45A,0.819002549093656,0.770174304699573,0.851171755605918
siI,375,F,0.7890625,1,A,Control,45A,0.819002549093656,0.770174304699573,0.740234255605918
siI,375,F,0.8890625,1,A,Control,45A,0.819002549093656,0.770174304699573,0.840234255605918
siI,375,F,0.90625,1,A,Control,45A,0.819002549093656,0.770174304699573,0.857421755605918
siI,375,F,0.9375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.888671755605918
siI,375,F,0.78984375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.741015505605918
siI,375,F,0.79609375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.747265505605918
siI,375,F,0.80546875,1,A,Control,45A,0.819002549093656,0.770174304699573,0.756640505605918
siI,375,F,0.8890625,1,A,Control,45A,0.819002549093656,0.770174304699573,0.840234255605918
siI,375,F,0.7859375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.737109255605918
siI,375,F,0.9109375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.862109255605918
siI,375,F,0.76953125,1,A,Control,45A,0.819002549093656,0.770174304699573,0.720703005605918
siI,375,F,0.86953125,1,A,Control,45A,0.819002549093656,0.770174304699573,0.820703005605918
siI,375,F,0.83984375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.791015505605918
siI,375,F,0.87734375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.828515505605918
siI,375,F,0.8203125,1,A,Control,45A,0.819002549093656,0.770174304699573,0.771484255605918
siI,375,F,0.82109375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.772265505605918
siI,375,F,0.87265625,1,A,Control,45A,0.819002549093656,0.770174304699573,0.823828005605918
siI,375,F,0.87578125,1,A,Control,45A,0.819002549093656,0.770174304699573,0.826953005605918
siI,375,F,0.90859375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.859765505605918
siI,375,F,0.77890625,1,A,Control,45A,0.819002549093656,0.770174304699573,0.730078005605918
siI,375,F,0.834375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.785546755605918
siI,375,F,0.80546875,1,A,Control,45A,0.819002549093656,0.770174304699573,0.756640505605918
siI,375,F,0.85,1,A,Control,45A,0.819002549093656,0.770174304699573,0.801171755605918
siI,375,F,0.91328125,1,A,Control,45A,0.819002549093656,0.770174304699573,0.864453005605918
siI,375,F,0.78125,1,A,Control,45A,0.819002549093656,0.770174304699573,0.732421755605918
siI,375,F,0.87421875,1,A,Control,45A,0.819002549093656,0.770174304699573,0.825390505605918
siI,375,F,0.9421875,1,A,Control,45A,0.819002549093656,0.770174304699573,0.893359255605918
siI,375,F,0.8234375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.774609255605918
siI,375,F,0.86328125,1,A,Control,45A,0.819002549093656,0.770174304699573,0.814453005605918
siI,375,F,0.95859375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.909765505605918
siI,375,F,0.87890625,1,A,Control,45A,0.819002549093656,0.770174304699573,0.830078005605918
siI,375,F,0.73515625,1,A,Control,45A,0.819002549093656,0.770174304699573,0.686328005605918
siI,375,F,0.74609375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.697265505605918
siI,375,F,0.85546875,1,A,Control,45A,0.819002549093656,0.770174304699573,0.806640505605918
siI,375,F,0.83125,1,A,Control,45A,0.819002549093656,0.770174304699573,0.782421755605918
siI,375,F,0.93125,1,A,Control,45A,0.819002549093656,0.770174304699573,0.882421755605918
siI,375,F,0.8859375,1,A,Control,45A,0.819002549093656,0.770174304699573,0.837109255605918
siI,375,F,0.9328125,1,A,Control,45A,0.819002549093656,0.770174304699573,0.883984255605918
siI,375,F,1,1,A,Control,45A,0.819002549093656,0.770174304699573,0.951171755605918
siI,375,F,0.85078125,1,A,Control,45A,0.819002549093656,0.770174304699573,0.801953005605918
siI,375,F,0.8421875,1,A,Control,45A,0.819002549093656,0.770174304699573,0.793359255605918
siI,375,F,0.9203125,1,A,Control,45A,0.819002549093656,0.770174304699573,0.871484255605918
siI,375,F,0.78515625,1,A,Control,45A,0.819002549093656,0.770174304699573,0.736328005605918
