Mito,Nuc,Sex,Y,Set,Build,Treatment,Stock.x,Stock.y
375,375,M,0.55546875,1,parental,Control,375,375
375,375,M,0.88828125,1,parental,Control,375,375
375,375,M,0.9375,1,parental,Control,375,375
375,375,M,0.0984375,1,parental,Control,375,375
375,375,M,0.7515625,1,parental,Control,375,375
375,375,M,0.98046875,1,parental,Control,375,375
375,375,M,0.86015625,1,parental,Control,375,375
375,375,M,0.9203125,1,parental,Control,375,375
375,375,M,0.8515625,1,parental,Control,375,375
375,375,M,0.96796875,1,parental,Control,375,375
375,375,M,0.903125,1,parental,Control,375,375
375,375,M,0.81171875,1,parental,Control,375,375
375,375,M,0.9375,1,parental,Control,375,375
375,375,M,0.94921875,1,parental,Control,375,375
375,375,M,0.8890625,1,parental,Control,375,375
375,375,M,0.825,1,parental,Control,375,375
375,375,M,0.90390625,1,parental,Control,375,375
375,375,M,0.92734375,1,parental,Control,375,375
375,375,M,0.8328125,1,parental,Control,375,375
375,375,M,0.85078125,1,parental,Control,375,375
375,375,M,0.91328125,1,parental,Control,375,375
375,375,M,0.89921875,1,parental,Control,375,375
375,375,M,0.93515625,1,parental,Control,375,375
375,375,M,0.971875,1,parental,Control,375,375
375,375,M,0.86171875,1,parental,Control,375,375
375,375,M,0.86640625,1,parental,Control,375,375
375,375,M,0.8734375,1,parental,Control,375,375
375,375,M,0.984375,1,parental,Control,375,375
375,375,M,0.9015625,1,parental,Control,375,375
375,375,M,0.94765625,1,parental,Control,375,375
375,375,M,0.97578125,1,parental,Control,375,375
375,375,M,0.9046875,1,parental,Control,375,375
375,375,M,0.91640625,1,parental,Control,375,375
375,375,M,0.91953125,1,parental,Control,375,375
375,375,M,0.96328125,1,parental,Control,375,375
375,375,M,0.92109375,1,parental,Control,375,375
375,375,M,0.9046875,1,parental,Control,375,375
375,375,M,0.9171875,1,parental,Control,375,375
375,375,M,0.56328125,1,parental,Control,375,375
375,375,M,0.884375,1,parental,Control,375,375
375,375,M,0.94765625,1,parental,Control,375,375
375,375,M,0.94765625,1,parental,Control,375,375
375,375,M,0.871875,1,parental,Control,375,375
375,375,M,0.92734375,1,parental,Control,375,375
375,375,M,0.890625,1,parental,Control,375,375
375,375,M,0.925,1,parental,Control,375,375
375,375,M,0.92890625,1,parental,Control,375,375
375,375,M,0.9609375,1,parental,Control,375,375
375,375,M,0.84921875,1,parental,Control,375,375
375,375,M,0.89453125,1,parental,Control,375,375
375,375,M,0.95625,1,parental,Control,375,375
375,375,M,0.91171875,1,parental,Control,375,375
375,375,M,0.99609375,1,parental,Control,375,375
375,375,M,0.7125,1,parental,Control,375,375
375,375,M,0.9609375,1,parental,Control,375,375
yak,375,F,0.31796875,1,B,Control,46B,46B
yak,375,F,0.62109375,1,B,Control,46B,46B
yak,375,F,0.9140625,1,B,Control,46B,46B
yak,375,F,0.87265625,1,B,Control,46B,46B
yak,375,F,0.946875,1,B,Control,46B,46B
yak,375,F,0.86875,1,B,Control,46B,46B
yak,375,F,0.8328125,1,B,Control,46B,46B
yak,375,F,0.0921875,1,B,Control,46B,46B
yak,375,F,0.81640625,1,B,Control,46B,46B
yak,375,F,0.95078125,1,B,Control,46B,46B
yak,375,F,0.909375,1,B,Control,46B,46B
yak,375,F,0.965625,1,B,Control,46B,46B
yak,375,F,0.96796875,1,B,Control,46B,46B
yak,375,F,0.653125,1,B,Control,46B,46B
yak,375,F,0.87578125,1,B,Control,46B,46B
yak,375,F,0.99921875,1,B,Control,46B,46B
yak,375,F,0.80234375,1,B,Control,46B,46B
yak,375,F,0.95078125,1,B,Control,46B,46B
yak,375,F,0.98046875,1,B,Control,46B,46B
yak,375,F,0.8796875,1,B,Control,46B,46B
yak,375,F,0.82890625,1,B,Control,46B,46B
yak,375,F,0.6015625,1,B,Control,46B,46B
yak,375,F,0.79375,1,B,Control,46B,46B
yak,375,F,0.82734375,1,B,Control,46B,46B
yak,375,F,0.8625,1,B,Control,46B,46B
yak,375,F,0.9171875,1,B,Control,46B,46B
yak,375,F,0.9671875,1,B,Control,46B,46B
yak,375,F,0.97109375,1,B,Control,46B,46B
yak,375,F,0.9375,1,B,Control,46B,46B
yak,375,F,0.98046875,1,B,Control,46B,46B
yak,375,F,0.91953125,1,B,Control,46B,46B
yak,375,F,0.93203125,1,B,Control,46B,46B
yak,375,F,0.82421875,1,B,Control,46B,46B
yak,375,F,0.80546875,1,B,Control,46B,46B
yak,375,F,0.8890625,1,B,Control,46B,46B
yak,375,F,0.9125,1,B,Control,46B,46B
yak,375,F,0.88828125,1,B,Control,46B,46B
yak,375,F,0.92578125,1,B,Control,46B,46B
yak,375,F,0.76015625,1,B,Control,46B,46B
yak,375,F,0.90234375,1,B,Control,46B,46B
yak,375,F,0.95234375,1,B,Control,46B,46B
yak,375,F,0.9078125,1,B,Control,46B,46B
yak,375,F,0.96015625,1,B,Control,46B,46B
yak,375,F,0.83203125,1,B,Control,46B,46B
yak,375,F,0.9671875,1,B,Control,46B,46B
yak,375,F,0.84296875,1,B,Control,46B,46B
yak,375,F,0.9328125,1,B,Control,46B,46B
yak,375,F,0.9765625,1,B,Control,46B,46B
yak,375,F,0.790625,1,B,Control,46B,46B
yak,375,F,0.88046875,1,B,Control,46B,46B
yak,375,F,0.93984375,1,B,Control,46B,46B
yak,375,F,0.97421875,1,B,Control,46B,46B
sm21,375,F,0.3,1,A,Control,45A,45A
sm21,375,F,0.28984375,1,A,Control,45A,45A
sm21,375,F,0.09921875,1,A,Control,45A,45A
sm21,375,F,0.28046875,1,A,Control,45A,45A
sm21,375,F,1,1,A,Control,45A,45A
sm21,375,F,0.909375,1,A,Control,45A,45A
sm21,375,F,0.93359375,1,A,Control,45A,45A
sm21,375,F,0.771875,1,A,Control,45A,45A
sm21,375,F,0.86171875,1,A,Control,45A,45A
sm21,375,F,0.9,1,A,Control,45A,45A
sm21,375,F,0.7890625,1,A,Control,45A,45A
sm21,375,F,0.8890625,1,A,Control,45A,45A
sm21,375,F,0.90625,1,A,Control,45A,45A
sm21,375,F,0.9375,1,A,Control,45A,45A
sm21,375,F,0.78984375,1,A,Control,45A,45A
sm21,375,F,0.79609375,1,A,Control,45A,45A
sm21,375,F,0.80546875,1,A,Control,45A,45A
sm21,375,F,0.8890625,1,A,Control,45A,45A
sm21,375,F,0.7859375,1,A,Control,45A,45A
sm21,375,F,0.9109375,1,A,Control,45A,45A
sm21,375,F,0.76953125,1,A,Control,45A,45A
sm21,375,F,0.86953125,1,A,Control,45A,45A
sm21,375,F,0.83984375,1,A,Control,45A,45A
sm21,375,F,0.87734375,1,A,Control,45A,45A
sm21,375,F,0.8203125,1,A,Control,45A,45A
sm21,375,F,0.82109375,1,A,Control,45A,45A
sm21,375,F,0.87265625,1,A,Control,45A,45A
sm21,375,F,0.87578125,1,A,Control,45A,45A
sm21,375,F,0.90859375,1,A,Control,45A,45A
sm21,375,F,0.77890625,1,A,Control,45A,45A
sm21,375,F,0.834375,1,A,Control,45A,45A
sm21,375,F,0.80546875,1,A,Control,45A,45A
sm21,375,F,0.85,1,A,Control,45A,45A
sm21,375,F,0.91328125,1,A,Control,45A,45A
sm21,375,F,0.78125,1,A,Control,45A,45A
sm21,375,F,0.87421875,1,A,Control,45A,45A
sm21,375,F,0.9421875,1,A,Control,45A,45A
sm21,375,F,0.8234375,1,A,Control,45A,45A
sm21,375,F,0.86328125,1,A,Control,45A,45A
sm21,375,F,0.95859375,1,A,Control,45A,45A
sm21,375,F,0.87890625,1,A,Control,45A,45A
sm21,375,F,0.73515625,1,A,Control,45A,45A
sm21,375,F,0.74609375,1,A,Control,45A,45A
sm21,375,F,0.85546875,1,A,Control,45A,45A
sm21,375,F,0.83125,1,A,Control,45A,45A
sm21,375,F,0.93125,1,A,Control,45A,45A
sm21,375,F,0.8859375,1,A,Control,45A,45A
sm21,375,F,0.9328125,1,A,Control,45A,45A
sm21,375,F,1,1,A,Control,45A,45A
sm21,375,F,0.85078125,1,A,Control,45A,45A
sm21,375,F,0.8421875,1,A,Control,45A,45A
sm21,375,F,0.9203125,1,A,Control,45A,45A
sm21,375,F,0.78515625,1,A,Control,45A,45A
sm21,375,F,0.82109375,1,A,Control,45A,45A
sm21,375,F,0.9953125,1,A,Control,45A,45A
sm21,375,F,0.93984375,1,A,Control,45A,45A
Bei59,Ore,M,0.09765625,1,B,Control,19B,19B
Bei59,Ore,M,0.1265625,1,B,Control,19B,19B
Bei59,Ore,M,0.82734375,1,B,Control,19B,19B
Bei59,Ore,M,0.92109375,1,B,Control,19B,19B
