,X,Y,Mito,Nuc,Sex
0,83,0.06913183279742763,test,test,test
1,179,0.5393890675241158,test,test,test
0,332,0.9991961414790996,375,375,M
1,364,0.11897106109324762,375,375,M
2,406,0.927652733118971,375,375,M
3,130,0.8737942122186495,375,375,M
4,305,0.9372990353697749,375,375,M
5,394,0.9670418006430869,375,375,M
6,399,0.9091639871382636,375,375,M
7,358,0.9831189710610932,375,375,M
8,380,0.8287781350482315,375,375,M
9,297,0.8657556270096463,375,375,M
10,400,0.887459807073955,375,375,M
11,304,0.977491961414791,375,375,M
12,308,0.8794212218649518,375,375,M
13,348,0.8858520900321544,375,375,M
14,295,0.24196141479099675,375,375,M
15,40,0.882636655948553,375,375,M
16,365,0.8914790996784566,375,375,M
17,206,0.8633440514469454,375,375,M
18,307,0.909967845659164,375,375,M
19,342,0.9622186495176849,375,375,M
20,7,1.0,375,375,M
21,355,0.8818327974276527,375,375,M
22,374,0.9389067524115755,375,375,M
23,305,0.9622186495176849,375,375,M
24,375,0.9027331189710611,375,375,M
25,308,0.9389067524115755,375,375,M
26,4,0.979903536977492,375,375,M
27,194,0.72508038585209,375,375,M
28,257,0.8344051446945338,375,375,M
29,211,0.842443729903537,375,375,M
30,304,0.8842443729903537,375,375,M
31,362,0.8906752411575563,375,375,M
32,348,0.9244372990353698,375,375,M
33,336,0.9220257234726688,375,375,M
34,25,0.9372990353697749,375,375,M
35,3,0.887459807073955,375,375,M
36,65,0.7491961414790997,375,375,M
37,342,0.815112540192926,375,375,M
38,8,0.8271704180064309,375,375,M
39,49,0.8794212218649518,375,375,M
40,326,0.8882636655948553,375,375,M
41,365,0.9035369774919614,375,375,M
42,156,0.9284565916398714,375,375,M
43,220,0.9172025723472669,375,375,M
44,270,0.9332797427652733,375,375,M
45,6,0.8890675241157556,375,375,M
46,210,0.5144694533762058,375,375,M
47,133,0.7966237942122186,375,375,M
48,364,0.8344051446945338,375,375,M
49,386,0.8360128617363344,375,375,M
50,91,0.9091639871382636,375,375,M
51,11,0.8456591639871383,375,375,M
52,400,0.8963022508038585,375,375,M
53,293,0.8641479099678456,375,375,M
54,48,0.9766881028938906,375,375,M
55,241,0.5546623794212219,375,375,M
56,153,0.912379421221865,375,375,M
57,375,0.9356913183279743,375,375,M
58,146,0.9107717041800643,375,375,M
59,355,0.9155948553054662,375,375,M
60,168,0.9292604501607717,375,375,M
61,283,0.704983922829582,375,375,M
62,86,0.954983922829582,375,375,M
63,117,0.864951768488746,375,375,M
64,227,0.905144694533762,375,375,M
65,127,0.9236334405144695,375,375,M
66,264,0.9163987138263665,375,375,M
67,227,0.9742765273311897,375,375,M
0,93,0.08038585209003213,yak,375B,F
1,346,0.9260450160771704,yak,375B,F
2,344,0.9196141479099679,yak,375B,F
3,31,0.05707395498392287,yak,375B,F
4,382,0.9581993569131833,yak,375B,F
5,399,0.9252411575562701,yak,375B,F
6,259,0.8496784565916399,yak,375B,F
7,403,0.9268488745980707,yak,375B,F
8,124,0.46543408360128613,yak,375B,F
9,319,0.687299035369775,yak,375B,F
10,251,0.7395498392282958,yak,375B,F
11,407,0.9228295819935691,yak,375B,F
12,21,0.9718649517684887,yak,375B,F
13,16,0.777331189710611,yak,375B,F
14,271,0.8882636655948553,yak,375B,F
15,395,0.927652733118971,yak,375B,F
16,348,0.9308681672025724,yak,375B,F
17,401,0.9397106109324759,yak,375B,F
18,132,0.9855305466237942,yak,375B,F
19,380,0.8046623794212219,yak,375B,F
20,214,0.819935691318328,yak,375B,F
21,332,0.8609324758842444,yak,375B,F
22,306,0.9196141479099679,yak,375B,F
23,404,0.9212218649517685,yak,375B,F
24,237,0.9308681672025724,yak,375B,F
25,386,0.932475884244373,yak,375B,F
26,271,0.792604501607717,yak,375B,F
27,326,0.9139871382636656,yak,375B,F
28,11,0.9316720257234726,yak,375B,F
29,351,0.7282958199356913,yak,375B,F
30,144,0.8488745980707395,yak,375B,F
31,267,0.8770096463022508,yak,375B,F
32,63,0.9035369774919614,yak,375B,F
33,347,0.8979099678456591,yak,375B,F
34,65,0.9059485530546624,yak,375B,F
35,384,0.837620578778135,yak,375B,F
36,73,0.9172025723472669,yak,375B,F
37,160,0.7009646302250804,yak,375B,F
38,218,0.795016077170418,yak,375B,F
39,69,0.8971061093247589,yak,375B,F
40,198,0.9019292604501608,yak,375B,F
41,107,0.867363344051447,yak,375B,F
42,122,0.8938906752411575,yak,375B,F
43,164,0.754823151125402,yak,375B,F
44,222,0.8745980707395499,yak,375B,F
45,287,0.9196141479099679,yak,375B,F
46,7,0.9405144694533762,yak,375B,F
47,82,0.6744372990353698,yak,375B,F
48,260,0.8786173633440515,yak,375B,F
49,300,0.8930868167202572,yak,375B,F
50,235,0.9284565916398714,yak,375B,F
51,343,0.9485530546623794,yak,375B,F
52,286,1.0,yak,375B,F
53,22,0.8866559485530546,yak,375B,F
54,379,0.9019292604501608,yak,375B,F
55,302,0.9284565916398714,yak,375B,F
56,298,0.9694533762057878,yak,375B,F
57,34,0.9027331189710611,yak,375B,F
58,202,0.9131832797427653,yak,375B,F
59,170,0.8022508038585209,yak,375B,F
60,229,0.887459807073955,yak,375B,F
61,175,0.9107717041800643,yak,375B,F
62,58,0.7934083601286174,yak,375B,F
63,241,0.9220257234726688,yak,375B,F
64,362,0.7282958199356913,yak,375B,F
65,135,1.0,yak,375B,F
66,292,0.5755627009646302,yak,375B,F
67,182,1.0,yak,375B,F
68,51,0.6840836012861736,yak,375B,F
69,389,0.9011254019292605,yak,375B,F
70,336,0.889871382636656,yak,375B,F
71,134,0.8922829581993569,yak,375B,F
72,199,0.9461414790996785,yak,375B,F
0,407,0.8504823151125402,sm21,375A,F
1,333,0.8504823151125402,sm21,375A,F
2,399,0.9485530546623794,sm21,375A,F
3,198,0.8617363344051447,sm21,375A,F
4,334,0.927652733118971,sm21,375A,F
5,328,0.6680064308681672,sm21,375A,F
6,402,0.9180064308681672,sm21,375A,F
7,362,0.8689710610932476,sm21,375A,F
8,395,0.9381028938906752,sm21,375A,F
9,356,0.8842443729903537,sm21,375A,F
10,220,0.8963022508038585,sm21,375A,F
11,264,0.9212218649517685,sm21,375A,F
12,70,0.9847266881028939,sm21,375A,F
13,234,0.9091639871382636,sm21,375A,F
14,355,0.1286173633440515,sm21,375A,F
15,169,0.7877813504823151,sm21,375A,F
16,405,0.8778135048231511,sm21,375A,F
17,171,0.9027331189710611,sm21,375A,F
18,332,0.7041800643086817,sm21,375A,F
19,160,0.8384244372990354,sm21,375A,F
20,405,0.8536977491961415,sm21,375A,F
21,385,0.9991961414790996,sm21,375A,F
22,269,0.8882636655948553,sm21,375A,F
23,365,0.8127009646302251,sm21,375A,F
24,215,0.8963022508038585,sm21,375A,F
25,195,0.9598070739549839,sm21,375A,F
26,15,0.8167202572347267,sm21,375A,F
27,103,0.8022508038585209,sm21,375A,F
28,5,0.9831189710610932,sm21,375A,F
29,372,0.817524115755627,sm21,375A,F
30,184,0.8392282958199357,sm21,375A,F
31,172,0.862540192926045,sm21,375A,F
32,287,0.8922829581993569,sm21,375A,F
33,367,0.912379421221865,sm21,375A,F
34,59,0.9959807073954984,sm21,375A,F
35,190,0.8569131832797428,sm21,375A,F
36,74,0.8577170418006431,sm21,375A,F
37,183,0.8681672025723473,sm21,375A,F
