,X,Y,Mito,Nuc,Sex
0,395,0.567524115755627,sm21,OreRC,M
1,418,0.8906752411575563,sm21,OreRC,M
2,414,0.545016077170418,sm21,OreRC,M
3,375,0.9598070739549839,sm21,OreRC,M
4,422,0.8384244372990354,sm21,OreRC,M
5,421,0.8963022508038585,sm21,OreRC,M
6,415,0.8979099678456591,sm21,OreRC,M
7,352,0.8183279742765274,sm21,OreRC,M
8,396,0.8995176848874598,sm21,OreRC,M
9,11,0.05787781350482313,sm21,OreRC,M
10,393,0.8327974276527331,sm21,OreRC,M
11,210,0.9469453376205788,sm21,OreRC,M
12,136,0.08601286173633438,sm21,OreRC,M
13,389,0.8014469453376206,sm21,OreRC,M
14,369,0.117363344051447,sm21,OreRC,M
15,344,0.8528938906752411,sm21,OreRC,M
16,307,0.9268488745980707,sm21,OreRC,M
17,360,0.6945337620578778,sm21,OreRC,M
18,261,0.9131832797427653,sm21,OreRC,M
19,362,0.8215434083601286,sm21,OreRC,M
20,271,0.8440514469453376,sm21,OreRC,M
21,417,0.8665594855305466,sm21,OreRC,M
22,396,0.907556270096463,sm21,OreRC,M
23,251,0.8697749196141479,sm21,OreRC,M
24,217,0.8183279742765274,sm21,OreRC,M
25,329,0.8360128617363344,sm21,OreRC,M
26,154,0.8762057877813505,sm21,OreRC,M
27,404,0.889871382636656,sm21,OreRC,M
28,382,0.8922829581993569,sm21,OreRC,M
29,294,0.4533762057877814,sm21,OreRC,M
30,156,0.7853697749196141,sm21,OreRC,M
31,310,0.8408360128617364,sm21,OreRC,M
32,271,0.8609324758842444,sm21,OreRC,M
33,389,0.8689710610932476,sm21,OreRC,M
34,236,0.8770096463022508,sm21,OreRC,M
35,346,0.907556270096463,sm21,OreRC,M
36,177,0.8271704180064309,sm21,OreRC,M
37,407,0.8472668810289389,sm21,OreRC,M
38,349,0.8569131832797428,sm21,OreRC,M
39,411,0.8681672025723473,sm21,OreRC,M
40,342,0.905144694533762,sm21,OreRC,M
41,410,0.954983922829582,sm21,OreRC,M
42,349,0.8504823151125402,sm21,OreRC,M
43,252,0.8834405144694534,sm21,OreRC,M
44,424,0.7652733118971061,sm21,OreRC,M
45,143,0.8255627009646302,sm21,OreRC,M
46,110,0.837620578778135,sm21,OreRC,M
47,421,0.8561093247588425,sm21,OreRC,M
48,32,0.8842443729903537,sm21,OreRC,M
49,76,0.9147909967845659,sm21,OreRC,M
50,287,0.9469453376205788,sm21,OreRC,M
51,317,0.8311897106109325,sm21,OreRC,M
52,129,0.7427652733118971,sm21,OreRC,M
53,285,0.7982315112540193,sm21,OreRC,M
