,X,Y,Mito,Nuc,Sex
0,72,0.27541589648798526,sm21,OreRC,M
1,370,0.7199630314232902,sm21,OreRC,M
2,380,0.8502772643253235,sm21,OreRC,M
3,345,0.9805914972273567,sm21,OreRC,M
4,231,0.9399260628465804,sm21,OreRC,M
5,300,0.833641404805915,sm21,OreRC,M
6,352,0.83271719038817,sm21,OreRC,M
7,250,0.4870609981515711,sm21,OreRC,M
8,220,0.49445471349353054,sm21,OreRC,M
9,123,0.865988909426987,sm21,OreRC,M
10,303,0.6146025878003697,sm21,OreRC,M
11,278,0.8123844731977818,sm21,OreRC,M
12,309,0.8345656192236599,sm21,OreRC,M
13,41,0.9168207024029575,sm21,OreRC,M
14,250,0.9260628465804066,sm21,OreRC,M
15,305,0.7384473197781886,sm21,OreRC,M
16,321,0.7800369685767098,sm21,OreRC,M
17,383,0.8456561922365988,sm21,OreRC,M
18,399,0.833641404805915,sm21,OreRC,M
19,378,0.8530499075785583,sm21,OreRC,M
20,240,0.899260628465804,sm21,OreRC,M
21,166,0.7338262476894639,sm21,OreRC,M
22,7,-0.06469500924214411,sm21,OreRC,M
23,115,0.8881700554528651,sm21,OreRC,M
24,185,0.8964879852125693,sm21,OreRC,M
25,270,0.9038817005545287,sm21,OreRC,M
26,287,0.9140480591497228,sm21,OreRC,M
27,258,0.5175600739371534,sm21,OreRC,M
28,373,0.7181146025878004,sm21,OreRC,M
29,259,0.8752310536044362,sm21,OreRC,M
30,308,0.6173752310536045,sm21,OreRC,M
31,12,0.9149722735674677,sm21,OreRC,M
32,48,0.9214417744916821,sm21,OreRC,M
33,272,0.9537892791127541,sm21,OreRC,M
34,385,0.7153419593345656,sm21,OreRC,M
35,306,0.8863216266173752,sm21,OreRC,M
36,244,0.8927911275415896,sm21,OreRC,M
37,366,0.9990757855822551,sm21,OreRC,M
38,301,0.7282809611829945,sm21,OreRC,M
39,266,0.6210720887245841,sm21,OreRC,M
40,324,0.8706099815157117,sm21,OreRC,M
41,243,0.7809611829944547,sm21,OreRC,M
42,335,0.7837338262476895,sm21,OreRC,M
43,305,0.6820702402957486,sm21,OreRC,M
44,261,0.7569316081330869,sm21,OreRC,M
45,256,0.7421441774491682,sm21,OreRC,M
46,106,0.8530499075785583,sm21,OreRC,M
47,65,0.8604436229205176,sm21,OreRC,M
48,200,0.6589648798521257,sm21,OreRC,M
49,273,0.7134935304990757,sm21,OreRC,M
50,159,0.8317929759704251,sm21,OreRC,M
51,141,0.8641404805914972,sm21,OreRC,M
52,224,0.8844731977818854,sm21,OreRC,M
53,162,0.6913123844731978,sm21,OreRC,M
54,52,0.8715341959334566,sm21,OreRC,M
55,151,0.7726432532347505,sm21,OreRC,M
56,278,0.844731977818854,sm21,OreRC,M
57,281,0.7744916820702403,sm21,OreRC,M
58,224,0.8308687615526802,sm21,OreRC,M
59,198,0.8918669131238447,sm21,OreRC,M
60,168,0.7338262476894639,sm21,OreRC,M
61,281,0.9288354898336414,sm21,OreRC,M
62,244,0.8049907578558225,sm21,OreRC,M
63,64,0.8280961182994455,sm21,OreRC,M
64,362,0.9075785582255083,sm21,OreRC,M
65,60,0.5406654343807764,sm21,OreRC,M
66,7,0.8632162661737524,sm21,OreRC,M
67,312,0.9038817005545287,sm21,OreRC,M
68,3,1.0,sm21,OreRC,M
0,338,0.0406654343807763,Parental,OreRC,F
1,346,0.8086876155268022,Parental,OreRC,F
2,304,0.8234750462107209,Parental,OreRC,F
3,329,0.7726432532347505,Parental,OreRC,F
4,350,0.7301293900184843,Parental,OreRC,F
5,28,0.3918669131238447,Parental,OreRC,F
6,88,0.4963031423290203,Parental,OreRC,F
7,59,0.5092421441774492,Parental,OreRC,F
8,262,0.677449168207024,Parental,OreRC,F
9,210,0.7024029574861368,Parental,OreRC,F
10,326,0.7190388170055453,Parental,OreRC,F
11,125,0.46487985212569316,Parental,OreRC,F
12,157,0.7707948243992606,Parental,OreRC,F
13,335,0.6136783733826248,Parental,OreRC,F
14,344,0.7014787430683919,Parental,OreRC,F
15,315,0.7624768946395564,Parental,OreRC,F
16,380,0.810536044362292,Parental,OreRC,F
17,401,0.7920517560073937,Parental,OreRC,F
18,282,0.7134935304990757,Parental,OreRC,F
19,266,0.3706099815157117,Parental,OreRC,F
20,19,0.7171903881700554,Parental,OreRC,F
21,318,0.7430683918669132,Parental,OreRC,F
22,309,0.7929759704251387,Parental,OreRC,F
23,409,0.8530499075785583,Parental,OreRC,F
24,272,0.8974121996303143,Parental,OreRC,F
25,279,0.8188539741219963,Parental,OreRC,F
0,232,-0.032347504621072165,ZW140A,375R,F
1,405,0.8706099815157117,ZW140A,375R,F
2,345,0.7597042513863217,ZW140A,375R,F
3,200,0.9075785582255083,ZW140A,375R,F
4,184,0.3807763401109058,ZW140A,375R,F
5,326,0.7828096118299446,ZW140A,375R,F
6,291,0.9085027726432532,ZW140A,375R,F
7,373,0.9463955637707948,ZW140A,375R,F
8,144,0.3012939001848429,ZW140A,375R,F
9,264,0.822550831792976,ZW140A,375R,F
10,329,0.8548983364140481,ZW140A,375R,F
11,296,0.8678373382624769,ZW140A,375R,F
12,292,0.8974121996303143,ZW140A,375R,F
13,257,0.8715341959334566,ZW140A,375R,F
14,362,0.9085027726432532,ZW140A,375R,F
15,402,0.8576709796672828,ZW140A,375R,F
16,349,0.9214417744916821,ZW140A,375R,F
17,192,0.6367837338262476,ZW140A,375R,F
18,276,0.8937153419593346,ZW140A,375R,F
19,320,0.8031423290203328,ZW140A,375R,F
20,384,0.8040665434380776,ZW140A,375R,F
21,233,0.8197781885397413,ZW140A,375R,F
22,398,0.8576709796672828,ZW140A,375R,F
23,139,0.9426987060998152,ZW140A,375R,F
24,297,0.7929759704251387,ZW140A,375R,F
25,145,0.6044362292051756,ZW140A,375R,F
26,190,0.677449168207024,ZW140A,375R,F
27,351,0.8696857670979667,ZW140A,375R,F
28,207,0.8770794824399261,ZW140A,375R,F
29,317,0.9796672828096118,ZW140A,375R,F
30,311,0.788354898336414,ZW140A,375R,F
31,179,0.8391866913123844,ZW140A,375R,F
32,211,0.8512014787430684,ZW140A,375R,F
33,289,0.9048059149722736,ZW140A,375R,F
34,332,0.9140480591497228,ZW140A,375R,F
35,316,0.8521256931608133,ZW140A,375R,F
36,306,0.8715341959334566,ZW140A,375R,F
37,351,0.8733826247689465,ZW140A,375R,F
38,247,0.9038817005545287,ZW140A,375R,F
39,330,0.9279112754158965,ZW140A,375R,F
40,284,0.7652495378927912,ZW140A,375R,F
41,99,0.8613678373382625,ZW140A,375R,F
42,342,0.8715341959334566,ZW140A,375R,F
43,290,0.7902033271719039,ZW140A,375R,F
44,25,0.8253234750462107,ZW140A,375R,F
45,397,-0.05914972273567476,ZW140A,375R,F
46,38,0.9085027726432532,ZW140A,375R,F
47,200,0.910351201478743,ZW140A,375R,F
48,294,0.8844731977818854,ZW140A,375R,F
49,316,0.9020332717190388,ZW140A,375R,F
50,344,0.8484288354898336,ZW140A,375R,F
51,125,0.8548983364140481,ZW140A,375R,F
52,6,0.9297597042513863,ZW140A,375R,F
53,201,0.810536044362292,ZW140A,375R,F
54,357,0.9038817005545287,ZW140A,375R,F
55,325,0.9177449168207024,ZW140A,375R,F
56,199,0.8983364140480592,ZW140A,375R,F
57,346,0.9316081330868762,ZW140A,375R,F
58,242,0.9288354898336414,ZW140A,375R,F
59,228,0.9011090573012939,ZW140A,375R,F
60,147,0.9066543438077634,ZW140A,375R,F
61,220,0.7791127541589649,ZW140A,375R,F
62,153,0.8299445471349354,ZW140A,375R,F
63,8,0.8493530499075785,ZW140A,375R,F
64,6,0.8974121996303143,ZW140A,375R,F
65,87,0.7199630314232902,ZW140A,375R,F
66,23,0.8502772643253235,ZW140A,375R,F
67,25,0.8752310536044362,ZW140A,375R,F
68,125,0.9759704251386322,ZW140A,375R,F
69,400,0.8733826247689465,ZW140A,375R,F
70,307,0.9177449168207024,ZW140A,375R,F
71,270,0.9870609981515711,ZW140A,375R,F
72,182,0.9990757855822551,ZW140A,375R,F
0,142,0.42791127541589646,Bei42A,375C,F
1,73,0.06839186691312382,Bei42A,375C,F
2,166,0.1792975970425139,Bei42A,375C,F
3,372,0.8317929759704251,Bei42A,375C,F
4,351,0.8789279112754159,Bei42A,375C,F
5,157,0.21534195933456557,Bei42A,375C,F
6,385,0.8863216266173752,Bei42A,375C,F
7,342,0.7356746765249538,Bei42A,375C,F
8,373,0.9537892791127541,Bei42A,375C,F
9,339,0.9750462107208873,Bei42A,375C,F
10,175,0.7744916820702403,Bei42A,375C,F
11,385,0.8567467652495379,Bei42A,375C,F
12,141,0.911275415896488,Bei42A,375C,F
13,314,0.6266173752310535,Bei42A,375C,F
14,339,0.6922365988909427,Bei42A,375C,F
15,99,0.7467652495378928,Bei42A,375C,F
16,95,0.8308687615526802,Bei42A,375C,F
17,347,0.7707948243992606,Bei42A,375C,F
18,358,0.8844731977818854,Bei42A,375C,F
19,180,0.9528650646950092,Bei42A,375C,F
20,125,0.9602587800369686,Bei42A,375C,F
21,397,-0.054528650646950005,Bei42A,375C,F
22,325,0.8133086876155268,Bei42A,375C,F
23,180,0.9195933456561922,Bei42A,375C,F
24,83,0.9269870609981515,Bei42A,375C,F
25,259,0.8641404805914972,Bei42A,375C,F
26,182,0.7865064695009242,Bei42A,375C,F
27,110,0.9048059149722736,Bei42A,375C,F
28,286,0.9140480591497228,Bei42A,375C,F
29,233,0.5748613678373382,Bei42A,375C,F
30,166,0.8567467652495379,Bei42A,375C,F
31,160,0.8317929759704251,Bei42A,375C,F
32,301,0.8974121996303143,Bei42A,375C,F
33,176,0.8096118299445472,Bei42A,375C,F
34,132,0.8964879852125693,Bei42A,375C,F
35,208,0.821626617375231,Bei42A,375C,F
36,242,0.8733826247689465,Bei42A,375C,F
37,87,0.7310536044362292,Bei42A,375C,F
38,137,0.8391866913123844,Bei42A,375C,F
39,89,0.9075785582255083,Bei42A,375C,F
40,120,0.7005545286506469,Bei42A,375C,F
41,204,0.7606284658040665,Bei42A,375C,F
42,216,0.7707948243992606,Bei42A,375C,F
43,255,0.9426987060998152,Bei42A,375C,F
44,227,0.40018484288354894,Bei42A,375C,F
45,149,0.6608133086876156,Bei42A,375C,F
46,337,0.6876155268022182,Bei42A,375C,F
47,280,0.7661737523105361,Bei42A,375C,F
48,179,0.8761552680221811,Bei42A,375C,F
49,164,0.7948243992606285,Bei42A,375C,F
50,320,0.8937153419593346,Bei42A,375C,F
51,223,0.7652495378927912,Bei42A,375C,F
52,148,0.8946395563770795,Bei42A,375C,F
53,59,0.7911275415896488,Bei42A,375C,F
54,299,0.9140480591497228,Bei42A,375C,F
55,147,0.922365988909427,Bei42A,375C,F
56,81,0.8872458410351202,Bei42A,375C,F
57,12,0.9306839186691312,Bei42A,375C,F
58,76,0.7874306839186691,Bei42A,375C,F
59,176,0.9473197781885397,Bei42A,375C,F
60,93,0.9519408502772644,Bei42A,375C,F
61,48,0.8595194085027726,Bei42A,375C,F
62,119,0.7097966728280961,Bei42A,375C,F
63,13,0.899260628465804,Bei42A,375C,F
64,14,0.8844731977818854,Bei42A,375C,F
65,6,0.6164510166358594,Bei42A,375C,F
66,122,0.9759704251386322,Bei42A,375C,F
67,201,0.899260628465804,Bei42A,375C,F
68,304,0.9454713493530499,Bei42A,375C,F
69,176,0.9805914972273567,Bei42A,375C,F
0,154,0.8872458410351202,ZW140A,375C,M
1,158,0.8401109057301294,ZW140A,375C,M
2,319,0.7781885397412199,ZW140A,375C,M
3,356,0.7800369685767098,ZW140A,375C,M
4,284,0.9205175600739371,ZW140A,375C,M
5,129,0.7818853974121996,ZW140A,375C,M
6,9,0.8364140480591498,ZW140A,375C,M
7,374,0.8475046210720887,ZW140A,375C,M
8,237,0.9408502772643254,ZW140A,375C,M
9,131,0.8955637707948244,ZW140A,375C,M
10,73,0.9316081330868762,ZW140A,375C,M
11,214,0.8724584103512014,ZW140A,375C,M
12,23,0.8752310536044362,ZW140A,375C,M
13,203,0.9362292051756007,ZW140A,375C,M
14,381,-0.04158964879852123,ZW140A,375C,M
15,252,0.9075785582255083,ZW140A,375C,M
16,143,0.9085027726432532,ZW140A,375C,M
17,249,0.9353049907578558,ZW140A,375C,M
18,317,0.7994454713493531,ZW140A,375C,M
19,364,0.8299445471349354,ZW140A,375C,M
20,241,0.8493530499075785,ZW140A,375C,M
