"chain_id","AA_POS","MITO","highlighted","overlap"
"H",154,"yak",FALSE,NA
"H",170,"siI",TRUE,FALSE
"H",171,"yak",FALSE,NA
"H",174,"yak",FALSE,NA
"H",186,"yak",FALSE,NA
"H",190,"siI,yak",TRUE,TRUE
"H",191,"siI,yak",TRUE,FALSE
"H",258,"yak",FALSE,NA
"H",270,"siI,yak",TRUE,FALSE
"H",311,"yak",FALSE,NA
"N",3,"yak",FALSE,NA
"N",11,"yak",FALSE,NA
"N",65,"siI,yak",TRUE,FALSE
"N",81,"yak",FALSE,NA
"N",84,"siI,yak",TRUE,TRUE
"N",148,"Zim53",FALSE,NA
"N",148,"yak",FALSE,NA
"N",192,"siI",TRUE,TRUE
"N",202,"yak",FALSE,NA
"N",239,"yak",FALSE,NA
"N",268,"yak",FALSE,NA
"N",274,"siI,yak",TRUE,FALSE
"N",299,"yak",FALSE,NA
"N",309,"yak",FALSE,NA
"N",311,"ZW140",FALSE,NA
"N",313,"siI",TRUE,TRUE
"N",315,"siI,yak",TRUE,TRUE
"N",317,"siI,yak",TRUE,TRUE
"N",319,"yak",FALSE,NA
"N",321,"siI,yak",TRUE,TRUE
"N",333,"siI",TRUE,FALSE
"N",338,"yak",FALSE,NA
"N",341,"yak",FALSE,NA
"A",6,"yak",FALSE,NA
"A",9,"yak",FALSE,NA
"A",10,"yak",FALSE,NA
"A",17,"yak",FALSE,NA
"A",20,"siI",TRUE,FALSE
"A",29,"siI",TRUE,FALSE
"A",81,"siI",TRUE,FALSE
"A",81,"yak",FALSE,NA
"M",6,"yak",FALSE,NA
"M",12,"siI,yak",TRUE,FALSE
"M",14,"siI",TRUE,TRUE
"M",14,"yak",FALSE,NA
"M",17,"siI",TRUE,TRUE
"M",28,"yak",FALSE,NA
"M",29,"siI",TRUE,TRUE
"M",37,"siI",TRUE,TRUE
"M",62,"yak",FALSE,NA
"M",78,"siI,yak",TRUE,FALSE
"M",82,"siI,yak",TRUE,FALSE
"M",84,"Bei05",FALSE,NA
"M",94,"siI,yak",TRUE,FALSE
"M",101,"yak",FALSE,NA
"M",141,"siI,yak",TRUE,FALSE
"M",161,"ZW133, Bei04, Bei05, Bei11, Bei12, Bei23, Bei38, Bei42, Bei52, Bei59, ZH23, ZH26, ZH33, ZH42, ZW09, ZW140, ZW142, ZW144,siI,yak,Zim53",TRUE,FALSE
"M",165,"yak",FALSE,NA
"M",231,"siI,yak",TRUE,FALSE
"M",236,"siI",TRUE,TRUE
"M",236,"yak",FALSE,NA
"M",260,"yak",FALSE,NA
"M",287,"yak",FALSE,NA
"M",298,"siI",TRUE,FALSE
"M",342,"yak",FALSE,NA
"M",368,"ZW133, Bei04, Bei05, Bei11, Bei12, Bei23, Bei38, Bei42, Bei52, Bei54, Bei59, ZH23, ZH26, ZH33, ZH42, ZW09, ZW140, ZW142, ZW144,siI,yak,Zim53",TRUE,FALSE
"M",383,"siI,yak",TRUE,TRUE
"M",386,"siI",TRUE,FALSE
"M",426,"siI",TRUE,TRUE
"M",442,"yak",FALSE,NA
"M",443,"yak",FALSE,NA
"K",57,"siI,yak",TRUE,FALSE
"K",79,"siI",TRUE,FALSE
"L",7,"siI,yak",TRUE,FALSE
"L",8,"siI",TRUE,FALSE
"L",12,"siI,yak",TRUE,TRUE
"L",15,"yak",FALSE,NA
"L",23,"yak",FALSE,NA
"L",27,"siI,yak",TRUE,TRUE
"L",29,"yak",FALSE,NA
"L",36,"siI,yak",TRUE,TRUE
"L",42,"siI",TRUE,TRUE
"L",65,"siI,yak",TRUE,FALSE
"L",77,"yak",FALSE,NA
"L",77,"siI",TRUE,FALSE
"L",78,"yak",FALSE,NA
"L",80,"yak",FALSE,NA
"L",81,"siI,yak",TRUE,FALSE
"L",106,"yak",FALSE,NA
"L",149,"siI",TRUE,FALSE
"L",152,"siI,yak",TRUE,FALSE
"L",170,"yak",FALSE,NA
"L",176,"yak",FALSE,NA
"L",184,"siI",TRUE,FALSE
"L",234,"yak",FALSE,NA
"L",244,"siI,yak",TRUE,FALSE
"L",289,"yak",FALSE,NA
"L",371,"yak",FALSE,NA
"L",380,"yak",FALSE,NA
"L",416,"yak",FALSE,NA
"L",422,"siI,yak",TRUE,FALSE
"L",426,"yak",FALSE,NA
"L",450,"yak",FALSE,NA
"L",450,"ZH26",FALSE,NA
"L",452,"yak",FALSE,NA
"L",454,"yak",FALSE,NA
"L",462,"siI",TRUE,TRUE
"L",470,"siI",TRUE,FALSE
"L",472,"yak",FALSE,NA
"L",476,"siI,yak",TRUE,FALSE
"L",477,"yak",FALSE,NA
"L",483,"yak",FALSE,NA
"L",484,"yak",FALSE,NA
"L",486,"Bei04, Bei05, Bei11, Bei12, Bei23, Bei38, Bei52, Bei59",FALSE,NA
"L",488,"yak",FALSE,NA
"L",489,"yak",FALSE,NA
"L",516,"siI",TRUE,TRUE
"L",535,"yak",FALSE,NA
"L",539,"yak",FALSE,NA
"L",539,"siI",TRUE,TRUE
"L",551,"ZH26",FALSE,NA
"L",557,"siI,yak",TRUE,FALSE
"L",564,"yak",FALSE,NA
"L",567,"yak",FALSE,NA
"L",567,"siI",TRUE,FALSE
"L",569,"siI,yak",TRUE,FALSE
"J",18,"yak",FALSE,NA
"J",39,"siI",TRUE,FALSE
