"Mito","emmean","SE","df","asymp.LCL","asymp.UCL","mitoOrig"
"Bei59",2.09592996119716,0.121279762134859,Inf,1.85822599535925,2.33363392703507,"Beijing"
"Bei12",2.15597530841935,0.128007974113333,Inf,1.90508428942328,2.40686632741542,"Beijing"
"Bei11",2.1663657626983,0.121053580054436,Inf,1.92910510559197,2.40362641980464,"Beijing"
"ZW133",2.17109192546216,0.120563603003104,Inf,1.93479160572969,2.40739224519463,"Zimbabwe"
"Bei23",2.22446474128975,0.121279762134859,Inf,1.98676077545184,2.46216870712766,"Beijing"
"Bei05",2.31506688249343,0.128007974113333,Inf,2.06417586349736,2.5659579014895,"Beijing"
"ZH33",2.33012238017864,0.121279762134859,Inf,2.09241841434073,2.56782634601655,"Zimbabwe"
"yak",2.33047066885889,0.11686434433397,Inf,2.10142076288742,2.55952057483035,"D.yakuba"
"ZH26",2.35324075557474,0.12707617102108,Inf,2.10417603708017,2.60230547406931,"Zimbabwe"
"ZW142",2.39650610540469,0.120973416205646,Inf,2.15940256655485,2.63360964425453,"Zimbabwe"
"Bei52",2.41129755378972,0.128007974113333,Inf,2.16040653479365,2.66218857278579,"Beijing"
"siI",2.4278552506335,0.117035830841968,Inf,2.19846923728252,2.65724126398448,"D.simulans"
"ZH42",2.45277799360455,0.128007974113333,Inf,2.20188697460848,2.70366901260062,"Zimbabwe"
"Bei54",2.47585993804899,0.128007974113333,Inf,2.22496891905292,2.72675095704506,"Beijing"
"Zim53",2.50708641953046,0.128007974113333,Inf,2.25619540053439,2.75797743852653,"Zimbabwe"
"ZW144",2.58084889974288,0.12564238393465,Inf,2.33459435229921,2.82710344718655,"Zimbabwe"
"ZH23",2.58760322508601,0.128007974113333,Inf,2.33671220608995,2.83849424408208,"Zimbabwe"
"ZW09",2.60149710448256,0.125666346895808,Inf,2.35519559049806,2.84779861846706,"Zimbabwe"
"ZW140",2.64717255378974,0.128007974113333,Inf,2.39628153479367,2.89806357278581,"Zimbabwe"
"Bei04",2.65003927504118,0.126269981828804,Inf,2.40255465832819,2.89752389175416,"Beijing"
"Bei38",2.68595947508602,0.128007974113333,Inf,2.43506845608995,2.93685049408209,"Beijing"
"Bei42",2.83725146024842,0.12707617102108,Inf,2.58818674175385,3.08631617874299,"Beijing"
