"Mito","Nuc","Treatment","Build","Y_avg","mitoOrig"
"Bei04","375","Control","A",3.01007086489899,"Beijing"
"Bei04","375","Control","B",3.4285819760101,"Beijing"
"Bei04","375","Rotenone","A",3.03743836305084,"Beijing"
"Bei04","375","Rotenone","B",3.75204947416195,"Beijing"
"Bei04","Ore","Control","A",2.29250419823232,"Beijing"
"Bei04","Ore","Control","B",1.88498429082491,"Beijing"
"Bei04","Ore","Rotenone","A",2.00368836305084,"Beijing"
"Bei04","Ore","Rotenone","B",1.82273882601381,"Beijing"
"Bei05","375","Control","A",2.60547086489899,"Beijing"
"Bei05","375","Control","B",2.64331530934343,"Beijing"
"Bei05","375","Rotenone","A",2.29425040008788,"Beijing"
"Bei05","375","Rotenone","B",2.16137817786566,"Beijing"
"Bei05","Ore","Control","A",2.09762086489899,"Beijing"
"Bei05","Ore","Control","B",2.55778753156566,"Beijing"
"Bei05","Ore","Rotenone","A",2.16233928897677,"Beijing"
"Bei05","Ore","Rotenone","B",1.9983726223101,"Beijing"
"Bei11","375","Control","A",3.09277780934343,"Beijing"
"Bei11","375","Control","B",2.75988336489899,"Beijing"
"Bei11","375","Rotenone","A",2.63426347879159,"Beijing"
"Bei11","375","Rotenone","B",2.20565540587492,"Beijing"
"Bei11","Ore","Control","A",1.69207225378788,"Beijing"
"Bei11","Ore","Control","B",1.79492780934343,"Beijing"
"Bei11","Ore","Rotenone","A",1.70334403434714,"Beijing"
"Bei11","Ore","Rotenone","B",1.45734125656936,"Beijing"
"Bei12","375","Control","A",2.80461642045455,"Beijing"
"Bei12","375","Control","B",2.59042753156566,"Beijing"
"Bei12","375","Rotenone","A",2.39116336305084,"Beijing"
"Bei12","375","Rotenone","B",3.31898558527306,"Beijing"
"Bei12","Ore","Control","A",1.27491642045455,"Beijing"
"Bei12","Ore","Control","B",1.6542219760101,"Beijing"
"Bei12","Ore","Rotenone","A",1.2627689186064,"Beijing"
"Bei12","Ore","Rotenone","B",1.95070225193973,"Beijing"
"Bei23","375","Control","A",3.26934169823232,"Beijing"
"Bei23","375","Control","B",3.42903058712121,"Beijing"
"Bei23","375","Rotenone","A",2.65072736768048,"Beijing"
"Bei23","375","Rotenone","B",2.53976903434714,"Beijing"
"Bei23","Ore","Control","A",1.19923614267677,"Beijing"
"Bei23","Ore","Control","B",2.20086114267677,"Beijing"
"Bei23","Ore","Rotenone","A",1.56225514545825,"Beijing"
"Bei23","Ore","Rotenone","B",0.944496812124918,"Beijing"
"Bei38","375","Control","A",3.5938643834175,"Beijing"
"Bei38","375","Control","B",4.05383105008417,"Beijing"
"Bei38","375","Rotenone","A",3.10354484453233,"Beijing"
"Bei38","375","Rotenone","B",3.30587817786566,"Beijing"
"Bei38","Ore","Control","A",2.13846993897306,"Beijing"
"Bei38","Ore","Control","B",2.37209216119528,"Beijing"
"Bei38","Ore","Rotenone","A",1.50615595564344,"Beijing"
"Bei38","Ore","Rotenone","B",1.41383928897677,"Beijing"
"Bei42","375","Control","A",3.01849308712121,"Beijing"
"Bei42","375","Control","B",3.93611530934344,"Beijing"
"Bei42","375","Rotenone","A",3.69372007601381,"Beijing"
"Bei42","375","Rotenone","B",3.13937563156936,"Beijing"
"Bei42","Ore","Control","A",2.5124569760101,"Beijing"
"Bei42","Ore","Control","B",2.52296530934344,"Beijing"
"Bei42","Ore","Rotenone","A",2.23558118712492,"Beijing"
"Bei42","Ore","Rotenone","B",1.6825589649027,"Beijing"
"Bei52","375","Control","A",3.84646530934344,"Beijing"
"Bei52","375","Control","B",3.1145319760101,"Beijing"
"Bei52","375","Rotenone","A",3.25154785379159,"Beijing"
"Bei52","375","Rotenone","B",2.61791452045825,"Beijing"
"Bei52","Ore","Control","A",1.57722642045455,"Beijing"
"Bei52","Ore","Control","B",2.07394864267677,"Beijing"
"Bei52","Ore","Rotenone","A",1.31902563156936,"Beijing"
"Bei52","Ore","Rotenone","B",1.48972007601381,"Beijing"
"Bei54","375","Control","A",3.17821808712121,"Beijing"
"Bei54","375","Control","B",3.81886808712121,"Beijing"
"Bei54","375","Rotenone","A",2.96077817786566,"Beijing"
"Bei54","375","Rotenone","B",3.7782726223101,"Beijing"
"Bei54","Ore","Control","A",1.72312364267677,"Beijing"
"Bei54","Ore","Control","B",1.93145142045455,"Beijing"
"Bei54","Ore","Rotenone","A",1.22298928897677,"Beijing"
"Bei54","Ore","Rotenone","B",1.19317817786566,"Beijing"
"Bei59","375","Control","A",3.06706530934344,"Beijing"
"Bei59","375","Control","B",3.02127642045455,"Beijing"
"Bei59","375","Rotenone","A",2.84910780749529,"Beijing"
"Bei59","375","Rotenone","B",2.46191336305085,"Beijing"
"Bei59","Ore","Control","A",1.70236530934344,"Beijing"
"Bei59","Ore","Control","B",1.36835975378788,"Beijing"
"Bei59","Ore","Rotenone","A",1.54270225193973,"Beijing"
"Bei59","Ore","Rotenone","B",0.754649474161956,"Beijing"
"ZH23","375","Control","A",3.08638105008417,"Zimbabwe"
"ZH23","375","Control","B",3.92779216119528,"Zimbabwe"
"ZH23","375","Rotenone","A",2.72721706675455,"Zimbabwe"
"ZH23","375","Rotenone","B",3.00961151119899,"Zimbabwe"
"ZH23","Ore","Control","A",2.19212549452862,"Zimbabwe"
"ZH23","Ore","Control","B",2.41798105008417,"Zimbabwe"
"ZH23","Ore","Rotenone","A",1.78148928897677,"Zimbabwe"
"ZH23","Ore","Rotenone","B",1.55822817786566,"Zimbabwe"
"ZH26","375","Control","A",3.19068753156565,"Zimbabwe"
"ZH26","375","Control","B",2.67846530934343,"Zimbabwe"
"ZH26","375","Rotenone","A",3.32041058527306,"Zimbabwe"
"ZH26","375","Rotenone","B",3.07333836305084,"Zimbabwe"
"ZH26","Ore","Control","A",1.86496206860269,"Zimbabwe"
"ZH26","Ore","Control","B",1.20089308712121,"Zimbabwe"
"ZH26","Ore","Rotenone","A",1.68198928897677,"Zimbabwe"
"ZH26","Ore","Rotenone","B",1.72327169638418,"Zimbabwe"
"ZH33","375","Control","A",3.2313694760101,"Zimbabwe"
"ZH33","375","Control","B",3.41976669823232,"Zimbabwe"
"ZH33","375","Rotenone","A",2.9196245899027,"Zimbabwe"
"ZH33","375","Rotenone","B",2.47389125656936,"Zimbabwe"
"ZH33","Ore","Control","A",1.77835003156566,"Zimbabwe"
"ZH33","Ore","Control","B",1.85617503156566,"Zimbabwe"
"ZH33","Ore","Rotenone","A",1.61036625656936,"Zimbabwe"
"ZH33","Ore","Rotenone","B",1.35143570101381,"Zimbabwe"
"ZH42","375","Control","A",3.26330419823232,"Zimbabwe"
"ZH42","375","Control","B",3.74162642045454,"Zimbabwe"
"ZH42","375","Rotenone","A",2.53750595564344,"Zimbabwe"
"ZH42","375","Rotenone","B",3.47581706675455,"Zimbabwe"
"ZH42","Ore","Control","A",1.3147319760101,"Zimbabwe"
"ZH42","Ore","Control","B",1.40940975378788,"Zimbabwe"
"ZH42","Ore","Rotenone","A",1.64691706675455,"Zimbabwe"
"ZH42","Ore","Rotenone","B",2.23291151119899,"Zimbabwe"
"ZW09","375","Control","A",3.42167086489899,"Zimbabwe"
"ZW09","375","Control","B",3.48284308712121,"Zimbabwe"
"ZW09","375","Rotenone","A",3.06707007601381,"Zimbabwe"
"ZW09","375","Rotenone","B",3.05172007601381,"Zimbabwe"
"ZW09","Ore","Control","A",1.64285975378788,"Zimbabwe"
"ZW09","Ore","Control","B",2.04561739267677,"Zimbabwe"
"ZW09","Ore","Rotenone","A",2.1505089649027,"Zimbabwe"
"ZW133","375","Control","A",3.19654956860269,"Zimbabwe"
"ZW133","375","Control","B",3.3882194760101,"Zimbabwe"
"ZW133","375","Rotenone","A",2.60706097107554,"Zimbabwe"
"ZW133","375","Rotenone","B",2.27860792323603,"Zimbabwe"
"ZW133","Ore","Control","A",2.1469815791847,"Zimbabwe"
"ZW133","Ore","Control","B",1.63011669823232,"Zimbabwe"
"ZW133","Ore","Rotenone","A",1.67540792323603,"Zimbabwe"
"ZW133","Ore","Rotenone","B",0.451046812124917,"Zimbabwe"
"ZW140","375","Control","A",3.38852642045455,"Zimbabwe"
"ZW140","375","Control","B",3.49358753156566,"Zimbabwe"
"ZW140","375","Rotenone","A",3.20799229823603,"Zimbabwe"
"ZW140","375","Rotenone","B",3.09144785379159,"Zimbabwe"
"ZW140","Ore","Control","A",2.14311530934344,"Zimbabwe"
"ZW140","Ore","Control","B",1.9190319760101,"Zimbabwe"
"ZW140","Ore","Rotenone","A",1.8052589649027,"Zimbabwe"
"ZW140","Ore","Rotenone","B",2.12842007601381,"Zimbabwe"
"ZW142","375","Control","A",3.30035419823233,"Zimbabwe"
"ZW142","375","Control","B",2.83984864267677,"Zimbabwe"
"ZW142","375","Rotenone","A",3.33215225193973,"Zimbabwe"
"ZW142","375","Rotenone","B",2.85156058527307,"Zimbabwe"
"ZW142","Ore","Control","A",2.05596530934344,"Zimbabwe"
"ZW142","Ore","Control","B",2.1462069760101,"Zimbabwe"
"ZW142","Ore","Rotenone","A",1.24631212848294,"Zimbabwe"
"ZW142","Ore","Rotenone","B",1.40575502971751,"Zimbabwe"
"ZW144","375","Control","A",3.31126993897306,"Zimbabwe"
"ZW144","375","Control","B",3.27373475378788,"Zimbabwe"
"ZW144","375","Rotenone","A",2.93220981366813,"Zimbabwe"
"ZW144","375","Rotenone","B",3.45575595564344,"Zimbabwe"
"ZW144","Ore","Control","A",2.60553475378788,"Zimbabwe"
"ZW144","Ore","Control","B",2.74181808712121,"Zimbabwe"
"ZW144","Ore","Rotenone","A",1.23413928897677,"Zimbabwe"
"ZW144","Ore","Rotenone","B",1.1279226223101,"Zimbabwe"
"Zim53","375","Control","A",3.38349419823232,"Zimbabwe"
"Zim53","375","Control","B",3.86149975378788,"Zimbabwe"
"Zim53","375","Rotenone","A",3.11168558527306,"Zimbabwe"
"Zim53","375","Rotenone","B",3.64825225193973,"Zimbabwe"
"Zim53","Ore","Control","A",1.40520530934344,"Zimbabwe"
"Zim53","Ore","Control","B",1.56281642045455,"Zimbabwe"
"Zim53","Ore","Rotenone","A",1.49498558527306,"Zimbabwe"
"Zim53","Ore","Rotenone","B",1.58875225193973,"Zimbabwe"
"siI","375","Control","A",3.05757866913179,"D.simulans"
"siI","375","Control","B",2.92367503156566,"D.simulans"
"siI","375","Rotenone","A",3.01262777277307,"D.simulans"
"siI","375","Rotenone","B",2.54844519175455,"D.simulans"
"siI","Ore","Control","A",1.93417366582492,"D.simulans"
"siI","Ore","Control","B",2.30532086489899,"D.simulans"
"siI","Ore","Rotenone","A",1.78229374499529,"D.simulans"
"siI","Ore","Rotenone","B",1.86706602508788,"D.simulans"
"yak","375","Control","A",3.17302088804714,"D.yakuba"
"yak","375","Control","B",2.99974169823232,"D.yakuba"
"yak","375","Rotenone","A",2.88951249499529,"D.yakuba"
"yak","375","Rotenone","B",2.45990213619899,"D.yakuba"
"yak","Ore","Control","A",1.79624797138047,"D.yakuba"
"yak","Ore","Control","B",1.71008475378788,"D.yakuba"
"yak","Ore","Rotenone","A",1.97681249499529,"D.yakuba"
"yak","Ore","Rotenone","B",1.62242852508788,"D.yakuba"
