"Mito","Nuc","Treatment","Build","Y_avg"
"Bei04","375","Control","A",3.01007086489899
"Bei04","375","Control","B",3.4285819760101
"Bei04","375","Rotenone","A",3.03743836305084
"Bei04","375","Rotenone","B",3.75204947416195
"Bei04","Ore","Control","A",2.29250419823232
"Bei04","Ore","Control","B",1.88498429082491
"Bei04","Ore","Rotenone","A",2.00368836305084
"Bei04","Ore","Rotenone","B",1.82273882601381
"Bei05","375","Control","A",2.60547086489899
"Bei05","375","Control","B",2.64331530934343
"Bei05","375","Rotenone","A",2.29425040008788
"Bei05","375","Rotenone","B",2.16137817786566
"Bei05","Ore","Control","A",2.09762086489899
"Bei05","Ore","Control","B",2.55778753156566
"Bei05","Ore","Rotenone","A",2.16233928897677
"Bei05","Ore","Rotenone","B",1.9983726223101
"Bei11","375","Control","A",3.09277780934343
"Bei11","375","Control","B",2.75988336489899
"Bei11","375","Rotenone","A",2.63426347879159
"Bei11","375","Rotenone","B",2.20565540587492
"Bei11","Ore","Control","A",1.69207225378788
"Bei11","Ore","Control","B",1.79492780934343
"Bei11","Ore","Rotenone","A",1.70334403434714
"Bei11","Ore","Rotenone","B",1.45734125656936
"Bei12","375","Control","A",2.80461642045455
"Bei12","375","Control","B",2.59042753156566
"Bei12","375","Rotenone","A",2.39116336305084
"Bei12","375","Rotenone","B",3.31898558527306
"Bei12","Ore","Control","A",1.27491642045455
"Bei12","Ore","Control","B",1.6542219760101
"Bei12","Ore","Rotenone","A",1.2627689186064
"Bei12","Ore","Rotenone","B",1.95070225193973
"Bei23","375","Control","A",3.26934169823232
"Bei23","375","Control","B",3.42903058712121
"Bei23","375","Rotenone","A",2.65072736768048
"Bei23","375","Rotenone","B",2.53976903434714
"Bei23","Ore","Control","A",1.19923614267677
"Bei23","Ore","Control","B",2.20086114267677
"Bei23","Ore","Rotenone","A",1.56225514545825
"Bei23","Ore","Rotenone","B",0.944496812124918
"Bei38","375","Control","A",3.5938643834175
"Bei38","375","Control","B",4.05383105008417
"Bei38","375","Rotenone","A",3.10354484453233
"Bei38","375","Rotenone","B",3.30587817786566
"Bei38","Ore","Control","A",2.13846993897306
"Bei38","Ore","Control","B",2.37209216119528
"Bei38","Ore","Rotenone","A",1.50615595564344
"Bei38","Ore","Rotenone","B",1.41383928897677
"Bei42","375","Control","A",3.01849308712121
"Bei42","375","Control","B",3.93611530934344
"Bei42","375","Rotenone","A",3.69372007601381
"Bei42","375","Rotenone","B",3.13937563156936
"Bei42","Ore","Control","A",2.5124569760101
"Bei42","Ore","Control","B",2.52296530934344
"Bei42","Ore","Rotenone","A",2.23558118712492
"Bei42","Ore","Rotenone","B",1.6825589649027
"Bei52","375","Control","A",3.84646530934344
"Bei52","375","Control","B",3.1145319760101
"Bei52","375","Rotenone","A",3.25154785379159
"Bei52","375","Rotenone","B",2.61791452045825
"Bei52","Ore","Control","A",1.57722642045455
"Bei52","Ore","Control","B",2.07394864267677
"Bei52","Ore","Rotenone","A",1.31902563156936
"Bei52","Ore","Rotenone","B",1.48972007601381
"Bei54","375","Control","A",3.17821808712121
"Bei54","375","Control","B",3.81886808712121
"Bei54","375","Rotenone","A",2.96077817786566
"Bei54","375","Rotenone","B",3.7782726223101
"Bei54","Ore","Control","A",1.72312364267677
"Bei54","Ore","Control","B",1.93145142045455
"Bei54","Ore","Rotenone","A",1.22298928897677
"Bei54","Ore","Rotenone","B",1.19317817786566
"Bei59","375","Control","A",3.06706530934344
"Bei59","375","Control","B",3.02127642045455
"Bei59","375","Rotenone","A",2.84910780749529
