"Mito","Nuc","Treatment","Build","Y_avg"
"Bei04","375","Control","A",3.92105389367464
"Bei04","375","Control","B",4.64303167145241
"Bei04","375","Rotenone","A",3.49581656590925
"Bei04","375","Rotenone","B",3.8826721214648
"Bei04","Ore","Control","A",2.11329833811908
"Bei04","Ore","Control","B",2.48475708568244
"Bei04","Ore","Rotenone","A",2.47038878813147
"Bei04","Ore","Rotenone","B",2.4724684177611
"Bei05","375","Control","A",3.22009000478575
"Bei05","375","Control","B",3.30139556034131
"Bei05","375","Rotenone","A",2.99602860294628
"Bei05","375","Rotenone","B",3.18988415850184
"Bei05","Ore","Control","A",2.38991222700797
"Bei05","Ore","Control","B",3.48727889367464
"Bei05","Ore","Rotenone","A",2.26993415850184
"Bei05","Ore","Rotenone","B",2.58788971405739
"Bei11","375","Control","A",3.51767762052649
"Bei11","375","Control","B",2.87793039830427
"Bei11","375","Rotenone","A",3.47567119553888
"Bei11","375","Rotenone","B",2.74053230664999
"Bei11","Ore","Control","A",2.89729150941538
"Bei11","Ore","Control","B",2.73835262052649
"Bei11","Ore","Rotenone","A",2.38843786220554
"Bei11","Ore","Rotenone","B",1.67057952887221
"Bei12","375","Control","A",3.68082852330427
"Bei12","375","Control","B",4.17533963441538
"Bei12","375","Rotenone","A",3.65887489924259
"Bei12","375","Rotenone","B",4.05871378813147
"Bei12","Ore","Control","A",2.1706618566376
"Bei12","Ore","Control","B",2.80808963441538
"Bei12","Ore","Rotenone","A",1.96500267702036
"Bei12","Ore","Rotenone","B",2.63229712146481
"Bei23","375","Control","A",3.16719984274871
"Bei23","375","Control","B",3.06659150941538
"Bei23","375","Rotenone","A",2.8934434177611
"Bei23","375","Rotenone","B",2.59899063998332
"Bei23","Ore","Control","A",3.15981095385982
"Bei23","Ore","Control","B",2.68519984274871
"Bei23","Ore","Rotenone","A",2.65776563998332
"Bei23","Ore","Rotenone","B",1.77523508442777
"Bei38","375","Control","A",3.51586583324579
"Bei38","375","Control","B",3.99551027769024
"Bei38","375","Rotenone","A",3.45129249183517
"Bei38","375","Rotenone","B",3.34667026961295
"Bei38","Ore","Control","A",1.69414916657912
"Bei38","Ore","Control","B",2.60736027769024
"Bei38","Ore","Rotenone","A",1.89704249183517
"Bei38","Ore","Rotenone","B",2.79484249183517
"Bei42","375","Control","A",3.18893005108205
"Bei42","375","Control","B",3.15014671774872
"Bei42","375","Rotenone","A",2.88809133442777
"Bei42","375","Rotenone","B",2.62839688998333
"Bei42","Ore","Control","A",2.31041338441538
"Bei42","Ore","Control","B",2.84057449552649
