"Mito","Nuc","Treatment","Build","Y_avg"
"Bei04","375","Control","A",0.808079144976936
"Bei04","375","Control","B",0.782987534249563
"Bei04","375","Rotenone","A",0.804681820269284
"Bei04","375","Rotenone","B",0.768528726869263
"Bei04","Ore","Control","A",0.736192321595844
"Bei04","Ore","Control","B",0.686353326958218
"Bei04","Ore","Rotenone","A",0.808978511219232
"Bei04","Ore","Rotenone","B",0.775820551248613
"Bei05","375","Control","A",0.785098012917645
"Bei05","375","Control","B",0.810866852157914
"Bei05","375","Rotenone","A",0.81531855596089
"Bei05","375","Rotenone","B",0.767105370501864
"Bei05","Ore","Control","A",0.662834954911599
"Bei05","Ore","Control","B",0.775333761905633
"Bei05","Ore","Rotenone","A",0.693195601213167
"Bei05","Ore","Rotenone","B",0.765302894488768
"Bei11","375","Control","A",0.857952580313229
"Bei11","375","Control","B",0.872171651527188
"Bei11","375","Rotenone","A",0.817464110919647
"Bei11","375","Rotenone","B",0.843001535361286
"Bei11","Ore","Control","B",0.697223113340022
"Bei11","Ore","Rotenone","A",0.72179895990281
"Bei11","Ore","Rotenone","B",0.682883345122044
"Bei12","375","Control","A",0.83832379447809
"Bei12","375","Control","B",0.842383712906763
"Bei12","375","Rotenone","A",0.825516832646156
"Bei12","375","Rotenone","B",0.803230126728019
"Bei12","Ore","Control","A",0.717395439213154
"Bei12","Ore","Control","B",0.737331216230685
"Bei12","Ore","Rotenone","A",0.668111286022362
"Bei12","Ore","Rotenone","B",0.743382446748778
"Bei23","375","Control","A",0.862485815250766
"Bei23","375","Control","B",0.853736615914618
"Bei23","375","Rotenone","A",0.83262306765722
"Bei23","375","Rotenone","B",0.824046080312583
"Bei23","Ore","Control","A",0.743989953145447
"Bei23","Ore","Control","B",0.747883064321516
"Bei23","Ore","Rotenone","A",0.713555204628781
"Bei38","375","Control","A",0.80268893513087
"Bei38","375","Control","B",0.758189932761497
"Bei38","375","Rotenone","A",0.773993115495617
"Bei38","375","Rotenone","B",0.827716277062982
"Bei38","Ore","Control","A",0.700446019867122
"Bei38","Ore","Control","B",0.737733828509097
"Bei38","Ore","Rotenone","A",0.643748757956574
"Bei38","Ore","Rotenone","B",0.624627652724357
