"Mito","Nuc","Treatment","Build","Y_avg"
"Bei04","375","Control","A",0.832535483114479
"Bei04","375","Control","B",0.859679126686761
"Bei04","375","Rotenone","A",0.849864817773686
"Bei04","375","Rotenone","B",0.851721648558428
"Bei04","Ore","Control","A",0.761064241364847
"Bei04","Ore","Control","B",0.816476647792403
"Bei04","Ore","Rotenone","A",0.771024157509736
"Bei04","Ore","Rotenone","B",0.686848634633771
"Bei05","375","Control","A",0.867545514405018
"Bei05","375","Control","B",0.888092626162532
"Bei05","375","Rotenone","A",0.861339103802815
"Bei05","375","Rotenone","B",0.870995870488475
"Bei05","Ore","Control","A",0.71911807924006
"Bei05","Ore","Control","B",0.870699289559114
"Bei05","Ore","Rotenone","A",0.77064837069044
"Bei05","Ore","Rotenone","B",0.799579596030448
"Bei11","375","Control","A",0.885696348541738
"Bei11","375","Control","B",0.891236660763439
"Bei11","375","Rotenone","A",0.854998087671844
"Bei11","375","Rotenone","B",0.848754099434287
"Bei11","Ore","Control","B",0.809560404205646
"Bei11","Ore","Rotenone","A",0.809998628730464
"Bei11","Ore","Rotenone","B",0.803438619559683
"Bei12","375","Control","A",0.832507058417251
"Bei12","375","Control","B",0.831013964258673
"Bei12","375","Rotenone","A",0.83946504681726
"Bei12","375","Rotenone","B",0.824477114064054
"Bei12","Ore","Control","A",0.817723384481795
"Bei12","Ore","Control","B",0.791432222252663
"Bei12","Ore","Rotenone","A",0.80409817182016
"Bei12","Ore","Rotenone","B",0.816683323780194
"Bei23","375","Control","A",0.904766600296086
"Bei23","375","Control","B",0.890787503584992
"Bei23","375","Rotenone","A",0.84615564394194
"Bei23","375","Rotenone","B",0.852985521370692
"Bei23","Ore","Control","A",0.860345015409848
"Bei23","Ore","Control","B",0.861041800622733
"Bei23","Ore","Rotenone","A",0.766803247421922
"Bei23","Ore","Rotenone","B",0.79268881749862
"Bei38","375","Control","A",0.831443229767448
"Bei38","375","Control","B",0.864478515243618
"Bei38","375","Rotenone","A",0.867824473177162
"Bei38","375","Rotenone","B",0.854143618292105
"Bei38","Ore","Control","A",0.72257823986381
"Bei38","Ore","Control","B",0.824303219979313
"Bei38","Ore","Rotenone","A",0.734626609119923
"Bei38","Ore","Rotenone","B",0.782943107436421
"Bei42","375","Control","A",0.888698510692726
"Bei42","375","Control","B",0.866943031196419
"Bei42","375","Rotenone","A",0.837815050799177
"Bei42","375","Rotenone","B",0.876204957257475
"Bei42","Ore","Control","A",0.74265997863767
"Bei42","Ore","Control","B",0.767529706435509
"Bei42","Ore","Rotenone","A",0.707253427169161
"Bei42","Ore","Rotenone","B",0.737022259464179
"Bei52","375","Control","A",0.893280298083194
"Bei52","375","Control","B",0.870173448172339
"Bei52","375","Rotenone","A",0.817960510119509
"Bei52","375","Rotenone","B",0.869816637329414
"Bei52","Ore","Control","A",0.769898971824143
"Bei52","Ore","Control","B",0.799638025130664
"Bei52","Ore","Rotenone","A",0.790058931379471
"Bei52","Ore","Rotenone","B",0.788980594444739
"Bei54","375","Control","A",0.801010219845766
"Bei54","375","Control","B",0.866448316103104
"Bei54","375","Rotenone","A",0.813314361070663
"Bei54","375","Rotenone","B",0.824602894836665
"Bei54","Ore","Control","A",0.791846686011179
"Bei54","Ore","Control","B",0.82657290585767
"Bei54","Ore","Rotenone","A",0.807596718727067
"Bei54","Ore","Rotenone","B",0.766280703510522
"Bei59","375","Control","A",0.813556198844759
"Bei59","375","Control","B",0.848445792086025
"Bei59","375","Rotenone","A",0.819796171091771
"Bei59","375","Rotenone","B",0.813347621039693
"Bei59","Ore","Control","A",0.828934507000143
"Bei59","Ore","Control","B",0.752751291274337
"Bei59","Ore","Rotenone","A",0.744544203748786
"Bei59","Ore","Rotenone","B",0.767205064542146
"ZH23","375","Control","A",0.845686117582799
"ZH23","375","Control","B",0.827589997653346
"ZH23","375","Rotenone","A",0.861661745429253
"ZH23","375","Rotenone","B",0.628327945399384
"ZH23","Ore","Control","A",0.790036147941026
"ZH23","Ore","Control","B",0.812319331441819
"ZH23","Ore","Rotenone","A",0.813940258433572
"ZH23","Ore","Rotenone","B",0.80134766584098
"ZH26","375","Control","A",0.876135033750296
"ZH26","375","Control","B",0.853229897664033
"ZH26","375","Rotenone","A",0.87087040293385
"ZH26","375","Rotenone","B",0.845865242813472
"ZH26","Ore","Control","A",0.825019450916132
"ZH26","Ore","Control","B",0.837245518699878
"ZH26","Ore","Rotenone","A",0.803545745876349
"ZH26","Ore","Rotenone","B",0.820981501459686
"ZH33","375","Control","A",0.882591655968493
"ZH33","375","Control","B",0.88681607993399
"ZH33","375","Rotenone","A",0.866766484810016
"ZH33","375","Rotenone","B",0.845241365294543
"ZH33","Ore","Control","A",0.823627928321401
"ZH33","Ore","Control","B",0.843101400990212
"ZH33","Ore","Rotenone","A",0.812345419642632
"ZH33","Ore","Rotenone","B",0.811388838321868
"ZH42","375","Control","A",0.823097335760906
"ZH42","375","Control","B",0.875820722388863
"ZH42","375","Rotenone","A",0.806046027931454
"ZH42","375","Rotenone","B",0.808869667735752
"ZH42","Ore","Control","A",0.819204825681023
"ZH42","Ore","Control","B",0.82257440418437
"ZH42","Ore","Rotenone","A",0.746558158834108
"ZH42","Ore","Rotenone","B",0.815771058332055
"ZW09","375","Control","A",0.882523921325247
"ZW09","375","Control","B",0.845696402982017
"ZW09","375","Rotenone","A",0.840076242062216
"ZW09","375","Rotenone","B",0.849423744016003
"ZW09","Ore","Control","A",0.762924707641006
"ZW09","Ore","Control","B",0.785415499013359
"ZW09","Ore","Rotenone","A",0.783737304762096
"ZW09","Ore","Rotenone","B",0.796115957834098
"ZW133","375","Control","A",0.885976273361017
"ZW133","375","Control","B",0.905609676004397
"ZW133","375","Rotenone","A",0.55383022639191
"ZW133","375","Rotenone","B",0.859638612983646
"ZW133","Ore","Control","A",0.880514316317114
"ZW133","Ore","Control","B",0.858836931536835
"ZW133","Ore","Rotenone","A",0.809075720510137
"ZW133","Ore","Rotenone","B",0.754217785444596
"ZW140","375","Control","A",0.873611600793321
"ZW140","375","Control","B",0.810100387882693
"ZW140","375","Rotenone","A",0.850149220018743
"ZW140","375","Rotenone","B",0.861140262248233
"ZW140","Ore","Control","A",0.808087985521474
"ZW140","Ore","Control","B",0.831206549028208
"ZW140","Ore","Rotenone","A",0.814202429813965
"ZW140","Ore","Rotenone","B",0.7757510048817
"ZW142","375","Control","A",0.844032408859083
"ZW142","375","Control","B",0.826555377812799
"ZW142","375","Rotenone","A",0.821434405627031
"ZW142","375","Rotenone","B",0.83090240843147
"ZW142","Ore","Control","A",0.780864737577154
"ZW142","Ore","Control","B",0.749696603774337
"ZW142","Ore","Rotenone","A",0.806901489736017
"ZW142","Ore","Rotenone","B",0.711740238116303
"ZW144","375","Control","A",0.874137641510186
"ZW144","375","Control","B",0.890235222005398
"ZW144","375","Rotenone","A",0.827045238553873
"ZW144","375","Rotenone","B",0.834110184286133
"ZW144","Ore","Control","A",0.805308736127278
"ZW144","Ore","Control","B",0.76871685025321
"ZW144","Ore","Rotenone","A",0.777455229654841
"ZW144","Ore","Rotenone","B",0.7883281270689
"Zim53","375","Control","A",0.842978558618766
"Zim53","375","Control","B",0.856107576232468
"Zim53","375","Rotenone","A",0.839645306000735
"Zim53","375","Rotenone","B",0.825948255812002
"Zim53","Ore","Control","A",0.763858464707675
"Zim53","Ore","Control","B",0.806195013475092
"Zim53","Ore","Rotenone","A",0.801706783180751
"Zim53","Ore","Rotenone","B",0.806308704949837
"siI","375","Control","A",0.841393454811103
"siI","375","Control","B",0.867785722534179
"siI","375","Rotenone","A",0.845016727032664
"siI","375","Rotenone","B",0.853045375160928
"siI","Ore","Control","A",0.775294233448084
"siI","Ore","Control","B",0.78680334297259
"siI","Ore","Rotenone","A",0.781445844084693
"siI","Ore","Rotenone","B",0.784682449251607
"yak","375","Control","A",0.847485544526005
"yak","375","Control","B",0.859175384654435
"yak","375","Rotenone","A",0.842058746582788
"yak","375","Rotenone","B",0.843786063982749
"yak","Ore","Control","A",0.792965638078202
"yak","Ore","Control","B",0.836938068797841
"yak","Ore","Rotenone","A",0.789732148667411
"yak","Ore","Rotenone","B",0.797456933382039
