"Mito","emmean","SE","df","lower.CL","upper.CL","mitoOrig"
"ZH33",1.06828110104077,0.0280542149350171,34.5600500503051,1.01130208842103,1.12526011366051,"Zimbabwe"
"ZW133",1.08826855770142,0.0275616403914628,32.000428051758,1.0321273628398,1.14440975256304,"Zimbabwe"
"ZH42",1.11185196173451,0.0311570053367401,52.562301028559,1.04934677277349,1.17435715069553,"Zimbabwe"
"Bei11",1.12003016254986,0.0280542149350171,34.5600500503052,1.06305114993012,1.17700917516961,"Beijing"
"Bei52",1.13042525245989,0.0346469188957769,79.6986205909974,1.06147168364075,1.19937882127903,"Beijing"
"Bei05",1.13696263855769,0.0311570053367401,52.5623010285587,1.07445744959667,1.19946782751871,"Beijing"
"ZW142",1.14970714855943,0.0280542149350172,34.560050050305,1.09272813593969,1.20668616117917,"Zimbabwe"
"Bei23",1.15830167544451,0.0280542149350172,34.5600500503051,1.10132266282477,1.21528068806425,"Beijing"
"ZH23",1.17260435101191,0.0311570053367401,52.5623010285592,1.11009916205089,1.23510953997293,"Zimbabwe"
"Bei38",1.17961627242383,0.0311570053367401,52.5623010285595,1.11711108346281,1.24212146138485,"Beijing"
"Bei42",1.18160177070445,0.0346469188957769,79.6986205909978,1.11264820188531,1.2505553395236,"Beijing"
"siI",1.18392630235763,0.0249360702415055,21.2061256521004,1.13209958037469,1.23575302434057,"D.simulans"
"Bei59",1.18755386403091,0.0281957449027187,35.2503405893959,1.13032798675804,1.24477974130378,"Beijing"
"yak",1.18865047597441,0.0249350894861767,21.2046241100113,1.13682557121069,1.24047538073814,"D.yakuba"
"ZW144",1.21344676672006,0.0331798822101227,65.4175321997042,1.14718998312876,1.27970355031136,"Zimbabwe"
"ZW09",1.21602851389282,0.032231173717017,55.5529793122301,1.15145024712696,1.28060678065868,"Zimbabwe"
"Bei54",1.21965465847333,0.036395266919189,94.2583225116271,1.14739358463033,1.29191573231632,"Beijing"
"Zim53",1.23582550347056,0.0311570053367401,52.562301028559,1.17332031450954,1.29833069243158,"Zimbabwe"
"ZW140",1.2553662895478,0.0346469188957769,79.6986205909978,1.18641272072866,1.32431985836695,"Zimbabwe"
"Bei12",1.25673655908162,0.0311570053367401,52.562301028559,1.1942313701206,1.31924174804264,"Beijing"
"Bei04",1.27953026458697,0.0301072465278928,44.9715089136931,1.21889009697211,1.34017043220184,"Beijing"
"ZH26",1.30504653787597,0.0311570053367401,52.5623010285592,1.24254134891495,1.36755172683699,"Zimbabwe"
