"Mito","Nuc","Treatment","Build","Y_avg","mitoOrig"
"Bei04","375","Control","A",1.19701302430801,"Beijing"
"Bei04","375","Control","B",1.13319080208578,"Beijing"
"Bei04","375","Rotenone","A",1.30628216160228,"Beijing"
"Bei04","375","Rotenone","B",1.25637446929459,"Beijing"
"Bei04","Ore","Control","A",1.33561504451002,"Beijing"
"Bei04","Ore","Control","B",1.28102185112933,"Beijing"
"Bei04","Ore","Rotenone","A",1.47082632114645,"Beijing"
"Bei04","Ore","Rotenone","B",1.28779603754117,"Beijing"
"Bei05","375","Control","A",1.1080851077801,"Beijing"
"Bei05","375","Control","B",1.08686186435685,"Beijing"
"Bei05","375","Rotenone","A",1.07606678993691,"Beijing"
"Bei05","375","Rotenone","B",1.10215885342897,"Beijing"
"Bei05","Ore","Control","A",1.20329722899221,"Beijing"
"Bei05","Ore","Control","B",1.02911844111341,"Beijing"
"Bei05","Ore","Rotenone","A",1.28593492180505,"Beijing"
"Bei05","Ore","Rotenone","B",1.20417790104802,"Beijing"
"Bei11","375","Control","A",1.05748255138911,"Beijing"
"Bei11","375","Control","B",0.985593829584602,"Beijing"
"Bei11","375","Rotenone","A",1.16369251537419,"Beijing"
"Bei11","375","Rotenone","B",1.03873437689073,"Beijing"
"Bei11","Ore","Control","A",1.18824850496082,"Beijing"
"Bei11","Ore","Control","B",1.2207079235608,"Beijing"
"Bei11","Ore","Rotenone","A",1.17201374786719,"Beijing"
"Bei11","Ore","Rotenone","B",1.1337678507715,"Beijing"
"Bei12","375","Control","A",1.29007257309256,"Beijing"
"Bei12","375","Control","B",1.24691017993017,"Beijing"
"Bei12","375","Rotenone","A",1.23123974475987,"Beijing"
"Bei12","375","Rotenone","B",1.21199615501628,"Beijing"
"Bei12","Ore","Control","A",1.29707257309257,"Beijing"
"Bei12","Ore","Control","B",1.28376954278953,"Beijing"
"Bei12","Ore","Rotenone","A",1.23549110451123,"Beijing"
"Bei12","Ore","Rotenone","B",1.25734059946073,"Beijing"
"Bei23","375","Control","A",1.13315525198117,"Beijing"
"Bei23","375","Control","B",1.1639638634929,"Beijing"
"Bei23","375","Rotenone","A",1.02395760161922,"Beijing"
"Bei23","375","Rotenone","B",1.17346606824031,"Beijing"
"Bei23","Ore","Control","A",1.25994660465954,"Beijing"
"Bei23","Ore","Control","B",1.19641214203239,"Beijing"
"Bei23","Ore","Rotenone","A",1.18362963267725,"Beijing"
"Bei23","Ore","Rotenone","B",1.13188223885332,"Beijing"
"Bei38","375","Control","A",1.18379038491037,"Beijing"
"Bei38","375","Control","B",1.20504679516678,"Beijing"
"Bei38","375","Rotenone","A",1.07244783111796,"Beijing"
"Bei38","375","Rotenone","B",1.18776834393846,"Beijing"
"Bei38","Ore","Control","A",1.24277872989871,"Beijing"
"Bei38","Ore","Control","B",1.13629522821521,"Beijing"
"Bei38","Ore","Rotenone","A",1.15459007776021,"Beijing"
"Bei38","Ore","Rotenone","B",1.2542127883829,"Beijing"
"Bei42","375","Control","A",1.02000492890885,"Beijing"
"Bei42","375","Control","B",1.02023047238711,"Beijing"
"Bei42","375","Rotenone","A",1.11535108950675,"Beijing"
"Bei42","375","Rotenone","B",1.14849681600248,"Beijing"
"Bei42","Ore","Control","A",1.28840258777173,"Beijing"
"Bei42","Ore","Control","B",1.2474679723871,"Beijing"
"Bei42","Ore","Rotenone","A",1.34608570489137,"Beijing"
"Bei42","Ore","Rotenone","B",1.26677459378026,"Beijing"
"Bei52","375","Control","A",1.09764019460934,"Beijing"
"Bei52","375","Control","B",1.09624489546404,"Beijing"
"Bei52","375","Rotenone","A",0.995385704891354,"Beijing"
"Bei52","375","Rotenone","B",1.08102982253842,"Beijing"
"Bei52","Ore","Control","A",1.25372908349822,"Beijing"
"Bei52","Ore","Control","B",1.19423741683157,"Beijing"
"Bei52","Ore","Rotenone","A",1.24244919695486,"Beijing"
"Bei52","Ore","Rotenone","B",1.08268570489135,"Beijing"
"Bei54","375","Control","A",1.23400998461894,"Beijing"
"Bei54","375","Control","B",1.03568034367165,"Beijing"
"Bei54","375","Rotenone","A",1.1595160578087,"Beijing"
"Bei54","375","Rotenone","B",1.16713535605431,"Beijing"
"Bei54","Ore","Control","A",1.21862926008033,"Beijing"
"Bei54","Ore","Control","B",1.22279472275661,"Beijing"
"Bei54","Ore","Rotenone","A",1.31841349370614,"Beijing"
"Bei54","Ore","Rotenone","B",1.35428272447536,"Beijing"
"Bei59","375","Control","A",1.17519283617656,"Beijing"
"Bei59","375","Control","B",1.14086788187905,"Beijing"
"Bei59","375","Rotenone","A",1.06054640008596,"Beijing"
"Bei59","375","Rotenone","B",1.05645014277603,"Beijing"
"Bei59","Ore","Control","A",1.28559318705376,"Beijing"
"Bei59","Ore","Control","B",1.27257820075201,"Beijing"
"Bei59","Ore","Rotenone","A",1.27158840509849,"Beijing"
"Bei59","Ore","Rotenone","B",1.23786420710351,"Beijing"
"ZH23","375","Control","A",1.20452115414114,"Zimbabwe"
"ZH23","375","Control","B",1.19350600262599,"Zimbabwe"
"ZH23","375","Rotenone","A",0.996784216954355,"Zimbabwe"
"ZH23","375","Rotenone","B",1.20160672777685,"Zimbabwe"
"ZH23","Ore","Control","A",1.13313226525225,"Zimbabwe"
"ZH23","Ore","Control","B",1.20005145717144,"Zimbabwe"
"ZH23","Ore","Rotenone","A",1.21464982541995,"Zimbabwe"
"ZH23","Ore","Rotenone","B",1.23658315875328,"Zimbabwe"
"ZH26","375","Control","A",1.29768070107568,"Zimbabwe"
"ZH26","375","Control","B",1.37079886069384,"Zimbabwe"
"ZH26","375","Rotenone","A",1.32397446929458,"Zimbabwe"
"ZH26","375","Rotenone","B",1.35968875500889,"Zimbabwe"
"ZH26","Ore","Control","A",1.27131812383811,"Zimbabwe"
"ZH26","Ore","Control","B",1.24969080208579,"Zimbabwe"
"ZH26","Ore","Rotenone","A",1.16071278838291,"Zimbabwe"
"ZH26","Ore","Rotenone","B",1.40650780262794,"Zimbabwe"
"ZH33","375","Control","A",1.02849727127707,"Zimbabwe"
"ZH33","375","Control","B",0.999256636602142,"Zimbabwe"
"ZH33","375","Rotenone","A",1.03511638190325,"Zimbabwe"
"ZH33","375","Rotenone","B",0.900443048569923,"Zimbabwe"
"ZH33","Ore","Control","A",1.1852518371034,"Zimbabwe"
