"Mito","Nuc","Treatment","Build","Y_avg"
"Bei04","375","Control","A",1.19701302430801
"Bei04","375","Control","B",1.13319080208578
"Bei04","375","Rotenone","A",1.30628216160228
"Bei04","375","Rotenone","B",1.25637446929459
"Bei04","Ore","Control","A",1.33561504451002
"Bei04","Ore","Control","B",1.28102185112933
"Bei04","Ore","Rotenone","A",1.47082632114645
"Bei04","Ore","Rotenone","B",1.28779603754117
"Bei05","375","Control","A",1.1080851077801
"Bei05","375","Control","B",1.08686186435685
"Bei05","375","Rotenone","A",1.07606678993691
"Bei05","375","Rotenone","B",1.10215885342897
"Bei05","Ore","Control","A",1.20329722899221
"Bei05","Ore","Control","B",1.02911844111341
"Bei05","Ore","Rotenone","A",1.28593492180505
"Bei05","Ore","Rotenone","B",1.20417790104802
"Bei11","375","Control","A",1.05748255138911
"Bei11","375","Control","B",0.985593829584602
"Bei11","375","Rotenone","A",1.16369251537419
"Bei11","375","Rotenone","B",1.03873437689073
"Bei11","Ore","Control","A",1.18824850496082
"Bei11","Ore","Control","B",1.2207079235608
"Bei11","Ore","Rotenone","A",1.17201374786719
"Bei11","Ore","Rotenone","B",1.1337678507715
"Bei12","375","Control","A",1.29007257309256
"Bei12","375","Control","B",1.24691017993017
"Bei12","375","Rotenone","A",1.23123974475987
"Bei12","375","Rotenone","B",1.21199615501628
"Bei12","Ore","Control","A",1.29707257309257
"Bei12","Ore","Control","B",1.28376954278953
"Bei12","Ore","Rotenone","A",1.23549110451123
"Bei12","Ore","Rotenone","B",1.25734059946073
"Bei23","375","Control","A",1.13315525198117
"Bei23","375","Control","B",1.1639638634929
"Bei23","375","Rotenone","A",1.02395760161922
"Bei23","375","Rotenone","B",1.17346606824031
"Bei23","Ore","Control","A",1.25994660465954
"Bei23","Ore","Control","B",1.19641214203239
"Bei23","Ore","Rotenone","A",1.18362963267725
"Bei23","Ore","Rotenone","B",1.13188223885332
"Bei38","375","Control","A",1.18379038491037
"Bei38","375","Control","B",1.20504679516678
"Bei38","375","Rotenone","A",1.07244783111796
"Bei38","375","Rotenone","B",1.18776834393846
"Bei38","Ore","Control","A",1.24277872989871
"Bei38","Ore","Control","B",1.13629522821521
"Bei38","Ore","Rotenone","A",1.15459007776021
"Bei38","Ore","Rotenone","B",1.2542127883829
"Bei42","375","Control","A",1.02000492890885
"Bei42","375","Control","B",1.02023047238711
"Bei42","375","Rotenone","A",1.11535108950675
"Bei42","375","Rotenone","B",1.14849681600248
"Bei42","Ore","Control","A",1.28840258777173
"Bei42","Ore","Control","B",1.2474679723871
"Bei42","Ore","Rotenone","A",1.34608570489137
"Bei42","Ore","Rotenone","B",1.26677459378026
"Bei52","375","Control","A",1.09764019460934
"Bei52","375","Control","B",1.09624489546404
"Bei52","375","Rotenone","A",0.995385704891354
"Bei52","375","Rotenone","B",1.08102982253842
"Bei52","Ore","Control","A",1.25372908349822
"Bei52","Ore","Control","B",1.19423741683157
"Bei52","Ore","Rotenone","A",1.24244919695486
"Bei52","Ore","Rotenone","B",1.08268570489135
"Bei54","375","Control","A",1.23400998461894
"Bei54","375","Control","B",1.03568034367165
"Bei54","375","Rotenone","A",1.1595160578087
"Bei54","375","Rotenone","B",1.16713535605431
"Bei54","Ore","Control","A",1.21862926008033
"Bei54","Ore","Control","B",1.22279472275661
"Bei54","Ore","Rotenone","A",1.31841349370614
"Bei54","Ore","Rotenone","B",1.35428272447536
"Bei59","375","Control","A",1.17519283617656
"Bei59","375","Control","B",1.14086788187905
"Bei59","375","Rotenone","A",1.06054640008596
"Bei59","375","Rotenone","B",1.05645014277603
"Bei59","Ore","Control","A",1.28559318705376
"Bei59","Ore","Control","B",1.27257820075201
"Bei59","Ore","Rotenone","A",1.27158840509849
"Bei59","Ore","Rotenone","B",1.23786420710351
"ZH23","375","Control","A",1.20452115414114
"ZH23","375","Control","B",1.19350600262599
"ZH23","375","Rotenone","A",0.996784216954355
"ZH23","375","Rotenone","B",1.20160672777685
"ZH23","Ore","Control","A",1.13313226525225
"ZH23","Ore","Control","B",1.20005145717144
"ZH23","Ore","Rotenone","A",1.21464982541995
"ZH23","Ore","Rotenone","B",1.23658315875328
"ZH26","375","Control","A",1.29768070107568
"ZH26","375","Control","B",1.37079886069384
"ZH26","375","Rotenone","A",1.32397446929458
"ZH26","375","Rotenone","B",1.35968875500889
"ZH26","Ore","Control","A",1.27131812383811
"ZH26","Ore","Control","B",1.24969080208579
"ZH26","Ore","Rotenone","A",1.16071278838291
"ZH26","Ore","Rotenone","B",1.40650780262794
"ZH33","375","Control","A",1.02849727127707
"ZH33","375","Control","B",0.999256636602142
"ZH33","375","Rotenone","A",1.03511638190325
"ZH33","375","Rotenone","B",0.900443048569923
"ZH33","Ore","Control","A",1.1852518371034
"ZH33","Ore","Control","B",1.17991572020859
"ZH33","Ore","Rotenone","A",1.09987717280826
"ZH33","Ore","Rotenone","B",1.11789073985353
"ZH42","375","Control","A",1.0124003258953
"ZH42","375","Control","B",1.10349190098689
"ZH42","375","Rotenone","A",0.999591265461388
"ZH42","375","Rotenone","B",1.03632320019332
"ZH42","Ore","Control","A",1.11724672394169
"ZH42","Ore","Control","B",1.36529116838615
"ZH42","Ore","Rotenone","A",1.15866072933086
"ZH42","Ore","Rotenone","B",1.1018103796805
"ZW09","375","Control","A",1.18303982112661
"ZW09","375","Control","B",1.28791380572044
"ZW09","375","Rotenone","A",1.19098570489136
"ZW09","375","Rotenone","B",1.17772029135752
"ZW09","Ore","Control","A",1.20376183203624
"ZW09","Ore","Control","B",1.17146369522722
"ZW09","Ore","Rotenone","A",1.25790590691156
"ZW09","Ore","Rotenone","B",1.26291972810497
"ZW133","375","Control","A",0.983611773219907
"ZW133","375","Control","B",1.02096633544819
"ZW133","375","Rotenone","A",1.0196572669543
"ZW133","375","Rotenone","B",1.00412796085063
"ZW133","Ore","Control","A",1.17624493517663
"ZW133","Ore","Control","B",1.24246008157822
"ZW133","Ore","Rotenone","A",1.09273271022405
"ZW133","Ore","Rotenone","B",1.16788096873265
"ZW140","375","Control","A",1.11991797238711
