"Mito","Nuc","Treatment","Build","Y_avg","mitoOrig"
"Bei04","375","Control","A",0.702644059095978,"Beijing"
"Bei04","375","Control","B",0.676556147008062,"Beijing"
"Bei04","375","Rotenone","A",0.750263804991203,"Beijing"
"Bei04","375","Rotenone","B",0.75450636243377,"Beijing"
"Bei04","Ore","Control","A",0.779891922343842,"Beijing"
"Bei04","Ore","Control","B",0.786750069983239,"Beijing"
"Bei04","Ore","Rotenone","A",0.875393231120631,"Beijing"
"Bei04","Ore","Rotenone","B",0.830220906223306,"Beijing"
"Bei05","375","Control","A",0.765789525203945,"Beijing"
"Bei05","375","Control","B",0.74879685121127,"Beijing"
"Bei05","375","Rotenone","A",0.757382084859489,"Beijing"
"Bei05","375","Rotenone","B",0.744345454822859,"Beijing"
"Bei05","Ore","Control","A",0.736597217511637,"Beijing"
"Bei05","Ore","Control","B",0.731511747426168,"Beijing"
"Bei05","Ore","Rotenone","A",0.761054246031651,"Beijing"
"Bei05","Ore","Rotenone","B",0.776136663614066,"Beijing"
"Bei11","375","Control","A",0.641975924502956,"Beijing"
"Bei11","375","Control","B",0.655198328355727,"Beijing"
"Bei11","375","Rotenone","A",0.765323252116725,"Beijing"
"Bei11","375","Rotenone","B",0.702237832685794,"Beijing"
"Bei11","Ore","Control","A",0.701069800369095,"Beijing"
"Bei11","Ore","Control","B",0.784022960966666,"Beijing"
"Bei11","Ore","Rotenone","A",0.824664298292771,"Beijing"
"Bei11","Ore","Rotenone","B",0.803450189558368,"Beijing"
"Bei12","375","Control","A",0.823527312416728,"Beijing"
"Bei12","375","Control","B",0.851548069437489,"Beijing"
"Bei12","375","Rotenone","A",0.806863046952952,"Beijing"
"Bei12","375","Rotenone","B",0.820709200799112,"Beijing"
"Bei12","Ore","Control","A",0.789672001061417,"Beijing"
"Bei12","Ore","Control","B",0.753936958326375,"Beijing"
"Bei12","Ore","Rotenone","A",0.779576722166635,"Beijing"
"Bei12","Ore","Rotenone","B",0.809617625707532,"Beijing"
"Bei23","375","Control","A",0.52037799784755,"Beijing"
"Bei23","375","Control","B",0.566990518831917,"Beijing"
"Bei23","375","Rotenone","A",0.717069876252821,"Beijing"
"Bei23","375","Rotenone","B",0.789167613018977,"Beijing"
"Bei23","Ore","Control","A",0.681003409883073,"Beijing"
"Bei23","Ore","Control","B",0.612207310811867,"Beijing"
"Bei23","Ore","Rotenone","A",0.770360156878632,"Beijing"
"Bei23","Ore","Rotenone","B",0.764486170106888,"Beijing"
"Bei38","375","Control","A",0.727746878961298,"Beijing"
"Bei38","375","Control","B",0.76212869714311,"Beijing"
"Bei38","375","Rotenone","A",0.733463344340749,"Beijing"
"Bei38","375","Rotenone","B",0.758790617068026,"Beijing"
"Bei38","Ore","Control","A",0.71254283855725,"Beijing"
"Bei38","Ore","Control","B",0.710669878184293,"Beijing"
"Bei38","Ore","Rotenone","A",0.835184556461964,"Beijing"
"Bei38","Ore","Rotenone","B",0.806113849391261,"Beijing"
"Bei42","375","Control","A",0.66926426712868,"Beijing"
"Bei42","375","Control","B",0.673830933795349,"Beijing"
"Bei42","375","Rotenone","A",0.699175644061829,"Beijing"
"Bei42","375","Rotenone","B",0.703300377463951,"Beijing"
"Bei42","Ore","Control","A",0.829563286736524,"Beijing"
"Bei42","Ore","Control","B",0.739215656017564,"Beijing"
"Bei42","Ore","Rotenone","A",0.854642310728487,"Beijing"
"Bei42","Ore","Rotenone","B",0.760632209718393,"Beijing"
"Bei52","375","Control","A",0.825713286736527,"Beijing"
"Bei52","375","Control","B",0.683891460111136,"Beijing"
"Bei52","375","Rotenone","A",0.692310997597176,"Beijing"
"Bei52","375","Rotenone","B",0.713298876385051,"Beijing"
"Bei52","Ore","Control","A",0.809226388340804,"Beijing"
"Bei52","Ore","Control","B",0.83925236236678,"Beijing"
"Bei52","Ore","Rotenone","A",0.83952096569925,"Beijing"
"Bei52","Ore","Rotenone","B",0.784181452142636,"Beijing"
"Bei54","375","Control","A",0.871442262068683,"Beijing"
"Bei54","375","Control","B",0.827659582330126,"Beijing"
"Bei54","375","Rotenone","B",0.280907555140843,"Beijing"
"Bei54","Ore","Control","A",0.765935317624241,"Beijing"
"Bei54","Ore","Control","B",0.830474133413715,"Beijing"
"Bei54","Ore","Rotenone","A",0.390907555140842,"Beijing"
"Bei59","375","Control","A",0.618838819301226,"Beijing"
"Bei59","375","Control","B",0.631267414072469,"Beijing"
"Bei59","375","Rotenone","A",0.63965568533882,"Beijing"
"Bei59","375","Rotenone","B",0.525256188417613,"Beijing"
"Bei59","Ore","Control","A",0.732108370384817,"Beijing"
"Bei59","Ore","Control","B",0.720384719591169,"Beijing"
"Bei59","Ore","Rotenone","A",0.798912368713928,"Beijing"
"Bei59","Ore","Rotenone","B",0.729963580075661,"Beijing"
"ZH23","375","Control","A",0.714613545627959,"Zimbabwe"
"ZH23","375","Control","B",0.698336544850958,"Zimbabwe"
"ZH23","375","Rotenone","A",0.641016724294131,"Zimbabwe"
"ZH23","375","Rotenone","B",0.732665075942484,"Zimbabwe"
"ZH23","Ore","Control","A",0.735785262799682,"Zimbabwe"
"ZH23","Ore","Control","B",0.746161331175747,"Zimbabwe"
"ZH23","Ore","Rotenone","A",0.762643097920506,"Zimbabwe"
"ZH23","Ore","Rotenone","B",0.773893647371046,"Zimbabwe"
"ZH26","375","Control","A",0.815062862514778,"Zimbabwe"
"ZH26","375","Control","B",0.841997416849334,"Zimbabwe"
"ZH26","375","Rotenone","A",0.85348358521099,"Zimbabwe"
"ZH26","375","Rotenone","B",0.929408045935452,"Zimbabwe"
"ZH26","Ore","Control","A",0.828674151688568,"Zimbabwe"
"ZH26","Ore","Control","B",0.779937099389014,"Zimbabwe"
"ZH26","Ore","Rotenone","A",0.708422707200114,"Zimbabwe"
"ZH26","Ore","Rotenone","B",0.940341643819037,"Zimbabwe"
"ZH33","375","Control","A",0.566071521338183,"Zimbabwe"
"ZH33","375","Control","B",0.584712974972269,"Zimbabwe"
"ZH33","375","Rotenone","A",0.698516068471338,"Zimbabwe"
"ZH33","375","Rotenone","B",0.679406808065418,"Zimbabwe"
"ZH33","Ore","Control","A",0.658976425264665,"Zimbabwe"
"ZH33","Ore","Control","B",0.680527652843416,"Zimbabwe"
"ZH33","Ore","Rotenone","A",0.765553577931259,"Zimbabwe"
"ZH33","Ore","Rotenone","B",0.669691823545292,"Zimbabwe"
"ZH42","375","Control","A",0.699794575708993,"Zimbabwe"
"ZH42","375","Control","B",0.701332260246677,"Zimbabwe"
"ZH42","375","Rotenone","A",0.653191608669016,"Zimbabwe"
"ZH42","375","Rotenone","B",0.658001376678786,"Zimbabwe"
"ZH42","Ore","Control","A",0.618315451129876,"Zimbabwe"
"ZH42","Ore","Control","B",0.804233969648384,"Zimbabwe"
"ZH42","Ore","Rotenone","A",0.698623843101254,"Zimbabwe"
"ZH42","Ore","Rotenone","B",0.769085381562785,"Zimbabwe"
"ZW09","375","Control","A",0.711761134296599,"Zimbabwe"
"ZW09","375","Control","B",0.722954618005873,"Zimbabwe"
"ZW09","375","Rotenone","A",0.786204402231751,"Zimbabwe"
"ZW09","375","Rotenone","B",0.734929892427834,"Zimbabwe"
"ZW09","Ore","Control","A",0.809574316148287,"Zimbabwe"
"ZW09","Ore","Control","B",0.768722168552657,"Zimbabwe"
"ZW09","Ore","Rotenone","A",0.77984217312959,"Zimbabwe"
"ZW09","Ore","Rotenone","B",0.803091582302434,"Zimbabwe"
"ZW133","375","Control","A",0.614604631770429,"Zimbabwe"
"ZW133","375","Control","B",0.6138682318645,"Zimbabwe"
"ZW133","375","Rotenone","A",0.654722445524364,"Zimbabwe"
"ZW133","375","Rotenone","B",0.691587876176873,"Zimbabwe"
"ZW133","Ore","Control","A",0.633612761386831,"Zimbabwe"
"ZW133","Ore","Control","B",0.685803962121514,"Zimbabwe"
"ZW133","Ore","Rotenone","A",0.736419463238334,"Zimbabwe"
"ZW133","Ore","Rotenone","B",0.823283753369857,"Zimbabwe"
"ZW140","375","Control","A",0.684599981414399,"Zimbabwe"
"ZW140","375","Control","B",0.753880933795359,"Zimbabwe"
"ZW140","375","Rotenone","A",0.820086755172935,"Zimbabwe"
"ZW140","375","Rotenone","B",0.809455176225568,"Zimbabwe"
"ZW140","Ore","Control","A",0.786783272976639,"Zimbabwe"
"ZW140","Ore","Control","B",0.806996723269036,"Zimbabwe"
"ZW140","Ore","Rotenone","A",0.77830580279198,"Zimbabwe"
"ZW140","Ore","Rotenone","B",0.81133675517293,"Zimbabwe"
"ZW142","375","Control","A",0.68896688775668,"Zimbabwe"
"ZW142","375","Control","B",0.51308732217606,"Zimbabwe"
"ZW142","375","Rotenone","A",0.716702681096185,"Zimbabwe"
"ZW142","375","Rotenone","B",0.672101692977554,"Zimbabwe"
"ZW142","Ore","Control","A",0.718124285417496,"Zimbabwe"
"ZW142","Ore","Control","B",0.761068664502464,"Zimbabwe"
"ZW142","Ore","Rotenone","A",0.721076445572737,"Zimbabwe"
"ZW142","Ore","Rotenone","B",0.629265436415055,"Zimbabwe"
"ZW144","375","Control","A",0.68655053942568,"Zimbabwe"
"ZW144","375","Control","B",1.19839781762424,"Zimbabwe"
"ZW144","375","Rotenone","A",0.760981557170805,"Zimbabwe"
"ZW144","Ore","Control","A",0.509314484290909,"Zimbabwe"
"ZW144","Ore","Control","B",0.822054835168098,"Zimbabwe"
"ZW144","Ore","Rotenone","A",0.553731084552613,"Zimbabwe"
"ZW144","Ore","Rotenone","B",0.380990888474173,"Zimbabwe"
"Zim53","375","Control","A",0.791487019376437,"Zimbabwe"
"Zim53","375","Control","B",0.685877129266547,"Zimbabwe"
"Zim53","375","Rotenone","A",0.787170739260653,"Zimbabwe"
"Zim53","375","Rotenone","B",0.737500409590318,"Zimbabwe"
"Zim53","Ore","Control","A",0.737048069437488,"Zimbabwe"
"Zim53","Ore","Control","B",0.820808753198172,"Zimbabwe"
"Zim53","Ore","Rotenone","A",0.782712863802781,"Zimbabwe"
"Zim53","Ore","Rotenone","B",0.865886245976158,"Zimbabwe"
"siI","375","Control","A",0.687122594599501,"D.simulans"
"siI","375","Control","B",0.673508571681144,"D.simulans"
"siI","375","Rotenone","A",0.703737169274442,"D.simulans"
"siI","375","Rotenone","B",0.69308176731951,"D.simulans"
"siI","Ore","Control","A",0.77269899168442,"D.simulans"
"siI","Ore","Control","B",0.737956475908628,"D.simulans"
"siI","Ore","Rotenone","A",0.802961311427573,"D.simulans"
"siI","Ore","Rotenone","B",0.824000490737906,"D.simulans"
"yak","375","Control","A",0.698617548735052,"D.yakuba"
"yak","375","Control","B",0.650269839980275,"D.yakuba"
"yak","375","Rotenone","A",0.713755896993318,"D.yakuba"
"yak","375","Rotenone","B",0.833746545234595,"D.yakuba"
"yak","Ore","Control","A",0.817474853685767,"D.yakuba"
"yak","Ore","Control","B",0.791277843008592,"D.yakuba"
"yak","Ore","Rotenone","A",0.852094905720647,"D.yakuba"
"yak","Ore","Rotenone","B",0.862921836857502,"D.yakuba"
