"Mito","Nuc","Treatment","Build","Y_avg"
"Bei04","375","Control","A",0.702644059095978
"Bei04","375","Control","B",0.676556147008062
"Bei04","375","Rotenone","A",0.750263804991203
"Bei04","375","Rotenone","B",0.75450636243377
"Bei04","Ore","Control","A",0.779891922343842
"Bei04","Ore","Control","B",0.786750069983239
"Bei04","Ore","Rotenone","A",0.875393231120631
"Bei04","Ore","Rotenone","B",0.830220906223306
"Bei05","375","Control","A",0.765789525203945
"Bei05","375","Control","B",0.74879685121127
"Bei05","375","Rotenone","A",0.757382084859489
"Bei05","375","Rotenone","B",0.744345454822859
"Bei05","Ore","Control","A",0.736597217511637
"Bei05","Ore","Control","B",0.731511747426168
"Bei05","Ore","Rotenone","A",0.761054246031651
"Bei05","Ore","Rotenone","B",0.776136663614066
"Bei11","375","Control","A",0.641975924502956
"Bei11","375","Control","B",0.655198328355727
"Bei11","375","Rotenone","A",0.765323252116725
"Bei11","375","Rotenone","B",0.702237832685794
"Bei11","Ore","Control","A",0.701069800369095
"Bei11","Ore","Control","B",0.784022960966666
"Bei11","Ore","Rotenone","A",0.824664298292771
"Bei11","Ore","Rotenone","B",0.803450189558368
"Bei12","375","Control","A",0.823527312416728
"Bei12","375","Control","B",0.851548069437489
"Bei12","375","Rotenone","A",0.806863046952952
"Bei12","375","Rotenone","B",0.820709200799112
"Bei12","Ore","Control","A",0.789672001061417
"Bei12","Ore","Control","B",0.753936958326375
"Bei12","Ore","Rotenone","A",0.779576722166635
"Bei12","Ore","Rotenone","B",0.809617625707532
"Bei23","375","Control","A",0.52037799784755
"Bei23","375","Control","B",0.566990518831917
"Bei23","375","Rotenone","A",0.717069876252821
"Bei23","375","Rotenone","B",0.789167613018977
"Bei23","Ore","Control","A",0.681003409883073
"Bei23","Ore","Control","B",0.612207310811867
"Bei23","Ore","Rotenone","A",0.770360156878632
"Bei23","Ore","Rotenone","B",0.764486170106888
"Bei38","375","Control","A",0.727746878961298
"Bei38","375","Control","B",0.76212869714311
"Bei38","375","Rotenone","A",0.733463344340749
"Bei38","375","Rotenone","B",0.758790617068026
"Bei38","Ore","Control","A",0.71254283855725
"Bei38","Ore","Control","B",0.710669878184293
"Bei38","Ore","Rotenone","A",0.835184556461964
"Bei38","Ore","Rotenone","B",0.806113849391261
"Bei42","375","Control","A",0.66926426712868
"Bei42","375","Control","B",0.673830933795349
"Bei42","375","Rotenone","A",0.699175644061829
"Bei42","375","Rotenone","B",0.703300377463951
"Bei42","Ore","Control","A",0.829563286736524
"Bei42","Ore","Control","B",0.739215656017564
"Bei42","Ore","Rotenone","A",0.854642310728487
"Bei42","Ore","Rotenone","B",0.760632209718393
"Bei52","375","Control","A",0.825713286736527
"Bei52","375","Control","B",0.683891460111136
"Bei52","375","Rotenone","A",0.692310997597176
"Bei52","375","Rotenone","B",0.713298876385051
"Bei52","Ore","Control","A",0.809226388340804
"Bei52","Ore","Control","B",0.83925236236678
"Bei52","Ore","Rotenone","A",0.83952096569925
"Bei52","Ore","Rotenone","B",0.784181452142636
"Bei54","375","Control","A",0.871442262068683
"Bei54","375","Control","B",0.827659582330126
"Bei54","375","Rotenone","B",0.280907555140843
"Bei54","Ore","Control","A",0.765935317624241
"Bei54","Ore","Control","B",0.830474133413715
"Bei54","Ore","Rotenone","A",0.390907555140842
"Bei59","375","Control","A",0.618838819301226
"Bei59","375","Control","B",0.631267414072469
"Bei59","375","Rotenone","A",0.63965568533882
"Bei59","375","Rotenone","B",0.525256188417613
"Bei59","Ore","Control","A",0.732108370384817
"Bei59","Ore","Control","B",0.720384719591169
"Bei59","Ore","Rotenone","A",0.798912368713928
"Bei59","Ore","Rotenone","B",0.729963580075661
"ZH23","375","Control","A",0.714613545627959
"ZH23","375","Control","B",0.698336544850958
"ZH23","375","Rotenone","A",0.641016724294131
"ZH23","375","Rotenone","B",0.732665075942484
"ZH23","Ore","Control","A",0.735785262799682
"ZH23","Ore","Control","B",0.746161331175747
"ZH23","Ore","Rotenone","A",0.762643097920506
"ZH23","Ore","Rotenone","B",0.773893647371046
"ZH26","375","Control","A",0.815062862514778
"ZH26","375","Control","B",0.841997416849334
"ZH26","375","Rotenone","A",0.85348358521099
"ZH26","375","Rotenone","B",0.929408045935452
"ZH26","Ore","Control","A",0.828674151688568
"ZH26","Ore","Control","B",0.779937099389014
"ZH26","Ore","Rotenone","A",0.708422707200114
"ZH26","Ore","Rotenone","B",0.940341643819037
"ZH33","375","Control","A",0.566071521338183
"ZH33","375","Control","B",0.584712974972269
"ZH33","375","Rotenone","A",0.698516068471338
"ZH33","375","Rotenone","B",0.679406808065418
"ZH33","Ore","Control","A",0.658976425264665
"ZH33","Ore","Control","B",0.680527652843416
"ZH33","Ore","Rotenone","A",0.765553577931259
"ZH33","Ore","Rotenone","B",0.669691823545292
"ZH42","375","Control","A",0.699794575708993
"ZH42","375","Control","B",0.701332260246677
"ZH42","375","Rotenone","A",0.653191608669016
"ZH42","375","Rotenone","B",0.658001376678786
"ZH42","Ore","Control","A",0.618315451129876
"ZH42","Ore","Control","B",0.804233969648384
"ZH42","Ore","Rotenone","A",0.698623843101254
"ZH42","Ore","Rotenone","B",0.769085381562785
"ZW09","375","Control","A",0.711761134296599
"ZW09","375","Control","B",0.722954618005873
"ZW09","375","Rotenone","A",0.786204402231751
"ZW09","375","Rotenone","B",0.734929892427834
"ZW09","Ore","Control","A",0.809574316148287
"ZW09","Ore","Control","B",0.768722168552657
"ZW09","Ore","Rotenone","A",0.77984217312959
"ZW09","Ore","Rotenone","B",0.803091582302434
"ZW133","375","Control","A",0.614604631770429
"ZW133","375","Control","B",0.6138682318645
"ZW133","375","Rotenone","A",0.654722445524364
"ZW133","375","Rotenone","B",0.691587876176873
"ZW133","Ore","Control","A",0.633612761386831
"ZW133","Ore","Control","B",0.685803962121514
"ZW133","Ore","Rotenone","A",0.736419463238334
"ZW133","Ore","Rotenone","B",0.823283753369857
"ZW140","375","Control","A",0.684599981414399
"ZW140","375","Control","B",0.753880933795359
"ZW140","375","Rotenone","A",0.820086755172935
"ZW140","375","Rotenone","B",0.809455176225568
"ZW140","Ore","Control","A",0.786783272976639
"ZW140","Ore","Control","B",0.806996723269036
"ZW140","Ore","Rotenone","A",0.77830580279198
"ZW140","Ore","Rotenone","B",0.81133675517293
"ZW142","375","Control","A",0.68896688775668
"ZW142","375","Control","B",0.51308732217606
"ZW142","375","Rotenone","A",0.716702681096185
"ZW142","375","Rotenone","B",0.672101692977554
"ZW142","Ore","Control","A",0.718124285417496
"ZW142","Ore","Control","B",0.761068664502464
"ZW142","Ore","Rotenone","A",0.721076445572737
"ZW142","Ore","Rotenone","B",0.629265436415055
"ZW144","375","Control","A",0.68655053942568
"ZW144","375","Control","B",1.19839781762424
"ZW144","375","Rotenone","A",0.760981557170805
"ZW144","Ore","Control","A",0.509314484290909
"ZW144","Ore","Control","B",0.822054835168098
"ZW144","Ore","Rotenone","A",0.553731084552613
"ZW144","Ore","Rotenone","B",0.380990888474173
"Zim53","375","Control","A",0.791487019376437
"Zim53","375","Control","B",0.685877129266547
"Zim53","375","Rotenone","A",0.787170739260653
"Zim53","375","Rotenone","B",0.737500409590318
"Zim53","Ore","Control","A",0.737048069437488
"Zim53","Ore","Control","B",0.820808753198172
"Zim53","Ore","Rotenone","A",0.782712863802781
"Zim53","Ore","Rotenone","B",0.865886245976158
"siI","375","Control","A",0.687122594599501
"siI","375","Control","B",0.673508571681144
"siI","375","Rotenone","A",0.703737169274442
"siI","375","Rotenone","B",0.69308176731951
"siI","Ore","Control","A",0.77269899168442
"siI","Ore","Control","B",0.737956475908628
"siI","Ore","Rotenone","A",0.802961311427573
"siI","Ore","Rotenone","B",0.824000490737906
"yak","375","Control","A",0.698617548735052
"yak","375","Control","B",0.650269839980275
"yak","375","Rotenone","A",0.713755896993318
"yak","375","Rotenone","B",0.833746545234595
"yak","Ore","Control","A",0.817474853685767
"yak","Ore","Control","B",0.791277843008592
"yak","Ore","Rotenone","A",0.852094905720647
"yak","Ore","Rotenone","B",0.862921836857502
