"Treatment","Mito","emmean","SE","df","asymp.LCL","asymp.UCL"
"Control","Bei04",2.64365241007554,0.141318032781137,Inf,2.36667415545846,2.92063066469262
"Rotenone","Bei04",2.65642614000681,0.141318032781199,Inf,2.37944788538961,2.93340439462401
"Control","Bei05",2.47604864267676,0.144661726807699,Inf,2.1925168681923,2.75958041716122
"Rotenone","Bei05",2.1540851223101,0.144661726807699,Inf,1.87055334782564,2.43761689679456
"Control","Bei11",2.33491530934346,0.13256128294778,Inf,2.07509996902139,2.59473064966553
"Rotenone","Bei11",1.99781621605315,0.131731727001481,Inf,1.73962677550898,2.25600565659731
"Control","Bei12",2.0810455871212,0.144661726807699,Inf,1.79751381263674,2.36457736160566
"Rotenone","Bei12",2.2309050297175,0.144661726807699,Inf,1.94737325523304,2.51443680420196
"Control","Bei23",2.52461739267679,0.13256128294778,Inf,2.26480205235472,2.78443273299886
"Rotenone","Bei23",1.92431208990272,0.132561282947779,Inf,1.66449674958065,2.18412743022479
"Control","Bei38",3.0395643834175,0.144661726807699,Inf,2.75603260893303,3.32309615790196
"Rotenone","Bei38",2.33235456675455,0.144661726807699,Inf,2.04882279227008,2.61588634123901
"Control","Bei42",2.98669395559413,0.14133740630881,Inf,2.70967772956056,3.26371018162771
"Rotenone","Bei42",2.6878089649027,0.144661726807699,Inf,2.40427719041824,2.97134073938716
"Control","Bei52",2.6530430871212,0.144661726807699,Inf,2.36951131263673,2.93657486160566
"Rotenone","Bei52",2.16955202045825,0.144661726807699,Inf,1.88602024597378,2.45308379494271
"Control","Bei54",2.66291530934343,0.144661726807699,Inf,2.37938353485897,2.94644708382789
"Rotenone","Bei54",2.28880456675455,0.144661726807699,Inf,2.00527279227008,2.57233634123901
"Control","Bei59",2.28976669823234,0.13256128294778,Inf,2.02995135791027,2.54958203855441
"Rotenone","Bei59",1.90209322416198,0.132561282947779,Inf,1.64227788383991,2.16190856448405
"Control","siI",2.54411351422454,0.124896563861395,Inf,2.2993207472634,2.78890628118568
"Rotenone","siI",2.31159698704246,0.124293594049377,Inf,2.06798601919664,2.55520795488829
"Control","yak",2.41420327500512,0.124291944115693,Inf,2.1705955409699,2.65781100904034
"Rotenone","yak",2.24673806271265,0.124291944115695,Inf,2.00313032867742,2.49034579674788
"Control","ZH23",2.90606993897304,0.144661726807699,Inf,2.62253816448858,3.1896017134575
"Rotenone","ZH23",2.26913651119898,0.144661726807699,Inf,1.98560473671452,2.55266828568345
"Control","ZH26",2.25672902772827,0.14133740630881,Inf,1.9797128016947,2.53374525376184
"Rotenone","ZH26",2.44975248342122,0.144661726807699,Inf,2.16622070893676,2.73328425790568
"Control","ZH33",2.57141530934346,0.132561282947779,Inf,2.31159996902139,2.83123064966553
"Rotenone","ZH33",2.08882945101383,0.132561282947779,Inf,1.82901411069176,2.3486447913359
"Control","ZH42",2.43226808712122,0.144661726807699,Inf,2.14873631263676,2.71579986160568
"Rotenone","ZH42",2.47328790008788,0.144661726807699,Inf,2.18975612560342,2.75681967457235
"Control","Zim53",2.55325392045453,0.144661726807699,Inf,2.26972214597007,2.83678569493899
"Rotenone","Zim53",2.46091891860639,0.144661726807699,Inf,2.17738714412192,2.74445069309085
"Control","ZW09",2.67299195215662,0.140299627821137,Inf,2.39800973458282,2.94797416973042
"Rotenone","ZW09",2.5300022568085,0.139707798215311,Inf,2.2561800039471,2.8038245096699
"Control","ZW133",2.58178863859428,0.130966589485882,Inf,2.32509884002391,2.83847843716465
"Rotenone","ZW133",1.76039521233005,0.131434860562256,Inf,1.50278761931498,2.01800280534511
"Control","ZW140",2.73606530934344,0.144661726807699,Inf,2.45253353485898,3.01959708382791
"Rotenone","ZW140",2.55827979823603,0.144661726807699,Inf,2.27474802375157,2.8418115727205
"Control","ZW142",2.58559378156568,0.13256128294778,Inf,2.32577844124361,2.84540912188775
"Rotenone","ZW142",2.2074184292437,0.131436831355093,Inf,1.94980697354565,2.46502988494174
"Control","ZW144",3.00155216473744,0.139947314275736,Inf,2.72726046902389,3.27584386045099
"Rotenone","ZW144",2.16014563474832,0.139947314275737,Inf,1.88585393903477,2.43443733046188
