"Treatment","Mito","emmean","SE","df","asymp.LCL","asymp.UCL"
"Control","Bei04",3.30486085649804,0.175831317095655,Inf,2.96023780763631,3.64948390535976
"Rotenone","Bei04",3.07010028954973,0.175831317095637,Inf,2.72547724068804,3.41472333841141
"Control","Bei05",3.09966917145242,0.17949328918339,Inf,2.74786878918634,3.4514695537185
"Rotenone","Bei05",2.76093415850183,0.17949328918339,Inf,2.40913377623576,3.11273454076791
"Control","Bei11",3.00781303719322,0.166466547661403,Inf,2.68154459914615,3.33408147524029
"Rotenone","Bei11",2.56880522331671,0.166466547661403,Inf,2.24253678526965,2.89507366136378
"Control","Bei12",3.20872991219315,0.17949328918339,Inf,2.85692952992708,3.56053029445923
"Rotenone","Bei12",3.0787221214648,0.17949328918339,Inf,2.72692173919873,3.43052250373088
"Control","Bei23",3.01970053719318,0.166466547661403,Inf,2.69343209914611,3.34596897524025
"Rotenone","Bei23",2.48135869553891,0.166466547661403,Inf,2.15509025749184,2.80762713358598
"Control","Bei38",2.95322138880136,0.17949328918339,Inf,2.60142100653528,3.30502177106743
"Rotenone","Bei38",2.87246193627962,0.17949328918339,Inf,2.52066155401355,3.2242623185457
"Control","Bei42",2.87251616219315,0.17949328918339,Inf,2.52071577992707,3.22431654445923
"Rotenone","Bei42",2.75960105664999,0.17949328918339,Inf,2.40780067438391,3.11140143891606
"Control","Bei52",3.19954393997093,0.17949328918339,Inf,2.84774355770486,3.55134432223701
"Rotenone","Bei52",3.01075522331666,0.17949328918339,Inf,2.65895484105058,3.36255560558274
"Control","Bei54",3.13977935663762,0.17949328918339,Inf,2.78797897437154,3.49157973890369
"Rotenone","Bei54",2.83083146027868,0.182259221745899,Inf,2.47360994980642,3.18805297075094
"Control","Bei59",3.0926474121932,0.166466547661403,Inf,2.76637897414613,3.41891585024027
"Rotenone","Bei59",2.42433114924263,0.166466547661403,Inf,2.09806271119556,2.7505995872897
"Control","siI",3.07169771860773,0.157770249467656,Inf,2.76247371181922,3.38092172539623
"Rotenone","siI",2.77190482590044,0.157621620064232,Inf,2.46297212738969,3.08083752441119
"Control","yak",2.90540803701587,0.157578346096493,Inf,2.59656015392335,3.21425592010838
"Rotenone","yak",2.86950642489463,0.157620666909824,Inf,2.56057559453219,3.17843725525707
"Control","ZH23",2.92891861102357,0.17949328918339,Inf,2.57711822875749,3.28071899328965
"Rotenone","ZH23",2.68477304739072,0.17949328918339,Inf,2.33297266512465,3.0365734296568
"Control","ZH26",3.14795673057535,0.175952393804157,Inf,2.80309637572559,3.4928170854251
"Rotenone","ZH26",3.16706217850437,0.175207539919534,Inf,2.82366171044222,3.51046264656652
"Control","ZH33",2.9971956760821,0.166466547661403,Inf,2.67092723803503,3.32346411412918
"Rotenone","ZH33",2.49090869553893,0.166466547661403,Inf,2.16464025749186,2.817177133586
"Control","ZH42",2.83164417145242,0.17949328918339,Inf,2.47984378918634,3.1834445537185
"Rotenone","ZH42",2.84195776961295,0.17949328918339,Inf,2.49015738734687,3.19375815187902
"Control","Zim53",3.0624882455265,0.17949328918339,Inf,2.71068786326042,3.41428862779258
"Rotenone","Zim53",3.12689434368704,0.17949328918339,Inf,2.77509396142096,3.47869472595311
"Control","ZW09",2.81945255343788,0.175182802938285,Inf,2.47610056896807,3.1628045379077
"Rotenone","ZW09",2.82564149802805,0.173986593448014,Inf,2.48463404107712,3.16664895497897
"Control","ZW133",3.18858182652112,0.164754586127258,Inf,2.86566877142389,3.51149488161835
"Rotenone","ZW133",2.37215619121806,0.165246242808186,Inf,2.04827950673345,2.69603287570267
"Control","ZW140",3.18522866219316,0.17949328918339,Inf,2.83342827992708,3.53702904445923
"Rotenone","ZW140",2.73659133442777,0.17949328918339,Inf,2.38479095216169,3.08839171669384
"Control","ZW142",3.11528213441542,0.166466547661403,Inf,2.78901369636835,3.44155057246249
"Rotenone","ZW142",2.34685684368706,0.166466547661403,Inf,2.02058840563999,2.67312528173413
"Control","ZW144",3.28496824907056,0.174289222880392,Inf,2.94336764933152,3.62656884880961
"Rotenone","ZW144",2.54899283940335,0.173968262485007,Inf,2.20802131047972,2.88996436832697
