"Nuc","Mito","emmean","SE","df","lower.CL","upper.CL"
"375","Bei04",0.72099259338228,0.0304449610027674,108.70253152553,0.660649817074287,0.781335369690274
"Ore","Bei04",0.814871184312923,0.0249600316993336,40.7614842121002,0.764454418390619,0.865287950235228
"375","Bei05",0.75407847902439,0.0304449610027673,108.702531525473,0.693735702716397,0.814421255332384
"Ore","Bei05",0.751324968645881,0.0304449610027673,108.702531525473,0.690982192337887,0.811667744953874
"375","Bei11",0.6911838344153,0.0235825653879304,40.7614842120959,0.643549412579111,0.73881825625149
"Ore","Bei11",0.778301812296725,0.0235825653879304,40.7614842120956,0.730667390460535,0.825936234132915
"375","Bei12",0.82566190740157,0.0304449610027672,108.702531525475,0.765319131093576,0.886004683709563
"Ore","Bei12",0.78320082681549,0.0304449610027673,108.702531525474,0.722858050507496,0.843543603123484
"375","Bei23",0.649696293737382,0.0242322154099411,45.0840614402156,0.600892618134103,0.698499969340661
"Ore","Bei23",0.707014261920115,0.0235825653879304,40.761484212096,0.659379840083925,0.754648683756305
"375","Bei38",0.745532384378296,0.0304449610027672,108.702531525474,0.685189608070302,0.805875160686289
"Ore","Bei38",0.766127780648692,0.0304449610027672,108.702531525474,0.705785004340699,0.826470556956686
"375","Bei42",0.686392805612453,0.0372873098478561,216.867251359981,0.61290089506597,0.759884716158935
"Ore","Bei42",0.796013365800242,0.037287309847856,216.867251359985,0.72252145525376,0.869505276346724
"375","Bei52",0.728803655207472,0.0372873098478561,216.867251359981,0.65531174466099,0.802295565753955
"Ore","Bei52",0.818045292137368,0.0372873098478561,216.867251359985,0.744553381590885,0.89153720268385
"375","Bei54",0.568877795315004,0.0608968641226461,539.958716755796,0.449253998185697,0.688501592444311
"Ore","Bei54",0.59455614032991,0.0589806079183693,481.898073906956,0.478665207113758,0.710447073546062
"375","Bei59",0.599668830463917,0.0259914428043755,59.091869806514,0.547661765303097,0.651675895624738
"Ore","Bei59",0.745342259691394,0.0272308009498071,71.4925304219913,0.691052066270214,0.799632453112575
"375","siI",0.691813216593334,0.0150828525302773,4.05950211688162,0.65017747077808,0.733448962408587
"Ore","siI",0.78598385046998,0.0149973347986793,3.84058243883051,0.743653992061624,0.828313708878337
"375","yak",0.71693316378716,0.0144356890591073,3.30216607738724,0.673281371293081,0.760584956281239
"Ore","yak",0.8326686739269,0.0148982020188756,4.5274702547461,0.793137601163079,0.872199746690721
"375","ZH23",0.696657972678883,0.0304449610027672,108.702531525474,0.63631519637089,0.757000748986877
"Ore","ZH23",0.754620834816745,0.0304449610027672,108.702531525474,0.694278058508752,0.814963611124739
"375","ZH26",0.859987977627638,0.0304449610027672,108.702531525474,0.799645201319645,0.920330753935632
"Ore","ZH26",0.816780753139161,0.031935769679078,126.852890454704,0.753584923336434,0.879976582941888
"375","ZH33",0.632176843211802,0.0235825653879304,40.761484212096,0.584542421375612,0.679811265047992
"Ore","ZH33",0.693687369896158,0.0235825653879304,40.7614842120955,0.646052948059968,0.741321791732348
"375","ZH42",0.678079955325868,0.0304449610027672,108.702531525474,0.617737179017875,0.738422731633862
"Ore","ZH42",0.722564661360575,0.0304449610027673,108.702531525474,0.662221885052581,0.782907437668568
"375","Zim53",0.750508824373489,0.0304449610027672,108.702531525475,0.690166048065495,0.810851600681482
"Ore","Zim53",0.80161398310365,0.0304449610027673,108.702531525474,0.741271206795656,0.861956759411644
"375","ZW09",0.738962511740515,0.0372873098478561,216.867251359985,0.665470601194032,0.812454422286997
"Ore","ZW09",0.788121062020886,0.024475645106223,25.5578774095292,0.73776826100323,0.838473863038543
"375","ZW133",0.641599627895041,0.0211736699125982,24.2443517424313,0.597922616973162,0.685276638816921
"Ore","ZW133",0.722192881977232,0.0256261550714736,56.1561183236648,0.670860673863251,0.773525090091213
"375","ZW140",0.761232298953652,0.0402814572680471,261.700762881222,0.681915283324766,0.840549314582538
"Ore","ZW140",0.795855638552646,0.0372873098478561,216.867251359981,0.722363728006164,0.869347549099129
"375","ZW142",0.644927084244205,0.025028679478123,49.8730920108762,0.594652332315715,0.695201836172695
"Ore","ZW142",0.704104743364164,0.0259914428043755,59.091869806514,0.652097678203343,0.756111808524984
"375","ZW144",0.809073927998002,0.0431341508085607,191.083619355403,0.723993692450331,0.894154163545673
"Ore","ZW144",0.566522823121448,0.0456674415041508,371.412785669599,0.47672366078662,0.656321985456277
