"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0904349820472061
"F","375","Control",0.0884083313915065
"F","375","Control",0.0948617033824601
"F","375","Control",0.116237079145343
"F","375","Control",0.0658657161083701
"F","375","Control",0.0883914698404756
"F","375","Control",0.0824940043723884
"F","375","Control",0.0847265349219069
"F","375","Control",0.0789843985974447
"F","375","Control",0.0587885541503513
"F","375","Control",0.0813947748930658
"F","375","Control",0.095019059982564
"F","375","Control",0.10063043702306
"F","375","Control",0.0892237049822969
"F","375","Control",0.0952451108169153
"F","375","Control",0.0837525067041643
"F","375","Control",0.0858756891859728
"F","375","Control",0.0747162060414546
"F","375","Control",0.0801789931319542
"F","375","Control",0.0807371548057403
"F","375","Control",0.068042619245799
"F","375","Control",0.108038399657191
"F","375","Control",0.0967515122177274
"F","375","Control",0.0861706224343573
"F","375","Control",0.105868061688042
"F","375","Control",0.112382139759699
"F","375","Control",0.0954156289559508
"F","375","Control",0.0899126762076269
"F","375","Control",0.0626131369706045
"F","375","Control",0.0912973298857317
"F","375","Control",0.0955546200362373
"F","375","Control",0.0969397985304252
"F","375","Control",0.0847461089541244
"F","375","Control",0.0766484529228985
"F","375","Control",0.0876230177497405
"F","375","Control",0.0955145281648837
"F","375","Control",0.118233900573317
"F","375","Control",0.102255244310042
"F","375","Control",0.0818534584174641
"F","375","Control",0.0823978121040476
"F","375","Control",0.0964928713015446
"F","375","Control",0.0761254149283529
"F","375","Control",0.0719132544619746
"F","375","Control",0.0829125601616823
"F","375","Control",0.0750722842939578
"F","375","Control",0.0863765453927563
"F","375","Control",0.104097553121166
"F","375","Control",0.0925775334175577
"F","375","Control",0.0849197565135283
"F","375","Control",0.0887698079131436
"F","375","Control",0.0682497285537363
"F","375","Control",0.107598485921451
"F","375","Control",0.0748241752357332
"F","375","Control",0.09867886464847
"F","375","Control",0.0958061238122724
"F","375","Control",0.0827310712123767
"F","375","Control",0.0966791488577499
"F","375","Control",0.0841743560498312
"F","375","Control",0.0917452958922815
"F","375","Control",0.0778976200962862
"F","375","Control",0.0966182934140074
"F","375","Control",0.101914002079557
"F","375","Control",0.0963602367666647
"F","375","Control",0.109489909665111
"F","375","Control",0.0928196171400465
"F","375","Control",0.0931934849933664
"F","375","Control",0.115002442908964
"F","375","Control",0.076761609868714
"F","375","Control",0.0954023752884478
"F","375","Control",0.0838258942548034
"F","375","Control",0.103397628448021
"F","375","Control",0.0932696950107352
"F","375","Control",0.0872517993547113
"F","375","Control",0.0984081381792158
"F","375","Control",0.0843108399496654
"F","375","Control",0.0780251408421758
"F","375","Control",0.111918223586989
"F","375","Control",0.0834842062754305
"F","375","Control",0.0926338434318312
"F","375","Control",0.103163645710288
"F","375","Control",0.0800125391451109
"F","375","Control",0.101036408739972
"F","375","Control",0.09092633357884
"F","375","Control",0.0810224125253203
"F","375","Control",0.0871241190415796
"F","375","Control",0.107298551187241
"F","375","Control",0.087743982921592
"F","375","Control",0.0901524799307397
"F","375","Control",0.0946355249704007
"F","375","Control",0.0991038046848564
"F","375","Control",0.102579684749669
