"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0400485794596879
"F","375","Control",0.0356452890489793
"F","375","Control",0.0327461276303764
"F","375","Control",0.03784393642844
"F","375","Control",0.0283937510669586
"F","375","Control",0.0461220458037115
"F","375","Control",0.0308018906566263
"F","375","Control",0.0372986302731475
"F","375","Control",0.0401894032495091
"F","375","Control",0.0370440928558229
"F","375","Control",0.0394871941974688
"F","375","Control",0.0296034284801343
"F","375","Control",0.0374093185059282
"F","375","Control",0.0360908928046986
"F","375","Control",0.0349522325662323
"F","375","Control",0.0357245632825017
"F","375","Control",0.0303731450238018
"F","375","Control",0.0329458600515476
"F","375","Control",0.0312045834715456
"F","375","Control",0.0376107529821303
"F","375","Control",0.0376603008125564
"F","375","Control",0.0372494064097217
"F","375","Control",0.0376714933390784
"F","375","Control",0.0381130761757686
"F","375","Control",0.0366231712820569
"F","375","Control",0.0267122781321571
"F","375","Control",0.0341011497612615
"F","375","Control",0.0345385879181135
"F","375","Control",0.0314067054840986
"F","375","Control",0.0408237015085448
"F","375","Control",0.0383765660528218
"F","375","Control",0.0312296501313579
"F","375","Control",0.0317153823853854
"F","375","Control",0.0309177879746066
"F","375","Control",0.0345282706549952
"F","375","Control",0.0310115733253884
"F","375","Control",0.0403105686064902
"F","375","Control",0.031471950494893
"F","375","Control",0.0335846211290217
"F","375","Control",0.0309549988811335
"F","375","Control",0.0270827642113552
"F","375","Control",0.0386836030355255
"F","375","Control",0.0340992168711599
"F","375","Control",0.0333753298360638
"F","375","Control",0.0418096095708375
"F","375","Control",0.0336539681860334
"F","375","Control",0.0378295629224205
"F","375","Control",0.0352156135701258
"F","375","Control",0.0326952118844658
"F","375","Control",0.0364176849133365
"F","375","Control",0.034988635378311
"F","375","Control",0.0300815071428138
"F","375","Control",0.0321117728390039
"F","375","Control",0.0361976673514758
"F","375","Control",0.0341526268380439
"F","375","Control",0.0287845101209043
"F","375","Control",0.0353298878838888
"F","375","Control",0.0400907424053004
"F","375","Control",0.0298218974635473
"F","375","Control",0.0356005083400534
"F","375","Control",0.0331785697608076
"F","375","Control",0.0360822989555351
"F","375","Control",0.0361865182561975
"F","375","Control",0.0282137826761944
"F","375","Control",0.0405496290137595
"F","375","Control",0.0316162230884781
"F","375","Control",0.0351243830891718
"F","375","Control",0.0382058261020428
"F","375","Control",0.0363587588691855
"F","375","Control",0.0375455860874845
"F","375","Control",0.0401947468046541
"F","375","Control",0.0374701839100702
"F","375","Control",0.0272301407946889
"F","375","Control",0.0382105931439801
"F","375","Control",0.0313526422191542
"F","375","Control",0.029604809287229
"F","375","Control",0.0426619782138009
"F","375","Control",0.0253393927401091
"F","375","Control",0.0405122848977731
"F","375","Control",0.0227735746507993
"F","375","Control",0.0385381386593837
"F","375","Control",0.0297385144106745
"F","375","Control",0.0371098708494624
"F","375","Control",0.0367280910625084
"F","375","Control",0.0300321680075919
"F","375","Control",0.0295256324156097
"F","375","Control",0.0405468168315041
"F","375","Control",0.0364581743165889
"F","375","Control",0.0311157097556083
"F","375","Control",0.0367256398666844
"F","375","Control",0.0368111259930832
"F","375","Control",0.0361061753309122
"F","375","Control",0.0369068504670403
"F","375","Control",0.0299856860107817
"F","375","Control",0.035957020745167
"F","375","Control",0.0386207598014578
"F","375","Control",0.032013855615769
"F","375","Control",0.036584069039374
"F","375","Control",0.0349869939398564
"F","375","Control",0.031845390548901
"F","375","Control",0.0356092499474997
"F","375","Control",0.0339380274344278
"F","375","Control",0.036143740259791
"F","375","Control",0.0338302592306031
"F","375","Control",0.0307233590598957
"F","375","Control",0.0381045331779476
"F","375","Control",0.0412620582971972
"F","375","Control",0.035364747054149
"F","375","Control",0.0251061949220018
"F","375","Control",0.0277402217094073
"F","375","Control",0.0352088978706788
"F","375","Control",0.0331346089895152
"F","375","Control",0.0260701333323135
"F","375","Control",0.0346895001340656
"F","375","Control",0.0405666869696426
"F","375","Control",0.030668070124125
"F","375","Control",0.036775529604107
"F","375","Control",0.0362894750117024
"F","375","Control",0.0331493585468918
"F","375","Control",0.0312611742201322
"F","375","Control",0.0403645923136994
"F","375","Control",0.0346844256793961
"F","375","Control",0.0295184293334345
"F","375","Control",0.031892943404514
"F","375","Control",0.0303264345863061
"F","375","Control",0.0333241266248632
"F","375","Control",0.0297073762960056
"F","375","Control",0.0359096654422799
"F","375","Control",0.0358003628768338
"F","375","Control",0.0301924316182852
"F","375","Control",0.0343121925689224
"F","375","Control",0.0335396388742152
"F","375","Control",0.0235691172331294
"F","375","Control",0.0439894362311226
"F","375","Control",0.0305174932192009
"F","375","Control",0.0300665653225008
"F","375","Control",0.0369975863158762
"F","375","Control",0.0330546365698949
"F","375","Control",0.0315551050079364
"F","375","Control",0.0276171744533318
"F","375","Control",0.0349801004596011
"F","375","Control",0.0387254916653196
"F","375","Control",0.0318801848266203
"F","375","Control",0.0421904247491364
"F","375","Control",0.032790880738906
"F","375","Control",0.0344876836556378
"F","375","Control",0.0366706900847527
"F","375","Control",0.0404511057518697
"F","375","Control",0.0384107680422736
"F","375","Control",0.0399284135539748
"F","375","Control",0.0444083238253764
"F","375","Control",0.0383411062011943
"F","375","Control",0.0344127151241241
"F","375","Control",0.0349255627005463
"F","375","Control",0.0367579283643601
"F","375","Control",0.0349291721941671
"F","375","Control",0.0398404202395601
"F","375","Control",0.0344595683495753
"F","375","Control",0.0270320889229695
"F","375","Control",0.0347044861156094
"F","375","Control",0.0266038815696926
"F","375","Control",0.033799352289771
"F","375","Control",0.0295734092432971
"F","375","Control",0.0375222932379777
"F","375","Control",0.0386157121602683
"F","375","Control",0.0345888098873692
"F","375","Control",0.0395442910242917
"F","375","Control",0.0353552170991462
"F","375","Control",0.027825336142758
"F","375","Control",0.0368360814828333
"F","375","Control",0.0392715939910041
"F","375","Control",0.0353161573748704
