"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0916118741251618
"F","375","Control",0.0595065051284015
"F","375","Control",0.0876201954095448
"F","375","Control",0.093166479712324
"F","375","Control",0.0873254677123251
"F","375","Control",0.0838720849135577
"F","375","Control",0.0911959754649325
"F","375","Control",0.0633369214238168
"F","375","Control",0.0633945886408828
"F","375","Control",0.0631502942903825
"F","375","Control",0.0596222816510024
"F","375","Control",0.0686749750290061
"F","375","Control",0.0579735978083956
"F","375","Control",0.0686865904565403
"F","375","Control",0.0727343854431576
"F","375","Control",0.0766165991728834
"F","375","Control",0.0640664649342063
"F","375","Control",0.0934426004013074
"F","375","Control",0.078695392559594
"F","375","Control",0.0720162190448017
"F","375","Control",0.0626545770362066
"F","375","Control",0.0794193528582603
"F","375","Control",0.068361718171184
"F","375","Control",0.0633161470575972
"F","375","Control",0.0785634183135386
"F","375","Control",0.0595763350357662
"F","375","Control",0.0751536109349811
"F","375","Control",0.0807153818513163
"F","375","Control",0.0718057815945021
"F","375","Control",0.0581333860429401
"F","375","Control",0.0771222772103739
"F","375","Control",0.071978457489688
"F","375","Control",0.075808143670097
"F","375","Control",0.0839568494377808
"F","375","Control",0.0643811691964933
"F","375","Control",0.0719555621895133
"F","375","Control",0.0815534515813589
"F","375","Control",0.059320015451511
"F","375","Control",0.0573643238270112
"F","375","Control",0.0699238827910611
"F","375","Control",0.0595122981827136
"F","375","Control",0.0711842752804699
"F","375","Control",0.0802197037835447
"F","375","Control",0.0728874345771497
"F","375","Control",0.061267099277937
"F","375","Control",0.0662189611657787
"F","375","Control",0.0709440140481827
"F","375","Control",0.0753306991949336
"F","375","Control",0.0605578378219445
"F","375","Control",0.080390029165229
"F","375","Control",0.0833746454383531
"F","375","Control",0.0834087945643342
"F","375","Control",0.0761962951929991
"F","375","Control",0.0650854686646079
"F","375","Control",0.0729699441879107
"F","375","Control",0.0937929018402889
"F","375","Control",0.0706298365073685
"F","375","Control",0.0820379094666514
"F","375","Control",0.0687575304140717
"F","375","Control",0.0941240677508359
"F","375","Control",0.0655238064930099
"F","375","Control",0.0575513966844381
"F","375","Control",0.0693625522944823
"F","375","Control",0.082009799040439
"F","375","Control",0.0647243532484265
"F","375","Control",0.0725801592682858
"F","375","Control",0.0757116282529888
"F","375","Control",0.0643563732822219
"F","375","Control",0.0774368405457053
"F","375","Control",0.071683356189103
"F","375","Control",0.0669288594270315
"F","375","Control",0.071555278739656
"F","375","Control",0.0721183135563167
"F","375","Control",0.0692023618300968
"F","375","Control",0.0816356417768734
"F","375","Control",0.067745514202441
"F","375","Control",0.0896208419613203
"F","375","Control",0.0756735085953308
"F","375","Control",0.08269712633504
"F","375","Control",0.0897772772296192
"F","375","Control",0.0816944193325329
"F","375","Control",0.0659347976659473
"F","375","Control",0.0809146841883191
"F","375","Control",0.0661424144495798
"F","375","Control",0.0891674676462349
"F","375","Control",0.0801817978487465
"F","375","Control",0.0761640732873098
"F","375","Control",0.0701850399697767
"F","375","Control",0.0764587044953979
"F","375","Control",0.0822079139150925
"F","375","Control",0.0598752092531137
"F","375","Control",0.0585585043019797
"F","375","Control",0.06150494375892
"F","375","Control",0.0704957626661429
"F","375","Control",0.0788373191448331
"F","375","Control",0.0859759019587065
