"Mito","Nuc","Sex","Build.x","Treatment","Y_adj.x","Build.y","Y_adj.y"
"Bei04","375","F","A","Control",3.01007086489899,"B",3.4285819760101
"Bei04","375","F","A","Rotenone",3.03743836305084,"B",3.75204947416195
"Bei04","375","M","A","Control",3.92105389367464,"B",4.64303167145241
"Bei04","375","M","A","Rotenone",3.49581656590925,"B",3.8826721214648
"Bei04","Ore","F","A","Control",2.29250419823232,"B",1.88498429082491
"Bei04","Ore","F","A","Rotenone",2.00368836305084,"B",1.82273882601381
"Bei04","Ore","M","A","Control",2.11329833811908,"B",2.48475708568244
"Bei04","Ore","M","A","Rotenone",2.47038878813147,"B",2.4724684177611
"Bei05","375","F","A","Control",2.60547086489899,"B",2.64331530934343
"Bei05","375","F","A","Rotenone",2.29425040008788,"B",2.16137817786566
"Bei05","375","M","A","Control",3.22009000478575,"B",3.30139556034131
"Bei05","375","M","A","Rotenone",2.99602860294628,"B",3.18988415850184
"Bei05","Ore","F","A","Control",2.09762086489899,"B",2.55778753156566
"Bei05","Ore","F","A","Rotenone",2.16233928897677,"B",1.9983726223101
"Bei05","Ore","M","A","Control",2.38991222700797,"B",3.48727889367464
"Bei05","Ore","M","A","Rotenone",2.26993415850184,"B",2.58788971405739
"Bei11","375","F","A","Control",3.09277780934343,"B",2.75988336489899
"Bei11","375","F","A","Rotenone",2.63426347879159,"B",2.20565540587492
"Bei11","375","M","A","Control",3.51767762052649,"B",2.87793039830427
"Bei11","375","M","A","Rotenone",3.47567119553888,"B",2.74053230664999
"Bei11","Ore","F","A","Control",1.69207225378788,"B",1.79492780934343
"Bei11","Ore","F","A","Rotenone",1.70334403434714,"B",1.45734125656936
"Bei11","Ore","M","A","Control",2.89729150941538,"B",2.73835262052649
"Bei11","Ore","M","A","Rotenone",2.38843786220554,"B",1.67057952887221
"Bei12","375","F","A","Control",2.80461642045455,"B",2.59042753156566
"Bei12","375","F","A","Rotenone",2.39116336305084,"B",3.31898558527306
"Bei12","375","M","A","Control",3.68082852330427,"B",4.17533963441538
"Bei12","375","M","A","Rotenone",3.65887489924259,"B",4.05871378813147
"Bei12","Ore","F","A","Control",1.27491642045455,"B",1.6542219760101
"Bei12","Ore","F","A","Rotenone",1.2627689186064,"B",1.95070225193973
"Bei12","Ore","M","A","Control",2.1706618566376,"B",2.80808963441538
"Bei12","Ore","M","A","Rotenone",1.96500267702036,"B",2.63229712146481
"Bei23","375","F","A","Control",3.26934169823232,"B",3.42903058712121
"Bei23","375","F","A","Rotenone",2.65072736768048,"B",2.53976903434714
"Bei23","375","M","A","Control",3.16719984274871,"B",3.06659150941538
"Bei23","375","M","A","Rotenone",2.8934434177611,"B",2.59899063998332
"Bei23","Ore","F","A","Control",1.19923614267677,"B",2.20086114267677
"Bei23","Ore","F","A","Rotenone",1.56225514545825,"B",0.944496812124918
"Bei23","Ore","M","A","Control",3.15981095385982,"B",2.68519984274871
"Bei23","Ore","M","A","Rotenone",2.65776563998332,"B",1.77523508442777
"Bei38","375","F","A","Control",3.5938643834175,"B",4.05383105008417
"Bei38","375","F","A","Rotenone",3.10354484453233,"B",3.30587817786566
"Bei38","375","M","A","Control",3.51586583324579,"B",3.99551027769024
"Bei38","375","M","A","Rotenone",3.45129249183517,"B",3.34667026961295
"Bei38","Ore","F","A","Control",2.13846993897306,"B",2.37209216119528
"Bei38","Ore","F","A","Rotenone",1.50615595564344,"B",1.41383928897677
"Bei38","Ore","M","A","Control",1.69414916657912,"B",2.60736027769024
"Bei38","Ore","M","A","Rotenone",1.89704249183517,"B",2.79484249183517
"Bei42","375","F","A","Control",3.01849308712121,"B",3.93611530934344
"Bei42","375","F","A","Rotenone",3.69372007601381,"B",3.13937563156936
"Bei42","375","M","A","Control",3.18893005108205,"B",3.15014671774872
"Bei42","375","M","A","Rotenone",2.88809133442777,"B",2.62839688998333
"Bei42","Ore","F","A","Control",2.5124569760101,"B",2.52296530934344
"Bei42","Ore","F","A","Rotenone",2.23558118712492,"B",1.6825589649027
