"Mito","Nuc","Sex","Build.x","Treatment","Y_adj.x","Build.y","Y_adj.y"
"Bei04","375","MF","A","Control",11.6655373086175,"B",11.578249709811
"Bei04","375","MF","A","Rotenone",11.4752233587072,"B",11.3824549602997
"Bei04","Ore","MF","A","Control",10.1095592168749,"B",10.1322023661503
"Bei04","Ore","MF","A","Rotenone",10.5395473847834,"B",10.6934850418495
"Bei05","375","MF","A","Control",11.3457636833706,"B",10.8294566167504
"Bei05","375","MF","A","Rotenone",11.2145308205634,"B",10.9149169075158
"Bei05","Ore","MF","A","Control",10.9349398059448,"B",10.9681156075533
"Bei05","Ore","MF","A","Rotenone",10.7115216331947,"B",10.636049409659
"Bei11","375","MF","A","Control",11.0012758644714,"B",11.0775203792929
"Bei11","375","MF","A","Rotenone",10.9239797162043,"B",10.7817534225302
"Bei11","Ore","MF","A","Control",10.3209959549801,"B",10.6071208703536
"Bei11","Ore","MF","A","Rotenone",10.8352747496064,"B",10.3990061904462
"Bei12","375","MF","A","Control",10.5070694196001,"B",10.3627605413439
"Bei12","375","MF","A","Rotenone",11.2947747523241,"B",10.8717986245093
"Bei12","Ore","MF","A","Control",10.1805554482576,"B",10.1379712901105
"Bei12","Ore","MF","A","Rotenone",10.6094367375557,"B",10.4079528344454
"Bei23","375","MF","A","Control",10.9851590686508,"B",10.8766539110473
"Bei23","375","MF","A","Rotenone",11.1102534976984,"B",10.7828199628842
"Bei23","Ore","MF","A","Control",10.7375237215342,"B",10.4566596199633
"Bei23","Ore","MF","A","Rotenone",11.0089118464833,"B",10.5319608135166
"Bei38","375","MF","A","Control",10.8247978842653,"B",11.1770398507061
"Bei38","375","MF","A","Rotenone",10.9555127431722,"B",10.795271502336
"Bei38","Ore","MF","A","Control",10.7775225822478,"B",11.1552745658222
"Bei38","Ore","MF","A","Rotenone",10.8508378382454,"B",11.4684346970175
"Bei42","375","MF","A","Control",11.6317748331673,"B",11.3762413234671
"Bei42","375","MF","A","Rotenone",11.4746850111276,"B",10.9372874215935
"Bei42","Ore","MF","A","Control",11.3634941555116,"B",10.3932827696752
"Bei42","Ore","MF","A","Rotenone",10.8944072458241,"B",10.7536907992827
"Bei52","375","MF","A","Control",11.0557689223284,"B",10.9790088784647
"Bei52","375","MF","A","Rotenone",11.5180284468634,"B",11.0866425803236
"Bei52","Ore","MF","A","Control",10.6833540001876,"B",10.2931148820073
"Bei52","Ore","MF","A","Rotenone",10.9448300581684,"B",10.8157461231271
"Bei54","375","MF","A","Control",11.0127492168097,"B",11.3056253087777
"Bei54","375","MF","A","Rotenone",11.257418034425,"B",11.7116538949794
"Bei54","Ore","MF","A","Control",10.8372255359908,"B",11.1482627698436
"Bei54","Ore","MF","A","Rotenone",11.0376332821027,"B",11.4347993175376
"Bei59","375","MF","A","Control",10.7186667422748,"B",10.931589923827
"Bei59","375","MF","A","Rotenone",11.1160056702951,"B",10.9857216039334
"Bei59","Ore","MF","A","Control",10.839114794503,"B",10.6375277002684
"Bei59","Ore","MF","A","Rotenone",11.2400983293007,"B",11.1919915336918
"ZH23","375","MF","A","Control",10.6576252957159,"B",10.943137911182
"ZH23","375","MF","A","Rotenone",11.1675432473357,"B",11.1533853944682
"ZH23","Ore","MF","A","Control",10.5933595968757,"B",10.9554686471941
"ZH23","Ore","MF","A","Rotenone",10.8418861347516,"B",11.0716449127277
"ZH26","375","MF","A","Control",11.0478528948139,"B",10.931438380708
"ZH26","375","MF","A","Rotenone",11.2353039631487,"B",10.9937702703607
"ZH26","Ore","MF","A","Control",10.4693744315728,"B",11.3050557667368
"ZH26","Ore","MF","A","Rotenone",10.4777419138913,"B",11.1011893123674
"ZH33","375","MF","A","Control",10.9212609332547,"B",11.0221639499657
"ZH33","375","MF","A","Rotenone",11.4795324398784,"B",11.1339333219052
"ZH33","Ore","MF","A","Control",10.5453544294891,"B",10.6689314907818
"ZH33","Ore","MF","A","Rotenone",10.9033709878852,"B",10.7373411046259
"ZH42","375","MF","A","Control",11.3064969799157,"B",10.7752531057687
"ZH42","375","MF","A","Rotenone",11.5337565474836,"B",11.1805285522017
"ZH42","Ore","MF","A","Control",11.0905902258243,"B",10.5167617847527
"ZH42","Ore","MF","A","Rotenone",11.28151682319,"B",10.8174594734838
"ZW09","375","MF","A","Control",11.3237496157919,"B",11.0428951298824
"ZW09","375","MF","A","Rotenone",11.2747820348234,"B",11.2694978098894
"ZW09","Ore","MF","A","Control",10.2403029014845,"B",10.7248653391019
"ZW09","Ore","MF","A","Rotenone",10.7527675623678,"B",11.0384070835823
"ZW133","375","MF","A","Control",10.9545815041774,"B",11.116570015154
"ZW133","375","MF","A","Rotenone",11.2353617075917,"B",11.3916385197892
"ZW133","Ore","MF","A","Control",10.4224198605903,"B",10.4813753532999
"ZW133","Ore","MF","A","Rotenone",11.1365083353918,"B",10.6114242131431
"ZW140","375","MF","A","Control",11.7505285871863,"B",11.1704584240125
"ZW140","375","MF","A","Rotenone",11.3490946102157,"B",11.1800473974624
"ZW140","Ore","MF","A","Control",10.2537986426911,"B",10.9267153093578
"ZW140","Ore","MF","A","Rotenone",10.5703923434915,"B",10.5930177421845
"ZW142","375","MF","A","Control",10.6124795893695,"B",11.0297664881864
"ZW142","375","MF","A","Rotenone",10.5051449768827,"B",11.094648284281
"ZW142","Ore","MF","A","Control",10.6927660230631,"B",10.9012360752541
"ZW142","Ore","MF","A","Rotenone",11.0209849806986,"B",10.8798838537263
"ZW144","375","MF","A","Control",11.3467526362761,"B",11.1724538429592
"ZW144","375","MF","A","Rotenone",11.0999440681238,"B",11.4813714153145
"ZW144","Ore","MF","A","Control",10.993438552019,"B",10.7326448647699
"ZW144","Ore","MF","A","Rotenone",11.3356349413866,"B",10.928411238883
"Zim53","375","MF","A","Control",10.895185980697,"B",11.4278937025297
"Zim53","375","MF","A","Rotenone",11.3211361864104,"B",11.2098184225503
"Zim53","Ore","MF","A","Control",10.6302930088763,"B",9.51188322716873
"Zim53","Ore","MF","A","Rotenone",11.1115363594981,"B",9.98131688402752
"siI","375","MF","A","Control",10.9913515681364,"B",11.434585203502
"siI","375","MF","A","Rotenone",11.392877813728,"B",11.0877067577715
"siI","Ore","MF","A","Control",10.5333547043145,"B",10.6049544747481
"siI","Ore","MF","A","Rotenone",10.9603513486957,"B",10.7287832426811
"yak","375","MF","A","Control",11.2458007429328,"B",11.4239294781426
"yak","375","MF","A","Rotenone",11.5990056945597,"B",11.3361791749849
"yak","Ore","MF","A","Control",10.5389166932732,"B",10.492151171356
"yak","Ore","MF","A","Rotenone",11.0670090933536,"B",10.584570307171
