"Mito","Nuc","Sex","Build.x","Treatment","Y_adj.x","Build.y","Y_adj.y"
"Bei04","375","F","A","Control",0.808079144976936,"B",0.782987534249563
"Bei04","375","F","A","Rotenone",0.804681820269284,"B",0.768528726869263
"Bei04","375","M","A","Control",0.832535483114479,"B",0.859679126686761
"Bei04","375","M","A","Rotenone",0.849864817773686,"B",0.851721648558428
"Bei04","Ore","F","A","Control",0.736192321595844,"B",0.686353326958218
"Bei04","Ore","F","A","Rotenone",0.808978511219232,"B",0.775820551248613
"Bei04","Ore","M","A","Control",0.761064241364847,"B",0.816476647792403
"Bei04","Ore","M","A","Rotenone",0.771024157509736,"B",0.686848634633771
"Bei05","375","F","A","Control",0.785098012917645,"B",0.810866852157914
"Bei05","375","F","A","Rotenone",0.81531855596089,"B",0.767105370501864
"Bei05","375","M","A","Control",0.867545514405018,"B",0.888092626162532
"Bei05","375","M","A","Rotenone",0.861339103802815,"B",0.870995870488475
"Bei05","Ore","F","A","Control",0.662834954911599,"B",0.775333761905633
"Bei05","Ore","F","A","Rotenone",0.693195601213167,"B",0.765302894488768
"Bei05","Ore","M","A","Control",0.71911807924006,"B",0.870699289559114
"Bei05","Ore","M","A","Rotenone",0.77064837069044,"B",0.799579596030448
"Bei11","375","F","A","Control",0.857952580313229,"B",0.872171651527188
"Bei11","375","F","A","Rotenone",0.817464110919647,"B",0.843001535361286
"Bei11","375","M","A","Control",0.885696348541738,"B",0.891236660763439
"Bei11","375","M","A","Rotenone",0.854998087671844,"B",0.848754099434287
"Bei11","Ore","F","A","Rotenone",0.72179895990281,"B",0.682883345122044
"Bei11","Ore","M","A","Rotenone",0.809998628730464,"B",0.803438619559683
"Bei12","375","F","A","Control",0.83832379447809,"B",0.842383712906763
"Bei12","375","F","A","Rotenone",0.825516832646156,"B",0.803230126728019
"Bei12","375","M","A","Control",0.832507058417251,"B",0.831013964258673
"Bei12","375","M","A","Rotenone",0.83946504681726,"B",0.824477114064054
"Bei12","Ore","F","A","Control",0.717395439213154,"B",0.737331216230685
"Bei12","Ore","F","A","Rotenone",0.668111286022362,"B",0.743382446748778
"Bei12","Ore","M","A","Control",0.817723384481795,"B",0.791432222252663
"Bei12","Ore","M","A","Rotenone",0.80409817182016,"B",0.816683323780194
"Bei23","375","F","A","Control",0.862485815250766,"B",0.853736615914618
"Bei23","375","F","A","Rotenone",0.83262306765722,"B",0.824046080312583
"Bei23","375","M","A","Control",0.904766600296086,"B",0.890787503584992
"Bei23","375","M","A","Rotenone",0.84615564394194,"B",0.852985521370692
"Bei23","Ore","F","A","Control",0.743989953145447,"B",0.747883064321516
"Bei23","Ore","M","A","Control",0.860345015409848,"B",0.861041800622733
"Bei23","Ore","M","A","Rotenone",0.766803247421922,"B",0.79268881749862
"Bei38","375","F","A","Control",0.80268893513087,"B",0.758189932761497
"Bei38","375","F","A","Rotenone",0.773993115495617,"B",0.827716277062982
"Bei38","375","M","A","Control",0.831443229767448,"B",0.864478515243618
"Bei38","375","M","A","Rotenone",0.867824473177162,"B",0.854143618292105
"Bei38","Ore","F","A","Control",0.700446019867122,"B",0.737733828509097
