"Mito","Nuc","Sex","Build.x","Treatment","Y_adj.x","Build.y","Y_adj.y"
"Bei04","375","F","A","Control",1.19701302430801,"B",1.13319080208578
"Bei04","375","F","A","Rotenone",1.30628216160228,"B",1.25637446929459
"Bei04","375","M","A","Control",0.702644059095978,"B",0.676556147008062
"Bei04","375","M","A","Rotenone",0.750263804991203,"B",0.75450636243377
"Bei04","Ore","F","A","Control",1.33561504451002,"B",1.28102185112933
"Bei04","Ore","F","A","Rotenone",1.47082632114645,"B",1.28779603754117
"Bei04","Ore","M","A","Control",0.779891922343842,"B",0.786750069983239
"Bei04","Ore","M","A","Rotenone",0.875393231120631,"B",0.830220906223306
"Bei05","375","F","A","Control",1.1080851077801,"B",1.08686186435685
"Bei05","375","F","A","Rotenone",1.07606678993691,"B",1.10215885342897
"Bei05","375","M","A","Control",0.765789525203945,"B",0.74879685121127
"Bei05","375","M","A","Rotenone",0.757382084859489,"B",0.744345454822859
"Bei05","Ore","F","A","Control",1.20329722899221,"B",1.02911844111341
"Bei05","Ore","F","A","Rotenone",1.28593492180505,"B",1.20417790104802
"Bei05","Ore","M","A","Control",0.736597217511637,"B",0.731511747426168
"Bei05","Ore","M","A","Rotenone",0.761054246031651,"B",0.776136663614066
"Bei11","375","F","A","Control",1.05748255138911,"B",0.985593829584602
"Bei11","375","F","A","Rotenone",1.16369251537419,"B",1.03873437689073
"Bei11","375","M","A","Control",0.641975924502956,"B",0.655198328355727
"Bei11","375","M","A","Rotenone",0.765323252116725,"B",0.702237832685794
"Bei11","Ore","F","A","Control",1.18824850496082,"B",1.2207079235608
"Bei11","Ore","F","A","Rotenone",1.17201374786719,"B",1.1337678507715
"Bei11","Ore","M","A","Control",0.701069800369095,"B",0.784022960966666
"Bei11","Ore","M","A","Rotenone",0.824664298292771,"B",0.803450189558368
"Bei12","375","F","A","Control",1.29007257309256,"B",1.24691017993017
"Bei12","375","F","A","Rotenone",1.23123974475987,"B",1.21199615501628
"Bei12","375","M","A","Control",0.823527312416728,"B",0.851548069437489
"Bei12","375","M","A","Rotenone",0.806863046952952,"B",0.820709200799112
"Bei12","Ore","F","A","Control",1.29707257309257,"B",1.28376954278953
"Bei12","Ore","F","A","Rotenone",1.23549110451123,"B",1.25734059946073
"Bei12","Ore","M","A","Control",0.789672001061417,"B",0.753936958326375
"Bei12","Ore","M","A","Rotenone",0.779576722166635,"B",0.809617625707532
"Bei23","375","F","A","Control",1.13315525198117,"B",1.1639638634929
"Bei23","375","F","A","Rotenone",1.02395760161922,"B",1.17346606824031
"Bei23","375","M","A","Control",0.52037799784755,"B",0.566990518831917
"Bei23","375","M","A","Rotenone",0.717069876252821,"B",0.789167613018977
"Bei23","Ore","F","A","Control",1.25994660465954,"B",1.19641214203239
"Bei23","Ore","F","A","Rotenone",1.18362963267725,"B",1.13188223885332
"Bei23","Ore","M","A","Control",0.681003409883073,"B",0.612207310811867
"Bei23","Ore","M","A","Rotenone",0.770360156878632,"B",0.764486170106888
"Bei38","375","F","A","Control",1.18379038491037,"B",1.20504679516678
"Bei38","375","F","A","Rotenone",1.07244783111796,"B",1.18776834393846
"Bei38","375","M","A","Control",0.727746878961298,"B",0.76212869714311
"Bei38","375","M","A","Rotenone",0.733463344340749,"B",0.758790617068026
