"Trait","Nuc","Treatment","stat","stat_lower","stat_upper","p"
"weight","375","Control",1.17154173929597,0.496862061827066,2.76235630038974,0.356842484143495
"weight","375","Rotenone",0.501693562560632,0.208293512198978,1.20837383775227,0.939051450245193
"weight","Ore","Control",0.557010151465261,0.236233335128077,1.31336379206237,0.911084069548046
"weight","Ore","Rotenone",0.437068273901216,0.177346747283849,1.07714789798339,0.964300561281057
"flight","375","Control",0.53985667968767,0.228958383609894,1.27291794258981,0.921966636132993
"flight","375","Rotenone",3.0979948453004,1.31388925783438,7.30470395756724,0.00527244343871081
"flight","Ore","Control",0.940474379670501,0.398864183583785,2.21752690569876,0.556574800871999
"flight","Ore","Rotenone",0.531151748350662,0.225266538934545,1.25239274820989,0.927198792661396
"climb","375","Control",1.22187347874009,0.518208234137219,2.88103256509252,0.321233005896071
"climb","375","Rotenone",1.14091777521678,0.483874145627982,2.69014862969429,0.379964422264071
"climb","Ore","Control",0.744144430852096,0.315598773657429,1.75460420061475,0.753012902179965
"climb","Ore","Rotenone",1.4609853634696,0.619617872453183,3.44482999468948,0.190387047698435
"weight","375","Control",0.540207735762378,0.164674399072704,0.778956030396664,0.00779123489699828
"weight","375","Rotenone",0.768734620415697,0.513580035888751,0.898979355008537,2.91844633116912e-05
"weight","Ore","Control",0.468570920018654,0.0698623796284992,0.738193926823597,0.0241207732521176
"weight","Ore","Rotenone",0.558430628507746,0.167002711687085,0.797795213788243,0.00851166690913151
"flight","375","Control",0.454867977005097,0.0525115976906046,0.730165833733087,0.0291998160483526
"flight","375","Rotenone",-0.271578123290861,-0.61494070489524,0.158350628944834,0.210012240111822
"flight","Ore","Control",0.642462823189685,0.313205037510699,0.833842906941456,0.000947456101329657
"flight","Ore","Rotenone",0.121637263967535,-0.305902607482207,0.508351148348584,0.58034544135693
"climb","375","Control",0.100711524289253,-0.324981786467362,0.492469560785263,0.647508542642643
"climb","375","Rotenone",0.434111024815468,0.0266836635633523,0.717858515039705,0.0384787032251044
"climb","Ore","Control",0.247436110364913,-0.183479855875799,0.598586257562297,0.254996249640274
"climb","Ore","Rotenone",0.663689799619312,0.346198724739425,0.844781422257521,0.000554892029824948
