"Phenotype 1","Phenotype 2","Nuc","Correlation coeff","t","df","CI lower","CI upper","p-value","Sex"
"Dev. time (days)","Climb vel. (cm/s)","375",-0.0557805455706008,-0.370583258890209,44,-0.340563845007254,0.238377542065318,0.712726100256729,"F"
"Dev. time (days)","Climb vel. (cm/s)","Ore",-0.230579816719194,-1.57184944757896,44,-0.488199326077348,0.0640023439266676,0.123149619785338,"F"
"Dev. time (days)","Landing ht. (m)","375",-0.132660474792231,-0.887816973577132,44,-0.407273960291868,0.163951518749184,0.37946683495669,"F"
"Dev. time (days)","Landing ht. (m)","Ore",-0.166286547853396,-1.11859382586287,44,-0.435559000567247,0.130301495991504,0.269383401293956,"F"
"Dev. time (days)","Weight (mg)","375",-0.241753189731649,-1.6526299271544,44,-0.497160287155423,0.0522088999103309,0.105525424317625,"F"
"Dev. time (days)","Weight (mg)","Ore",-0.400468475742961,-2.89902521251329,44,-0.618824898110014,-0.124663176017976,0.00581882444794795,"F"
"Climb vel. (cm/s)","Landing ht. (m)","375",-0.163637091836731,-1.10027673662455,44,-0.433349505673911,0.132977870186765,0.277194910067091,"F"
"Climb vel. (cm/s)","Landing ht. (m)","Ore",-0.0319664853905605,-0.212150096963226,44,-0.319301473051052,0.260751280560692,0.832969667731767,"F"
"Climb vel. (cm/s)","Weight (mg)","375",-0.0266701827099733,-0.176972929777376,44,-0.314533017224263,0.265684873871067,0.860341789553207,"F"
"Climb vel. (cm/s)","Weight (mg)","Ore",-0.160375082785714,-1.07775829808643,44,-0.43062471591097,0.136267090000933,0.28701509005751,"F"
"Landing ht. (m)","Weight (mg)","375",-0.0686253090521591,-0.456284491091412,44,-0.351912622714627,0.226178618651569,0.650429760640795,"F"
"Landing ht. (m)","Weight (mg)","Ore",-0.0581329252482432,-0.386263430846439,44,-0.342648476643642,0.236150362718914,0.701163162946103,"F"
"Dev. time (days)","Climb vel. (cm/s)","375",0.000372749447964037,0.00247254029118767,44,-0.289956670393381,0.290639343902842,0.998038376677825,"M"
"Dev. time (days)","Climb vel. (cm/s)","Ore",-0.17055949994404,-1.14818769074782,44,-0.439115575360942,0.125976005332934,0.257095342920644,"M"
"Dev. time (days)","Landing ht. (m)","375",-0.252592626282063,-1.73166305821972,44,-0.505801677254505,0.0406890280779808,0.0903403060912475,"M"
"Dev. time (days)","Landing ht. (m)","Ore",-0.182603223259657,-1.23196618636759,44,-0.449095027979559,0.113723215532219,0.224505048536154,"M"
"Dev. time (days)","Weight (mg)","375",-0.127531752789478,-0.85291442852824,44,-0.402913061516126,0.16902393222675,0.398325960840333,"M"
"Dev. time (days)","Weight (mg)","Ore",0.0187670039776101,0.124508149108943,44,-0.273018451330928,0.307390377737502,0.901480044408851,"M"
"Climb vel. (cm/s)","Landing ht. (m)","375",-0.027910724393775,-0.18521095539495,44,-0.315651226917091,0.264530660505688,0.853914700816415,"M"
"Climb vel. (cm/s)","Landing ht. (m)","Ore",-0.212944814805624,-1.44567374681173,44,-0.473944794009745,0.082450084335184,0.155354269910479,"M"
"Climb vel. (cm/s)","Weight (mg)","375",0.13174387092567,0.881573960277528,44,-0.164859211740875,0.406495499489071,0.382797829471548,"M"
"Climb vel. (cm/s)","Weight (mg)","Ore",-0.161985714201828,-1.08887229490858,44,-0.431970708920191,0.134643840132038,0.28213835762522,"M"
"Landing ht. (m)","Weight (mg)","375",0.267861468382144,1.8441831510043,44,-0.0243283390858412,0.517888665717029,0.0718961354796762,"M"
"Landing ht. (m)","Weight (mg)","Ore",0.148315579764225,0.99481684853831,44,-0.148370670779165,0.42050833363643,0.325265012655577,"M"
