"Mito","Nuc","Treatment","dev","climb_F","flight_F","weight_F","Mito_orig"
"375","375","Control",11.3258268964042,2.82952777777778,0.830402137079314,1.05984233238954,"375"
"375","375","Rotenone",11.4448531599639,2.82469382716049,0.813390959712061,1.01103130002713,"375"
"Bei04","375","Control",11.1233956447801,3.60421111111111,0.785732708593045,1.10524444444444,"Bei"
"Bei04","375","Rotenone",11.1946747974944,3.53632777777778,0.766635859519408,1.10402051282051,"Bei"
"Bei04","Ore","Control",9.95121676129951,2.08500740740741,0.69090072264463,1.21430755170755,"Bei"
"Bei04","Ore","Rotenone",10.7256190740166,1.96288518518519,0.759651346766771,1.20675222308556,"Bei"
"Bei05","375","Control",11.141168000011,2.45976111111111,0.806577616573083,1.15858231768232,"Bei"
"Bei05","375","Rotenone",11.0082286858713,2.308475,0.810339220921476,1.12704603174603,"Bei"
"Bei05","Ore","Control",11.0050855566996,2.16307222222222,0.729238661630368,1.17731666666666,"Bei"
"Bei05","Ore","Rotenone",10.6172903432585,2.16101666666667,0.751900546189874,1.28298962148963,"Bei"
"Bei11","375","Control",11.1244193704821,2.90786666666667,0.860991776922671,1.07714681704261,"Bei"
"Bei11","375","Rotenone",11.0315998181579,2.61759404761905,0.852183989643797,1.15704642095435,"Bei"
"Bei11","Ore","Control",10.5490796612668,1.72503611111111,0.693152774342485,1.26008684081656,"Bei"
"Bei11","Ore","Rotenone",10.795873718817,1.81209027777778,0.724500680187979,1.20872377414123,"Bei"
"Bei12","375","Control",10.9311371231108,2.45662222222222,0.844895787550024,1.25641880341881,"Bei"
"Bei12","375","Rotenone",11.2166107190301,2.8732,0.832954704319866,1.24145512820513,"Bei"
"Bei12","Ore","Control",10.6554855118229,1.22366944444444,0.732752986693854,1.27834848484849,"Bei"
"Bei12","Ore","Rotenone",10.642018816614,1.62486111111111,0.728295819935691,1.26625303030303,"Bei"
"Bei23","375","Control",11.015927738449,3.33072222222222,0.853868648251766,1.20416818429279,"Bei"
"Bei23","375","Rotenone",11.125269979082,2.82699583333333,0.849699472500683,1.15454480975165,"Bei"
"Bei23","Ore","Control",10.6821129193487,1.68158472222222,0.74213466016188,1.28378799990171,"Bei"
"Bei23","Ore","Rotenone",10.9491695787907,1.48512361111111,0.735340543700672,1.21358891058718,"Bei"
"Bei38","375","Control",11.4776009310772,3.24662777777778,0.751103395061728,1.05939743589744,"Bei"
"Bei38","375","Rotenone",11.5940606003398,3.16103333333333,0.759556574923547,1.05856196581196,"Bei"
"Bei38","Ore","Control",11.4430806376264,1.67806111111111,0.689126984126984,1.05451582491582,"Bei"
"Bei38","Ore","Rotenone",11.8783047452172,1.41631944444444,0.60194885361552,1.13285531135531,"Bei"
"Bei42","375","Control",11.4502094356261,3.17045555555556,0.828060296035192,1.11469972826087,"Bei"
"Bei42","375","Rotenone",11.4204081964765,3.29916666666667,0.813198662089605,1.21753824786325,"Bei"
