"Mito","Nuc","Treatment","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"375","375","Control",-2.10897160860454,-0.402108447678526,0.04702074507251,-0.681733978922686,0.131360101450092,-0.0502677866931593,-0.248122392568256
"375","375","Rotenone",-2.31569408157287,-1.08413780276725,0.0922393922894891,-0.678179239964662,0.223921875044574,-0.324321533597646,-0.339771832751983
"Bei04","375","Control",-2.29355468751292,-0.492267373112475,-0.796550053175168,1.34322922419377,0.513335657787508,-0.515380088504326,0.0262738219471092
"Bei04","375","Rotenone",-2.10155605000197,-0.551960599746874,-0.671631429457503,0.822947746331997,0.294110384441857,-0.797277390526173,0.266002944724408
"Bei04","Ore","Control",2.61385446848147,0.36512731063471,-1.33403395001817,0.163405202445813,2.10245617542382,0.0216843877505817,0.583979118462495
"Bei04","Ore","Rotenone",1.89412269022661,-1.42623735729983,-0.425774388652541,1.20146259279001,0.922946665005978,1.56442075656139,-0.0319155530743385
"Bei05","375","Control",-1.09043577116965,0.753494730793495,0.135434002780736,-0.68809741717328,-0.248075269111285,-0.303767941154687,-0.256143564997744
"Bei05","375","Rotenone",-1.18760808607509,0.819937004996325,-0.0111081118455035,-0.689310626949014,0.195242666800158,-0.428403491326278,-0.643479329971663
"Bei05","Ore","Control",0.599674457247289,-0.394889070041419,-0.0882276883714392,-0.0788504926669873,0.102898566544222,-0.312804957130026,0.0599586324288208
"Bei05","Ore","Rotenone",1.30482817524017,0.501237961968462,-0.836620737674277,0.129042564969889,0.260616747627613,0.364030957911771,0.197980453079204
"Bei11","375","Control",-1.92401826658325,0.3416828642577,0.223598672528465,-0.592595835585009,0.448620896305242,0.481272149740279,-0.0882261856967817
"Bei11","375","Rotenone",-1.47947349410504,0.763748880229372,-0.194113984476962,-0.315116756350944,0.0986624778717108,0.393933162188583,-0.464542294512838
"Bei11","Ore","Control",2.17286674511837,0.160649637576921,-0.515124455607387,0.65795156109624,0.565915987967744,-0.222333482819823,-0.133444668128047
"Bei11","Ore","Rotenone",1.58973218657245,0.244386008603354,0.187777824052877,-0.482353148494674,0.254841330220784,-0.0927428375980336,0.214701366461704
"Bei12","375","Control",-0.902678696772832,1.22717465016935,-0.614660966052502,0.0377699679496344,-0.320981858790191,0.49742127892525,-0.568804053002369
"Bei12","375","Rotenone",-1.59850098131731,0.946194937124463,-0.361397410360245,0.233938872823944,-0.792308916913519,0.0898930198011201,-0.252772717307677
"Bei12","Ore","Control",2.19226846177319,0.398049223700765,-0.653781188958814,-1.41725827845341,-0.0375313244655474,0.0964378782820673,-0.20073885782092
"Bei12","Ore","Rotenone",1.83808724957671,0.750719196806549,-0.49096593649764,-1.26887721175089,0.0572919280110685,-0.164063871807129,0.197725263648776
"Bei23","375","Control",-1.66603830047777,1.01714453818727,-0.50966184084791,-0.332814306007146,-0.115993041166816,0.563828133944823,0.562500705467968
"Bei23","375","Rotenone",-1.38704000795842,0.649534639804932,0.116771747930669,-0.528096922525091,-0.0546889460340341,0.551034014088543,0.0949332962836714
"Bei23","Ore","Control",1.1930432987157,0.621930499257879,-0.942503410132257,-0.25516499423014,-0.0367574075029545,-0.21105345072837,-0.524215650655495
"Bei23","Ore","Rotenone",1.60902924240147,-0.403478572770478,0.119489894186032,-0.258972475906383,-0.0158357290547163,0.224761560806152,-0.34185526115716
"Bei38","375","Control",-1.96049178691436,-1.14263269031829,0.133264486365816,0.630822211742965,-0.0129512829459442,-0.933363451200588,0.155733336513329
"Bei38","375","Rotenone",-2.01178451203805,-1.10852386106843,0.30697696546435,-0.116187035856248,-0.340912902809601,-0.902751530362187,0.310255951763505
