"Mito","Nuc","Treatment","Sex","Y","se_value"
"375","375","Control","F",2.99609958917882,0.0473115409036281
"375","375","Control","M",3.37635003510847,0.0570343564766762
"375","375","Rotenone","F",2.79156048239241,0.0473537854675397
"375","375","Rotenone","M",3.2543150741397,0.0595411593302801
"Bei04","375","Control","F",3.21932642045454,0.133831949573453
"Bei04","375","Control","M",4.28204278256353,0.150001314859023
"Bei04","375","Rotenone","F",3.3947439186064,0.146787147842054
"Bei04","375","Rotenone","M",3.68924434368703,0.123300075213355
"Bei04","Ore","Control","F",2.02082425996071,0.103212225910412
"Bei04","Ore","Control","M",2.36093750316132,0.115990956234569
"Bei04","Ore","Rotenone","F",1.88305533835949,0.112279194174841
"Bei04","Ore","Rotenone","M",2.47177520788456,0.116316701309528
"Bei5","375","Control","F",2.62439308712121,0.111461754724721
"Bei5","375","Control","M",3.26074278256353,0.104548666662171
"Bei5","375","Rotenone","F",2.22781428897677,0.100164186592782
"Bei5","375","Rotenone","M",3.09295638072406,0.103033126186245
"Bei5","Ore","Control","F",2.32770419823232,0.0710872655766171
"Bei5","Ore","Control","M",2.93859556034131,0.128469849344024
"Bei5","Ore","Rotenone","F",2.08035595564344,0.0518148689360221
"Bei5","Ore","Rotenone","M",2.42891193627961,0.122378221778979
"Bei11","375","Control","F",2.92633058712121,0.0788370679174883
"Bei11","375","Control","M",3.19780400941538,0.0885147322930244
"Bei11","375","Rotenone","F",2.38934457998206,0.102592982468041
"Bei11","375","Rotenone","M",3.10810175109443,0.0970502210756127
"Bei11","Ore","Control","F",1.74350003156566,0.0650562077043287
"Bei11","Ore","Control","M",2.81782206497093,0.0787279266432386
"Bei11","Ore","Rotenone","F",1.58034264545825,0.0867109879734606
"Bei11","Ore","Rotenone","M",2.02950869553888,0.118092092419632
"Bei12","375","Control","F",2.6975219760101,0.122711234147044
"Bei12","375","Control","M",3.92808407885982,0.0911961160419058
"Bei12","375","Rotenone","F",2.85507447416195,0.143703277679644
"Bei12","375","Rotenone","M",3.85879434368703,0.130736852697389
"Bei12","Ore","Control","F",1.46456919823232,0.0822112160520272
"Bei12","Ore","Control","M",2.48937574552649,0.0992392279670918
"Bei12","Ore","Rotenone","F",1.60673558527306,0.0932467539992318
"Bei12","Ore","Rotenone","M",2.29864989924259,0.105835887961294
"Bei23","375","Control","F",3.34918614267677,0.101953640779534
"Bei23","375","Control","M",3.11689567608205,0.0769543168065621
"Bei23","375","Rotenone","F",2.59524820101381,0.0856103923091353
"Bei23","375","Rotenone","M",2.74621702887221,0.0871571595681927
"Bei23","Ore","Control","F",1.70004864267677,0.0934103725580428
"Bei23","Ore","Control","M",2.92250539830427,0.107242144942987
"Bei23","Ore","Rotenone","F",1.25337597879159,0.0945946588481173
"Bei23","Ore","Rotenone","M",2.21650036220554,0.119813405497284
"Bei38","375","Control","F",3.82384771675084,0.0944745666296433
"Bei38","375","Control","M",3.75568805546801,0.165019362764803
"Bei38","375","Rotenone","F",3.20471151119899,0.128628998248747
"Bei38","375","Rotenone","M",3.39898138072406,0.0925932749175918
"Bei38","Ore","Control","F",2.25528105008417,0.0815601300509813
"Bei38","Ore","Control","M",2.15075472213468,0.144857542033982
"Bei38","Ore","Rotenone","F",1.4599976223101,0.105851936484183
"Bei38","Ore","Rotenone","M",2.34594249183517,0.157738563447843
"Bei42","375","Control","F",3.47730419823233,0.130071077238711
"Bei42","375","Control","M",3.16953838441538,0.112041441559646
"Bei42","375","Rotenone","F",3.41654785379159,0.128900519904871
"Bei42","375","Rotenone","M",2.75824411220555,0.134089091335289
"Bei42","Ore","Control","F",2.51595975378788,0.160396240435861
"Bei42","Ore","Control","M",2.57549393997094,0.164028146756436
"Bei42","Ore","Rotenone","F",1.95907007601381,0.13257303777797
"Bei42","Ore","Rotenone","M",2.76095800109444,0.132931315903347
"Bei52","375","Control","F",3.48049864267677,0.130465130079522
"Bei52","375","Control","M",3.52731616219316,0.153795955133665
"Bei52","375","Rotenone","F",2.93473118712492,0.123948279120064
"Bei52","375","Rotenone","M",3.14447744553888,0.0930354452410914
"Bei52","Ore","Control","F",1.82558753156566,0.200793808767426
"Bei52","Ore","Control","M",2.87177171774872,0.11037635550369
"Bei52","Ore","Rotenone","F",1.40437285379159,0.107631897701275
"Bei52","Ore","Rotenone","M",2.87703300109444,0.0820047767178318
"Bei54","375","Control","F",3.49854308712121,0.168239995708108
"Bei54","375","Control","M",3.5692668566376,0.125863515497978
"Bei54","375","Rotenone","F",3.36952540008788,0.12324722929852
"Bei54","375","Rotenone","M",3.74743415850185,0.111258899372564
"Bei54","Ore","Control","F",1.82728753156566,0.0926543682446003
