"Mito","Nuc","Treatment","Sex","Y","se_value"
"375","375","Control","F",0.817454232890004,0.00768202945775181
"375","375","Control","M",0.858634284377821,0.00790616594598271
"375","375","Rotenone","F",0.815654903562619,0.00884279865662679
"375","375","Rotenone","M",0.843578197275314,0.0094800980402506
"Bei04","375","Control","F",0.794074525036077,0.0150041167893204
"Bei04","375","Control","M",0.847363955066003,0.015363685140878
"Bei04","375","Rotenone","F",0.790478819290705,0.0198891521456671
"Bei04","375","Rotenone","M",0.850708831766751,0.0173313255426848
"Bei04","Ore","Control","F",0.705107175455882,0.0158725007277261
"Bei04","Ore","Control","M",0.798779491812922,0.0133274908124992
"Bei04","Ore","Rotenone","F",0.786873204572152,0.0132052928991677
"Bei04","Ore","Rotenone","M",0.708910767645616,0.0157502513678432
"Bei5","375","Control","F",0.799684148336666,0.0180632425234891
"Bei5","375","Control","M",0.878091819554892,0.00683219985518868
"Bei5","375","Rotenone","F",0.791211963231377,0.0129571384986407
"Bei5","375","Rotenone","M",0.865435913911883,0.00902279461609949
"Bei5","Ore","Control","F",0.722345193393951,0.0165535688028536
"Bei5","Ore","Control","M",0.808512126351297,0.0164879245202628
"Bei5","Ore","Rotenone","F",0.732773288499775,0.0128313464619595
"Bei5","Ore","Rotenone","M",0.784601018372146,0.0103875415656823
"Bei11","375","Control","F",0.865062115920209,0.0143833865709594
"Bei11","375","Control","M",0.88837260105561,0.0135595546710036
"Bei11","375","Rotenone","F",0.830398650571906,0.010406518178961
"Bei11","375","Rotenone","M",0.851924874711171,0.0150430206248426
"Bei11","Ore","Control","F",0.697223113340022,0.0291247791627592
"Bei11","Ore","Control","M",0.809560404205646,0.0253548257645386
"Bei11","Ore","Rotenone","F",0.702715341116088,0.0183329350428421
"Bei11","Ore","Rotenone","M",0.806548549833239,0.015127994152878
"Bei12","375","Control","F",0.8403975657618,0.0112234675612706
"Bei12","375","Control","M",0.831670020782897,0.0110371250714572
"Bei12","375","Rotenone","F",0.813565990342228,0.0117441609985185
"Bei12","375","Rotenone","M",0.83202828629086,0.0103356133121396
"Bei12","Ore","Control","F",0.72825476490563,0.0171804655584149
"Bei12","Ore","Control","M",0.805637930876468,0.0124333274232416
"Bei12","Ore","Rotenone","F",0.708907105958053,0.0169797553490608
"Bei12","Ore","Rotenone","M",0.810630922455903,0.0118780731186487
"Bei23","375","Control","F",0.857938987249303,0.0122794101824134
"Bei23","375","Control","M",0.896698128368877,0.0121131104407039
"Bei23","375","Rotenone","F",0.827914133428792,0.0120694677429335
"Bei23","375","Rotenone","M",0.849745068576029,0.0132141863478373
"Bei23","Ore","Control","F",0.746204999159417,0.0166237813853674
"Bei23","Ore","Control","M",0.860690937146742,0.0123670013015535
"Bei23","Ore","Rotenone","F",0.713555204628781,0.0277082755358797
"Bei23","Ore","Rotenone","M",0.781239430733927,0.0185958862865073
"Bei38","375","Control","F",0.782664384064652,0.0166972804733475
"Bei38","375","Control","M",0.846387763673334,0.0122510077752498
"Bei38","375","Rotenone","F",0.793708037171714,0.017479761996372
"Bei38","375","Rotenone","M",0.86132046019902,0.0104966409205497
"Bei38","Ore","Control","F",0.720687973129908,0.0203911608291852
"Bei38","Ore","Control","M",0.77538204633598,0.0132148500023898
"Bei38","Ore","Rotenone","F",0.636100315863687,0.0229921822229736
"Bei38","Ore","Rotenone","M",0.757143035519845,0.0154513317720246
"Bei42","375","Control","F",0.843117191273548,0.0128289174357343
