"Mito","Nuc","Treatment","Sex","Y","se_value"
"375","375","Control","F",1.07721744490079,0.0259782204072477
"375","375","Control","M",0.661975108350132,0.0101858989211983
"375","375","Rotenone","F",1.0557693062056,0.0266448946431825
"375","375","Rotenone","M",0.632988665771916,0.0264326160517017
"Bei04","375","Control","F",1.16510191319689,0.023289552263817
"Bei04","375","Control","M",0.68960010305202,0.0158075596182127
"Bei04","375","Rotenone","F",1.28132831544844,0.0194948646564382
"Bei04","375","Rotenone","M",0.752385083712486,0.0135788453271441
"Bei04","Ore","Control","F",1.29921958225623,0.0231568883158117
"Bei04","Ore","Control","M",0.784464020770107,0.0131427512746274
"Bei04","Ore","Rotenone","F",1.34880613207626,0.0383116047394414
"Bei04","Ore","Rotenone","M",0.845278347855748,0.0176801106802064
"Bei5","375","Control","F",1.09747348606847,0.0120693795174476
"Bei5","375","Control","M",0.757293188207607,0.0179511463558691
"Bei5","375","Rotenone","F",1.08911282168294,0.0104064781314339
"Bei5","375","Rotenone","M",0.750863769841174,0.00858432317241806
"Bei5","Ore","Control","F",1.11620783505281,0.0535294023588566
"Bei5","Ore","Control","M",0.734054482468902,0.0110215912193997
"Bei5","Ore","Rotenone","F",1.24505641142654,0.0286302180091742
"Bei5","Ore","Rotenone","M",0.768595454822859,0.0246774145833335
"Bei11","375","Control","F",1.02153819048686,0.022634543287782
"Bei11","375","Control","M",0.648587126429342,0.0458918400193059
"Bei11","375","Rotenone","F",1.10121344613246,0.0378166720903012
"Bei11","375","Rotenone","M",0.73378054240126,0.0278649570824503
"Bei11","Ore","Control","F",1.20447821426081,0.0225880275376184
"Bei11","Ore","Control","M",0.742546380667881,0.0713065478753627
"Bei11","Ore","Rotenone","F",1.15289079931934,0.0223111158410045
"Bei11","Ore","Rotenone","M",0.814057243925569,0.0187301279155768
"Bei12","375","Control","F",1.26849137651137,0.0147393339281081
"Bei12","375","Control","M",0.837537690927109,0.00830128804404211
"Bei12","375","Rotenone","F",1.22161794988808,0.0119551025411625
"Bei12","375","Rotenone","M",0.813786123876032,0.00820545739190196
"Bei12","Ore","Control","F",1.29042105794105,0.0240273881452725
"Bei12","Ore","Control","M",0.771804479693896,0.00916362191180276
"Bei12","Ore","Rotenone","F",1.24641585198598,0.0129248853130044
"Bei12","Ore","Rotenone","M",0.794597173937084,0.0128192921660005
"Bei23","375","Control","F",1.14855955773703,0.0631548029976507
"Bei23","375","Control","M",0.546273842838865,0.0909121639189861
"Bei23","375","Rotenone","F",1.09871183492976,0.0315015353766807
"Bei23","375","Rotenone","M",0.753118744635899,0.0250120031428094
"Bei23","Ore","Control","F",1.22817937334596,0.0626141663979916
"Bei23","Ore","Control","M",0.64660536034747,0.0438279291547583
"Bei23","Ore","Rotenone","F",1.15775593576529,0.0300744949510775
"Bei23","Ore","Rotenone","M",0.76742316349276,0.0444737367779404
"Bei38","375","Control","F",1.19441859003858,0.00996357105620022
"Bei38","375","Control","M",0.744937788052204,0.0128366386927909
"Bei38","375","Rotenone","F",1.13010808752821,0.0440183917116349
"Bei38","375","Rotenone","M",0.746126980704388,0.00919886639454134
"Bei38","Ore","Control","F",1.18953697905696,0.0290306743902008
"Bei38","Ore","Control","M",0.711606358370772,0.0154685705012283
"Bei38","Ore","Rotenone","F",1.20440143307155,0.0249991152951601
"Bei38","Ore","Rotenone","M",0.820649202926612,0.00940069378115037
"Bei42","375","Control","F",1.02011770064798,0.0226221431073516
"Bei42","375","Control","M",0.671547600462015,0.00272243763319964
"Bei42","375","Rotenone","F",1.13192395275461,0.0328502446134168
"Bei42","375","Rotenone","M",0.70123801076289,0.0123592663384526
"Bei42","Ore","Control","F",1.26793528007942,0.017718675272222
