"Trait","Nuc","Treatment","Sex","K","p"
"Climbing","375","Control","F",0.00125396074446769,0.196
"Climbing","375","Control","M",0.000134335528435359,0.966000000000001
"Climbing","375","Rotenone","F",0.000170666123875553,0.920000000000001
"Climbing","375","Rotenone","M",0.000336695538762643,0.711000000000001
"Climbing","Ore","Control","F",0.000371920160807472,0.678
"Climbing","Ore","Control","M",0.000330313650810974,0.699000000000001
"Climbing","Ore","Rotenone","F",0.00140433098972015,0.18
"Climbing","Ore","Rotenone","M",0.000606113400483253,0.454
"Flight","375","Control","F",0.000120702888563366,0.991000000000001
"Flight","375","Control","M",0.000373649813439185,0.64
"Flight","375","Rotenone","F",0.000257936917980159,0.814000000000001
"Flight","375","Rotenone","M",0.00162510545588001,0.449
"Flight","Ore","Control","F",0.000211146601271416,0.844000000000001
"Flight","Ore","Control","M",0.00044201181722432,0.613
"Flight","Ore","Rotenone","F",0.000221051151664956,0.848000000000001
"Flight","Ore","Rotenone","M",0.000110244252826837,0.966000000000001
"Development","375","Control","MF",0.000319187269435795,0.710000000000001
"Development","375","Rotenone","MF",0.00035315414717644,0.672
"Development","Ore","Control","MF",0.000556179025025451,0.515
"Development","Ore","Rotenone","MF",0.00316440472825235,0.039
"Weight","375","Control","F",0.000227761241900776,0.845000000000001
"Weight","375","Control","M",0.00196735969516959,0.121
"Weight","375","Rotenone","F",0.000207536270653769,0.869000000000001
"Weight","375","Rotenone","M",0.00146309724794216,0.348
"Weight","Ore","Control","F",0.000808607962306894,0.41
"Weight","Ore","Control","M",0.000906444687992706,0.344
"Weight","Ore","Rotenone","F",0.000189243132019449,0.899000000000001
"Weight","Ore","Rotenone","M",0.00293011344005474,0.216
