"Sex","Mito","Nuc","Treatment","Y.x","Y.y","avg","diff","rank.x","rank.y"
"F","Bei11","375","Control",2.69738055555556,3.1925569760101,2.94496876578283,0.495176420454542,7,8
"F","Bei11","375","Rotenone",2.005475,2.86942285379158,2.43744892689579,0.863947853791583,20,14
"F","Bei11","Ore","Control",1.75075,1.77352642045454,1.76213821022727,0.0227764204545424,24,23
"F","Bei11","Ore","Rotenone",2.00594722222222,1.41097285379158,1.7084600380069,-0.594974368430639,19,29
"F","Bei23","375","Control",2.73999722222222,3.99565142045454,3.36782432133838,1.25565419823232,6,1
"F","Bei23","375","Rotenone",2.46883333333333,2.97789785379158,2.72336559356246,0.50906452045825,11,12
"F","Bei23","Ore","Control",1.55089166666667,1.8864819760101,1.71868682133838,0.335590309343431,30,19
"F","Bei23","Ore","Rotenone",1.25813888888889,1.50484785379158,1.38149337134024,0.246708964902695,32,28
"F","Bei59","375","Control",2.89400833333333,3.23160975378788,3.06280904356061,0.337601420454548,3,6
"F","Bei59","375","Rotenone",2.45493333333333,3.1123226223101,2.78362797782172,0.657389288976769,12,9
"F","Bei59","Ore","Control",1.57762777777778,1.53037364267677,1.55400071022727,-0.0472541351010083,29,27
"F","Bei59","Ore","Rotenone",1.63013888888889,0.923447622310103,1.2767932555995,-0.706691266578786,28,32
"F","ZH33","375","Control",3.1781,3.51031253156565,3.34420626578283,0.332212531565653,1,5
"F","ZH33","375","Rotenone",2.78410833333333,2.86564229823603,2.82487531578468,0.0815339649026945,5,15
"F","ZH33","Ore","Control",1.80119444444444,1.8706069760101,1.83590071022727,0.0694125315656533,23,21
"F","ZH33","Ore","Rotenone",1.63875277777778,1.57928396490269,1.60901837134024,-0.0594688128750831,27,26
"F","ZW133","375","Control",2.90208333333333,3.54549123526936,3.22378728430135,0.643407901936025,2,4
"F","ZW133","375","Rotenone",2.43031111111111,2.67674870255702,2.55352990683406,0.246437591445905,13,16
"F","ZW133","Ore","Control",1.98261666666667,1.87678991251803,1.92970328959235,-0.105826754148632,21,20
"F","ZW133","Ore","Rotenone",1.33611111111111,1.04657840934714,1.19134476022913,-0.289532701763972,31,31
"F","ZW142","375","Control",2.623925,3.55355419823233,3.08873959911616,0.929629198232326,9,3
"F","ZW142","375","Rotenone",2.83802222222222,3.60192540008788,3.21997381115505,0.763903177865658,4,2
"F","ZW142","Ore","Control",1.69075,2.54869864267677,2.11972432133838,0.85794864267677,26,17
"F","ZW142","Ore","Rotenone",1.73447407407407,1.05786428897677,1.39616918152542,-0.676609785097305,25,30
"F","siI","375","Control",2.69076666666667,3.08786335461092,2.8893150106388,0.397096687944257,8,10
"F","siI","375","Rotenone",2.10440833333333,3.05984558527307,2.5821269593032,0.955437251939733,18,11
"F","siI","Ore","Control",2.18619444444444,2.01016841633932,2.09818143039188,-0.176026028105126,16,18
"F","siI","Ore","Rotenone",2.26228888888889,1.77145058527307,2.01686973708098,-0.490838303615823,14,24
"F","yak","375","Control",2.58685833333333,3.22839699452862,2.90762766393098,0.641538661195286,10,7
"F","yak","375","Rotenone",2.18216944444444,2.9103839186064,2.54627668152542,0.728214474161955,17,13
"F","yak","Ore","Control",1.81938055555556,1.76461143897306,1.79199599726431,-0.054769116582492,22,25
"F","yak","Ore","Rotenone",2.25621944444444,1.83042447416195,2.0433219593032,-0.42579497028249,15,22
"M","Bei11","375","Control",2.86713888888889,3.36772866219316,3.11743377554102,0.500589773304271,12,6
"M","Bei11","375","Rotenone",2.79435,3.48410036220554,3.13922518110277,0.689750362205543,16,3
"M","Bei11","Ore","Control",2.64162222222222,2.83328143997094,2.73745183109658,0.191659217748716,19,20
"M","Bei11","Ore","Rotenone",1.769325,2.35193925109443,2.06063212554722,0.582614251094432,29,27
"M","Bei23","375","Control",2.73696666666667,3.33608421774872,3.03652544220769,0.599117551082049,18,9
"M","Bei23","375","Rotenone",2.538775,3.0159059177611,2.77734045888055,0.477130917761099,20,17
"M","Bei23","Ore","Control",2.46783333333333,3.21643699552649,2.84213516442991,0.74860366219316,21,13
"M","Bei23","Ore","Rotenone",1.87893333333333,2.61631425109443,2.24762379221388,0.737380917761099,27,25
"M","Bei59","375","Control",2.98301944444444,3.15230852330427,3.06766398387436,0.169289078859824,6,14
"M","Bei59","375","Rotenone",2.86381944444444,3.3942147140574,3.12901707925092,0.530395269612957,13,4
"M","Bei59","Ore","Control",3.12218888888889,2.7915918566376,2.95689037276325,-0.330597032251287,1,22
"M","Bei59","Ore","Rotenone",1.69235277777778,1.87143138072407,1.78189207925092,0.17907860294629,31,30
"M","ZH33","375","Control",3.10033333333333,3.32758977330427,3.2139615533188,0.227256439970938,2,10
"M","ZH33","375","Rotenone",3.08816944444444,3.14796980664999,3.11806962554722,0.0598003622055434,3,15
"M","ZH33","Ore","Control",2.42068055555556,2.8186981066376,2.61968933109658,0.398017551082049,23,21
"M","ZH33","Ore","Rotenone",1.57509722222222,2.27689202887221,1.92599462554722,0.701794806649988,32,28
"M","ZW133","375","Control",2.95621944444444,3.51756508896084,3.23689226670264,0.561345644516392,7,2
"M","ZW133","375","Rotenone",2.87945555555556,3.14434496097097,3.01190025826326,0.264889405415419,11,16
"M","ZW133","Ore","Control",2.91240277777778,2.96015921774872,2.93628099776325,0.0477564399709376,8,18
"M","ZW133","Ore","Rotenone",1.69853055555556,1.86478925109443,1.78165990332499,0.166258695538877,30,31
"M","ZW142","375","Control",2.99250277777778,3.34052796774871,3.16651537276325,0.348025189970936,5,8
"M","ZW142","375","Rotenone",2.90381944444444,3.22590915850185,3.06486430147315,0.322089714057401,9,12
"M","ZW142","Ore","Control",2.88939722222222,2.91721963441538,2.9033084283188,0.0278224121931578,10,19
"M","ZW142","Ore","Rotenone",1.9318,1.45039249183518,1.69109624591759,-0.481407508164822,26,32
"M","siI","375","Control",3.01825,3.53059318325662,3.27442159162831,0.51234318325662,4,1
"M","siI","375","Rotenone",2.75605833333333,3.34136364924258,3.04871099128796,0.58530531590925,17,7
"M","siI","Ore","Control",2.42566944444444,2.4828378283725,2.45425363640847,0.057168383928051,22,26
"M","siI","Ore","Rotenone",2.18411388888889,2.23600698257592,2.2100604357324,0.0518930936870277,24,29
"M","yak","375","Control",2.80567222222222,3.37508005059472,3.09037613640847,0.569407828372495,15,5
"M","yak","375","Rotenone",2.14015277777778,3.31476087146481,2.72745682462129,1.17460809368703,25,11
"M","yak","Ore","Control",1.78765555555556,2.70692600774117,2.24729078164836,0.919270452185613,28,24
"M","yak","Ore","Rotenone",2.85679444444444,2.71253031590925,2.78466238017685,-0.144264128535195,14,23
