"Mito","Nuc","Build","Set","Treatment","Sex","Y_adj","Larval_density"
"ZW144","375","A",2,"Control","F",0.00107529388854611,1.1153933165277
"ZW144","375","A",2,"Rotenone","F",0.000913476100071232,1.21784837545126
"ZW142","375","A",9,"Control","F",0.00123839827370773,1.00993794841962
"ZW142","375","A",9,"Rotenone","F",0.00107466838265677,0.845728038507822
"ZW142","375","B",9,"Control","F",0.00104927546669018,1.1032253894383
"ZW142","375","B",9,"Rotenone","F",0.00102934046154681,1.0487027677497
"ZW140","375","A",3,"Control","F",0.00111991797238712,0.77469135802469
"ZW140","375","A",3,"Rotenone","F",0.00128011427631993,0.77323706377858
"ZW140","375","B",3,"Rotenone","F",0.00125058570489137,0.608924187725632
"ZW140","375","B",3,"Control","F",0.00133771209003417,0.770635382328227
"ZW133","375","A",9,"Rotenone","F",0.000905786511311744,1.14535740072202
"ZW133","375","A",2,"Control","F",0.000948916110768323,1.18028892767112
"ZW133","375","A",4,"Rotenone","F",0.00106467790104802,0.889222623345367
"ZW133","375","A",9,"Control","F",0.00103376318598842,1.06266563247366
"ZW133","375","A",2,"Rotenone","F",0.00112293244927757,1.15502286401925
"ZW133","375","A",4,"Control","F",0.00095659080208578,0.612452330166117
"ZW133","375","B",9,"Rotenone","F",0.000867214386555417,1.18885198555957
"ZW133","375","B",9,"Control","F",0.000991864940374392,1.41959149376252
"ZW133","375","B",2,"Control","F",0.00106461842805888,1.46826320212009
"ZW133","375","B",2,"Rotenone","F",0.00120949832229345,1.1695210589651
"ZW09","375","A",3,"Control","F",0.00118303982112661,1.00993794841962
"ZW09","375","A",3,"Rotenone","F",0.00119098570489136,0.826397111913357
"ZW09","375","B",3,"Rotenone","F",0.00117772029135752,0.850560770156438
"ZW09","375","B",3,"Control","F",0.00128791380572044,0.584060500290867
"ZH42","375","A",4,"Control","F",0.0010124003258953,0.547556719022688
"ZH42","375","A",4,"Rotenone","F",0.000999591265461388,0.695913357400723
"ZH42","375","B",4,"Control","F",0.00110349190098689,0.936930385883267
"ZH42","375","B",4,"Rotenone","F",0.00103632320019332,1.02937184115523
"ZH33","375","A",9,"Rotenone","F",0.000942832125346831,0.97137906137184
"ZH33","375","A",9,"Control","F",0.0010022899403744,1.13972917070648
"ZH33","375","A",2,"Control","F",0.00106780826763107,1.75623747656906
"ZH33","375","A",2,"Rotenone","F",0.00117354276673789,1.30967027677497
"ZH33","375","B",9,"Rotenone","F",0.000989698792013499,0.676582430806258
"ZH33","375","B",2,"Rotenone","F",0.00076655943340456,1.12119374247894
"ZH33","375","B",9,"Control","F",0.000975252659672641,1.01399392411609
"ZH33","375","B",2,"Control","F",0.00103526260199639,0.851754896257513
"ZH26","375","A",5,"Control","F",0.00129768070107568,0.588116475987331
"ZH26","375","A",5,"Rotenone","F",0.00132397446929458,0.889222623345366
"ZH26","375","B",5,"Control","F",0.00137079886069384,0.450213302307543
"ZH26","375","B",5,"Rotenone","F",0.00135968875500889,0.584760529482551
"ZH23","375","A",6,"Rotenone","F",0.000996784216954355,0.434945848375451
