"Mito","Nuc","Build","Set","Treatment","Sex","Y_adj","Larval_density"
"ZW144","375","A",2,"Rotenone","M",0.000760981557170805,1.21784837545126
"ZW144","375","A",2,"Control","M",0.000638926360642326,1.1153933165277
"ZW142","375","A",9,"Control","M",0.000608704747377136,1.00993794841962
"ZW142","375","A",9,"Rotenone","M",0.000716702681096185,0.845728038507822
"ZW142","375","B",9,"Control","M",0.000573727944258226,1.1032253894383
"ZW142","375","B",9,"Rotenone","M",0.000642830246742329,1.0487027677497
"ZW140","375","A",3,"Rotenone","M",0.000820086755172936,0.77323706377858
"ZW140","375","A",3,"Control","M",0.000684599981414399,0.77469135802469
"ZW140","375","B",3,"Rotenone","M",0.000809455176225568,0.608924187725632
"ZW140","375","B",3,"Control","M",0.000753880933795359,0.770635382328227
"ZW133","375","A",9,"Control","M",0.000565951586697657,1.06266563247366
"ZW133","375","A",4,"Rotenone","M",0.00063843702991443,0.889222623345367
"ZW133","375","A",4,"Control","M",0.000672374995289412,0.612452330166117
"ZW133","375","A",9,"Rotenone","M",0.000626582293525951,1.14535740072202
"ZW133","375","A",2,"Rotenone","M",0.000721360796936884,1.15502286401925
"ZW133","375","A",2,"Control","M",0.000587252676431797,1.18028892767112
"ZW133","375","B",9,"Control","M",0.000624133207416123,1.41959149376252
"ZW133","375","B",9,"Rotenone","M",0.000658923667794956,1.18885198555957
"ZW133","375","B",2,"Rotenone","M",0.000740584188749749,1.1695210589651
"ZW133","375","B",2,"Control","M",0.000598470768537065,1.46826320212009
"ZW09","375","A",3,"Rotenone","M",0.000786204402231751,0.826397111913357
"ZW09","375","A",3,"Control","M",0.000711761134296599,1.00993794841962
"ZW09","375","B",3,"Control","M",0.000722954618005874,0.584060500290867
"ZW09","375","B",3,"Rotenone","M",0.000734929892427834,0.850560770156438
"ZH42","375","A",4,"Control","M",0.000699794575708993,0.547556719022688
"ZH42","375","A",4,"Rotenone","M",0.000653191608669016,0.695913357400723
"ZH42","375","B",4,"Control","M",0.000701332260246677,0.936930385883267
"ZH42","375","B",4,"Rotenone","M",0.000658001376678786,1.02937184115523
