Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set,MitoNuc,Mito,Nuc,weight_per_fly,Build
10A,1.000538,20,1.015258,M,Rotenone,2,ZW144_375,ZW144,375,0.000736000000000003,A
10A,0.959574,19,0.973779,M,Control,1,ZW144_375,ZW144,375,0.000747631578947364,A
10A,1.001718,16,1.018836,F,Control,1,ZW144_375,ZW144,375,0.001069875,A
10A,0.958684,19,0.97225,M,Control,2,ZW144_375,ZW144,375,0.000713999999999998,A
10A,1.002964,15,1.020082,F,Control,2,ZW144_375,ZW144,375,0.0011412,A
10A,1.010368,18,1.024952,F,Rotenone,2,ZW144_375,ZW144,375,0.000810222222222231,A
10A,1.019248,12,1.029674,F,Rotenone,2,ZW144_375,ZW144,375,0.000868833333333337,A
10A,0.993852,18,1.014226,F,Control,2,ZW144_375,ZW144,375,0.0011318888888889,A
10A,0.958328,19,0.971912,M,Control,2,ZW144_375,ZW144,375,0.000714947368421055,A
10A,0.974754,18,0.986314,M,Control,1,ZW144_375,ZW144,375,0.000642222222222223,A
10A,1.000112,20,1.014498,M,Rotenone,2,ZW144_375,ZW144,375,0.000719300000000001,A
10A,1.039824,17,1.057162,F,Rotenone,1,ZW144_375,ZW144,375,0.00101988235294117,A
10A,1.0243,12,1.038568,F,Rotenone,1,ZW144_375,ZW144,375,0.001189,A
10A,1.007428,18,1.027946,F,Control,1,ZW144_375,ZW144,375,0.00113988888888889,A
10B,0.999694,14,1.016262,F,Control,1,ZW144_375,ZW144,375,0.00118342857142857,B
10B,1.026606,18,1.049181,F,Rotenone,1,ZW144_375,ZW144,375,0.00125416666666667,B
10B,0.959206,12,0.970552,M,Control,1,ZW144_375,ZW144,375,0.000945499999999997,B
10B,1.028084,19,1.050863,F,Rotenone,1,ZW144_375,ZW144,375,0.00119889473684211,B
10B,0.996368,11,1.009214,F,Control,1,ZW144_375,ZW144,375,0.00116781818181818,B
10B,0.95958,15,0.980172,M,Control,1,ZW144_375,ZW144,375,0.0013728,B
11A,0.994314,19,1.019114,F,Control,9,ZW142_375,ZW142,375,0.00130526315789474,A
11A,0.963996,19,0.977508,M,Control,9,ZW142_375,ZW142,375,0.000711157894736846,A
11A,0.99903,19,1.024138,F,Control,9,ZW142_375,ZW142,375,0.00132147368421053,A
11A,1.003384,17,1.016594,M,Rotenone,9,ZW142_375,ZW142,375,0.000777058823529408,A
11A,0.978108,15,0.991714,M,Control,1,ZW142_375,ZW142,375,0.000907066666666667,A
11A,0.947768,20,0.962086,M,Control,9,ZW142_375,ZW142,375,0.000715899999999997,A
11A,1.023868,14,1.040044,F,Rotenone,1,ZW142_375,ZW142,375,0.00115542857142857,A
11A,0.971594,19,0.983624,M,Control,1,ZW142_375,ZW142,375,0.000633157894736847,A
11A,1.03932,15,1.057924,F,Rotenone,9,ZW142_375,ZW142,375,0.00124026666666667,A
11A,1.030432,12,1.044376,F,Rotenone,9,ZW142_375,ZW142,375,0.001162,A
11A,1.002082,20,1.026962,F,Control,9,ZW142_375,ZW142,375,0.001244,A
11A,0.964036,18,0.977136,M,Control,9,ZW142_375,ZW142,375,0.000727777777777778,A
11A,1.024132,15,1.042864,F,Rotenone,9,ZW142_375,ZW142,375,0.0012488,A
11A,1.017842,16,1.036316,F,Rotenone,1,ZW142_375,ZW142,375,0.00115462500000001,A
11A,1.004592,19,1.019732,M,Rotenone,9,ZW142_375,ZW142,375,0.000796842105263166,A
11A,0.998878,17,1.019776,F,Control,1,ZW142_375,ZW142,375,0.00122929411764706,A
