Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set
8A,,,,F,Control,5
8A,,,,F,Control,5
8A,,,,F,Control,5
8B,1.002944,8,1.01282,F,Control,5
8B,0.99186,8,1.00095,F,Control,5
8B,0.99651,8,1.0061,F,Control,5
28A,0.999302,11,1.013012,F,Control,5
28A,0.999174,11,1.013488,F,Control,5
28A,0.999244,11,1.01332,F,Control,5
28B,1.00053,15,1.018924,F,Control,5
28B,0.999342,11,1.013224,F,Control,5
28B,0.998918,14,1.014422,F,Control,5
17A,0.999916,12,1.01395,F,Control,5
17A,0.994596,12,1.01032,F,Control,5
17A,0.997318,11,1.010888,F,Control,5
17B,0.999124,13,1.015894,F,Control,5
17B,0.994568,14,1.013178,F,Control,5
17B,1.003004,13,1.02008,F,Control,5
38A,0.998942,15,1.015224,F,Control,5
38A,1.002946,15,1.01985,F,Control,5
38A,1.000784,15,1.01877,F,Control,5
38B,0.997012,13,1.011598,F,Control,5
38B,1.0024,13,1.016042,F,Control,5
38B,0.999802,13,1.013434,F,Control,5
41A,1.000618,15,1.01792,F,Control,5
41A,0.999986,14,1.01626,F,Control,5
41A,0.993782,14,1.010576,F,Control,5
42A,0.992444,8,1.001942,F,Control,5
42A,1.00011,7,1.009052,F,Control,5
42A,0.992216,7,1.000438,F,Control,5
45A,1.00328,8,1.01136,F,Control,5
45A,1.000734,8,1.010016,F,Control,5
45A,1.001816,7,1.008454,F,Control,5
46A,0.999348,8,1.00846,F,Control,5
46A,1.003006,8,1.011476,F,Control,5
46A,1.000046,7,1.006704,F,Control,5
Ore,1.007312,13,1.02205,F,Control,5
Ore,0.995548,13,1.01129,F,Control,5
Ore,1.002332,12,1.016106,F,Control,5
375,0.99708,9,1.006554,F,Control,5
375,0.999384,8,1.008362,F,Control,5
375,0.99447,8,1.0027,F,Control,5
5B,1.000614,15,1.017456,F,Control,5
5B,0.99596,14,1.011366,F,Control,5
5B,0.995708,14,1.01074,F,Control,5
8A,,,,M,Control,5
8A,,,,M,Control,5
8A,,,,M,Control,5
8B,0.985778,14,0.996292,M,Control,5
8B,0.974836,14,0.985878,M,Control,5
8B,0.97159,13,0.996264,M,Control,5
28A,0.959086,12,0.96819,M,Control,5
28A,0.964096,13,0.973972,M,Control,5
28A,0.97164,13,0.981924,M,Control,5
28B,0.95627,12,0.96552,M,Control,5
28B,0.95937,12,0.968222,M,Control,5
28B,0.950636,13,0.96049,M,Control,5
17A,0.970674,12,0.979746,M,Control,5
17A,0.974374,12,0.98513,M,Control,5
17A,0.978112,13,0.988026,M,Control,5
17B,0.947748,15,0.96031,M,Control,5
17B,0.96617,14,0.978484,M,Control,5
17B,0.952816,14,0.963718,M,Control,5
38A,0.94792,14,0.95758,M,Control,5
38A,0.967604,13,0.976684,M,Control,5
38A,0.986582,13,0.995542,M,Control,5
38B,0.965982,14,0.974776,M,Control,5
38B,0.959858,14,0.9701,M,Control,5
38B,0.97884,14,0.987796,M,Control,5
41A,0.948084,15,0.959604,M,Control,5
41A,0.956144,15,0.96771,M,Control,5
41A,0.970698,15,0.9824,M,Control,5
42A,0.977928,8,0.98484,M,Control,5
42A,0.97529,8,0.982192,M,Control,5
42A,0.95868,9,0.966568,M,Control,5
45A,0.95975,14,0.968962,M,Control,5
45A,0.947822,14,0.957596,M,Control,5
45A,0.966118,13,0.974722,M,Control,5
46A,0.952596,12,0.960786,M,Control,5
46A,0.958688,12,0.966202,M,Control,5
46A,0.978396,12,0.985992,M,Control,5
Ore,0.9783,13,0.988296,M,Control,5
Ore,0.968878,12,0.978306,M,Control,5
Ore,0.966582,12,0.976108,M,Control,5
375,0.971438,13,0.979556,M,Control,5
375,0.959464,13,0.967654,M,Control,5
375,0.986376,13,0.994896,M,Control,5
5B,0.974604,14,0.984904,M,Control,5
5B,0.97084,13,0.98029,M,Control,5
5B,0.96425,13,0.97391,M,Control,5
8A,,,,F,Rotenone ,5
8A,,,,F,Rotenone ,5
8A,,,,F,Rotenone ,5
8B,1.000192,5,1.006086,F,Rotenone ,5
8B,1.027082,5,1.033144,F,Rotenone ,5
8B,1.023134,5,1.029616,F,Rotenone ,5
28A,1.028472,9,1.04056,F,Rotenone ,5
28A,1.03975,9,1.051364,F,Rotenone ,5
28A,1.024316,8,1.034292,F,Rotenone ,5
28B,1.020446,13,1.036058,F,Rotenone ,5
28B,1.024164,13,1.038662,F,Rotenone ,5
28B,1.02674,12,1.040628,F,Rotenone ,5
17A,1.027048,8,1.037342,F,Rotenone ,5
17A,1.024256,8,1.033232,F,Rotenone ,5
17A,1.021014,8,1.029264,F,Rotenone ,5
17B,1.039086,7,1.04769,F,Rotenone ,5
17B,1.023786,6,1.030944,F,Rotenone ,5
17B,1.01499,6,1.02174,F,Rotenone ,5
38A,1.020372,13,1.035348,F,Rotenone ,5
38A,1.01338,13,1.028012,F,Rotenone ,5
38A,1.023546,13,1.037968,F,Rotenone ,5
38B,1.023404,6,1.029718,F,Rotenone ,5
38B,1.03988,6,1.046754,F,Rotenone ,5
38B,1.022446,5,1.027642,F,Rotenone ,5
41A,1.019146,16,1.03727,F,Rotenone ,5
41A,1.025252,15,1.042442,F,Rotenone ,5
41A,1.00415,15,1.021706,F,Rotenone ,5
42A,,,,F,Rotenone ,5
42A,,,,F,Rotenone ,5
42A,,,,F,Rotenone ,5
45A,1.018746,11,1.030208,F,Rotenone ,5
45A,1.023936,11,1.035856,F,Rotenone ,5
45A,0.999804,10,1.010106,F,Rotenone ,5
46A,1.01894,7,1.025478,F,Rotenone ,5
46A,1.024018,6,1.02953,F,Rotenone ,5
46A,1.025626,6,1.031232,F,Rotenone ,5
Ore,1.018178,12,1.030704,F,Rotenone ,5
Ore,1.013572,11,1.02456,F,Rotenone ,5
Ore,1.015264,11,1.02732,F,Rotenone ,5
375,1.027384,14,1.040216,F,Rotenone ,5
375,1.01922,14,1.033776,F,Rotenone ,5
375,1.018198,13,1.031854,F,Rotenone ,5
5B,1.030156,14,1.046846,F,Rotenone ,5
5B,1.023762,14,1.041384,F,Rotenone ,5
5B,1.027576,13,1.04202,F,Rotenone ,5
8A,,,,M,Rotenone ,5
8A,,,,M,Rotenone ,5
8A,,,,M,Rotenone ,5
8B,1.004772,8,1.011386,M,Rotenone ,5
8B,0.998606,7,1.00509,M,Rotenone ,5
8B,1.011686,7,1.017294,M,Rotenone ,5
28A,1.00607,6,1.010834,M,Rotenone ,5
28A,1.003354,6,1.007884,M,Rotenone ,5
28A,0.998654,6,1.003516,M,Rotenone ,5
28B,0.997878,13,1.008118,M,Rotenone ,5
28B,1.005074,13,1.015596,M,Rotenone ,5
28B,0.999476,12,1.008748,M,Rotenone ,5
17A,1.008392,14,1.018828,M,Rotenone ,5
17A,1.000014,14,1.010986,M,Rotenone ,5
17A,1.000924,13,1.010862,M,Rotenone ,5
17B,1.008346,10,1.01684,M,Rotenone ,5
17B,1.002308,10,1.01085,M,Rotenone ,5
17B,1.000646,9,1.008006,M,Rotenone ,5
38A,1.001988,13,1.011,M,Rotenone ,5
38A,0.998468,14,1.007508,M,Rotenone ,5
38A,0.998746,14,1.007776,M,Rotenone ,5
38B,0.999676,11,1.006818,M,Rotenone ,5
38B,0.997978,11,1.005854,M,Rotenone ,5
38B,0.996902,10,1.003216,M,Rotenone ,5
41A,1.002054,13,1.011656,M,Rotenone ,5
41A,1.007372,12,1.01628,M,Rotenone ,5
41A,0.995494,12,1.0044,M,Rotenone ,5
42A,,,,M,Rotenone ,5
42A,,,,M,Rotenone ,5
42A,,,,M,Rotenone ,5
45A,1.002198,14,1.01219,M,Rotenone ,5
45A,0.99787,14,1.007594,M,Rotenone ,5
45A,0.998362,13,1.007122,M,Rotenone ,5
46A,1.002918,13,1.010862,M,Rotenone ,5
46A,1.00697,12,1.013654,M,Rotenone ,5
46A,1.011642,12,1.018586,M,Rotenone ,5
Ore,1.006872,14,1.01811,M,Rotenone ,5
Ore,0.997034,13,1.006624,M,Rotenone ,5
Ore,1.00627,13,1.016342,M,Rotenone ,5
375,0.996248,14,1.005152,M,Rotenone ,5
375,1.005226,14,1.014184,M,Rotenone ,5
375,1.010186,13,1.01831,M,Rotenone ,5
5B,1.00821,12,1.01735,M,Rotenone ,5
5B,1.000486,11,1.008752,M,Rotenone ,5
5B,0.998584,11,1.006904,M,Rotenone ,5
