Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set
2A,0.996828,20,1.022814,F,Control,9
2A,1.002962,21,1.030714,F,Control,9
2A,0.998362,20,1.023892,F,Control,9
4A,0.991996,15,1.010746,F,Control,9
4A,0.993904,13,1.009938,F,Control,9
4A,1.003098,14,1.020102,F,Control,9
7A,1.003084,19,1.027494,F,Control,9
7A,1.007184,16,1.02655,F,Control,9
7A,0.993698,21,1.018874,F,Control,9
11A,0.99903,19,1.024138,F,Control,9
11A,0.994314,19,1.019114,F,Control,9
11A,1.002082,20,1.026962,F,Control,9
13A,0.99668,19,1.01768,F,Control,9
13A,0.996348,19,1.017046,F,Control,9
13A,1.000798,20,1.022042,F,Control,9
16A,1.002876,19,1.023638,F,Control,9
16A,1.00257,20,1.022876,F,Control,9
16A,1.002908,16,1.019778,F,Control,9
19A,0.993474,20,1.021674,F,Control,9
19A,1.002868,20,1.03204,F,Control,9
19A,1.002978,16,1.02545,F,Control,9
24A,0.998116,19,1.023536,F,Control,9
24A,0.9994,18,1.023672,F,Control,9
24A,0.994552,14,1.01267,F,Control,9
26A,1.001456,19,1.025752,F,Control,9
26A,0.9999,21,1.022822,F,Control,9
26A,1.002252,19,1.026462,F,Control,9
29A,0.996246,20,1.020222,F,Control,9
29A,1.00737,16,1.02635,F,Control,9
29A,0.99741,21,1.021766,F,Control,9
34A,1.00716,20,1.032514,F,Control,9
34A,0.995456,23,1.02356,F,Control,9
34A,1.007338,18,1.029736,F,Control,9
36A,1.00061,21,1.025022,F,Control,9
36A,0.996392,19,1.018104,F,Control,9
36A,0.995504,20,1.017792,F,Control,9
41A,0.99536,12,1.01126,F,Control,9
41A,1.0023,10,1.016126,F,Control,9
41A,0.999186,12,1.015438,F,Control,9
42A,1.001448,13,1.01841,F,Control,9
42A,0.99371,14,1.01226,F,Control,9
42A,0.994596,14,1.013066,F,Control,9
45A,0.99375,19,1.01592,F,Control,9
45A,1.002134,19,1.02349,F,Control,9
45A,1.0009,19,1.023676,F,Control,9
46A,1.000534,22,1.02631,F,Control,9
46A,0.991774,15,1.009208,F,Control,9
46A,0.99646,20,1.019048,F,Control,9
2A,0.971146,16,0.98347,M,Control,9
2A,0.963326,18,0.977202,M,Control,9
2A,0.951234,18,0.965938,M,Control,9
4A,0.963968,21,0.97944,M,Control,9
4A,0.956596,20,0.971312,M,Control,9
4A,0.974708,19,0.989018,M,Control,9
7A,0.958736,16,0.969948,M,Control,9
7A,0.956324,21,0.971998,M,Control,9
7A,0.967446,18,0.981686,M,Control,9
11A,0.947768,20,0.962086,M,Control,9
11A,0.964036,18,0.977136,M,Control,9
11A,0.963996,19,0.977508,M,Control,9
13A,0.963992,12,0.971958,M,Control,9
13A,0.947642,10,0.954788,M,Control,9
