Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set
2B,0.994252,18,1.01639,F,Control,9
2B,0.992068,21,1.016148,F,Control,9
2B,0.993896,16,1.012904,F,Control,9
4B,0.992238,19,1.015898,F,Control,9
4B,0.993982,22,1.021594,F,Control,9
4B,1.007564,19,1.030626,F,Control,9
7B,0.998028,15,1.01657,F,Control,9
7B,1.000742,18,1.022152,F,Control,9
7B,0.997452,21,1.023438,F,Control,9
11B,1.000068,19,1.02133,F,Control,9
11B,1.000412,19,1.021544,F,Control,9
11B,0.99236,19,1.01273,F,Control,9
13B,0.996208,20,1.017398,F,Control,9
13B,0.993202,20,1.02218,F,Control,9
13B,1.001106,19,1.012938,F,Control,9
16B,0.994738,20,1.014806,F,Control,9
16B,1.002982,20,1.024084,F,Control,9
16B,0.998866,20,1.019322,F,Control,9
19B,0.99714,19,1.02167,F,Control,9
19B,1.002208,20,1.029498,F,Control,9
19B,0.996816,21,1.024806,F,Control,9
24B,1.003082,18,1.025328,F,Control,9
24B,1.000722,18,1.015654,F,Control,9
24B,0.99326,20,1.025718,F,Control,9
26B,0.994726,14,1.013346,F,Control,9
26B,0.994494,18,1.01616,F,Control,9
26B,0.999832,16,1.020728,F,Control,9
29B,1.001266,19,1.022114,F,Control,9
29B,0.999086,19,1.019494,F,Control,9
29B,0.993666,20,1.014454,F,Control,9
34B,0.996432,17,1.015196,F,Control,9
34B,1.002384,20,1.020744,F,Control,9
34B,0.994386,19,1.02624,F,Control,9
36B,1.001582,20,1.02247,F,Control,9
36B,1.002446,19,1.022654,F,Control,9
36B,1.001472,20,1.022162,F,Control,9
41B,0.997076,18,1.019538,F,Control,9
41B,0.996428,17,1.017428,F,Control,9
41B,0.993076,16,1.013888,F,Control,9
42B,0.995628,17,1.01542,F,Control,9
42B,1.002322,18,1.025048,F,Control,9
42B,0.993248,18,1.014328,F,Control,9
45B,0.993634,20,1.016966,F,Control,9
45B,0.996102,19,1.0175768,F,Control,9
45B,1.000588,21,1.02536,F,Control,9
46B,0.993508,20,1.015184,F,Control,9
46B,0.999764,20,1.022266,F,Control,9
46B,0.997976,21,1.022864,F,Control,9
2B,0.971382,16,0.98414,M,Control,9
2B,0.986036,20,1.001828,M,Control,9
2B,0.955886,20,0.971712,M,Control,9
4B,0.96361,18,0.9977324,M,Control,9
4B,0.985496,17,0.997784,M,Control,9
4B,0.956078,21,0.972344,M,Control,9
7B,0.966288,17,0.979712,M,Control,9
7B,0.953272,18,0.96835,M,Control,9
7B,0.966394,17,0.979868,M,Control,9
11B,0.967992,20,0.981856,M,Control,9
11B,0.958804,20,0.972336,M,Control,9
11B,0.959666,19,0.972588,M,Control,9
13B,0.952586,19,0.96646,M,Control,9
13B,0.947464,20,0.961358,M,Control,9
13B,0.955938,19,0.970686,M,Control,9
16B,0.9526,20,0.966684,M,Control,9
16B,0.985656,21,0.99892,M,Control,9
16B,0.950932,20,0.964068,M,Control,9
19B,0.96728,20,0.98284,M,Control,9
19B,0.986126,18,1.00011,M,Control,9
19B,0.977284,21,0.993366,M,Control,9
24B,0.967336,18,0.98143,M,Control,9
24B,0.967312,20,0.982932,M,Control,9
24B,0.958798,20,0.975132,M,Control,9
26B,0.955858,17,0.969838,M,Control,9
26B,0.964512,16,0.977562,M,Control,9
26B,0.970972,17,0.984668,M,Control,9
29B,0.977448,19,0.989698,M,Control,9
29B,0.967494,18,0.980348,M,Control,9
29B,0.959044,16,0.970368,M,Control,9
34B,0.947388,19,0.962102,M,Control,9
34B,0.986028,21,1.002626,M,Control,9
34B,0.95933,21,0.973792,M,Control,9
36B,0.947592,20,0.961452,M,Control,9
36B,0.947576,19,0.961264,M,Control,9
36B,0.964054,25,0.981072,M,Control,9
41B,0.950444,19,0.96661,M,Control,9
41B,0.958322,19,0.974126,M,Control,9
41B,0.950576,20,0.966886,M,Control,9
42B,0.978556,18,0.993538,M,Control,9
42B,0.971534,18,0.985458,M,Control,9
42B,0.95621,16,0.968966,M,Control,9
45B,0.958994,20,0.974404,M,Control,9
45B,0.98667,20,1.001734,M,Control,9
45B,0.959156,20,0.97386,M,Control,9
46B,0.963772,19,0.976262,M,Control,9
46B,0.959028,19,0.972572,M,Control,9
46B,0.950894,20,0.96537,M,Control,9
2B,1.02306,16,1.04234,F,Rotenone,9
2B,1.018368,20,1.04452,F,Rotenone,9
2B,1.004436,20,1.029394,F,Rotenone,9
4B,1.011546,19,1.036202,F,Rotenone,9
4B,0.999458,23,1.02866,F,Rotenone,9
4B,1.011776,21,1.038936,F,Rotenone,9
7B,1.023178,22,1.051376,F,Rotenone,9
7B,1.014314,17,1.035268,F,Rotenone,9
7B,1.040448,19,1.063668,F,Rotenone,9
