Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set,MitoNuc,Mito,Nuc,weight_per_fly,Build,z,Set_adj,Pos_adj,Y_adj
10A,1.000538,20,1.015258,M,Rotenone,2,ZW144_375,ZW144,375,0.000736000000000003,A,-0.131009568194847,0.000718139411027571,0.000751470968198374,0.000769331557170806
10A,0.959574,19,0.973779,M,Control,1,ZW144_375,ZW144,375,0.000747631578947364,A,-0.0826372783789856,0.000704426334064328,0.000743674151688568,0.000786879396571604
10A,1.001718,16,1.018836,F,Control,1,ZW144_375,ZW144,375,0.001069875,A,-0.526261851212568,0.00109010060601164,0.00118354565556564,0.001163320049554
10A,0.958684,19,0.97225,M,Control,2,ZW144_375,ZW144,375,0.000713999999999998,A,-0.22250104848013,0.000819221475256768,0.000743674151688568,0.000638452676431798
10A,1.002964,15,1.020082,F,Control,2,ZW144_375,ZW144,375,0.0011412,A,-0.182933954492764,0.00124479621146398,0.00118354565556564,0.00107994944410166
10A,1.010368,18,1.024952,F,Rotenone,2,ZW144_375,ZW144,375,0.000810222222222231,A,-1.77611873269726,0.00109585833333333,0.00116980665562678,0.000884170544515679
10A,1.019248,12,1.029674,F,Rotenone,2,ZW144_375,ZW144,375,0.000868833333333337,A,-1.49399003305217,0.00109585833333333,0.00116980665562678,0.000942781655626785
10A,0.993852,18,1.014226,F,Control,2,ZW144_375,ZW144,375,0.0011318888888889,A,-0.22775364175387,0.00124479621146398,0.00118354565556564,0.00107063833299056
10A,0.958328,19,0.971912,M,Control,2,ZW144_375,ZW144,375,0.000714947368421055,A,-0.21856122397022,0.000819221475256768,0.000743674151688568,0.000639400044852855
10A,0.974754,18,0.986314,M,Control,1,ZW144_375,ZW144,375,0.000642222222222223,A,-0.521003554865367,0.000704426334064328,0.000743674151688568,0.000681470039846463
10A,1.000112,20,1.014498,M,Rotenone,2,ZW144_375,ZW144,375,0.000719300000000001,A,-0.200459919138668,0.000718139411027571,0.000751470968198374,0.000752631557170804
10A,1.039824,17,1.057162,F,Rotenone,1,ZW144_375,ZW144,375,0.00101988235294117,A,-0.766904968859446,0.00104212393115141,0.00116980665562678,0.00114756507741654
10A,1.0243,12,1.038568,F,Rotenone,1,ZW144_375,ZW144,375,0.001189,A,0.0471547025448327,0.00104212393115141,0.00116980665562678,0.00131668272447537
10A,1.007428,18,1.027946,F,Control,1,ZW144_375,ZW144,375,0.00113988888888889,A,-0.189245079906622,0.00109010060601164,0.00118354565556564,0.00123333393844289
10B,0.999694,14,1.016262,F,Control,1,ZW144_375,ZW144,375,0.00118342857142857,B,0.0203362398297449,0.00109010060601164,0.00118354565556564,0.00127687362098257
10B,1.026606,18,1.049181,F,Rotenone,1,ZW144_375,ZW144,375,0.00125416666666667,B,0.360839029259285,0.00104212393115141,0.00116980665562678,0.00138184939114204
10B,0.959206,12,0.970552,M,Control,1,ZW144_375,ZW144,375,0.000945499999999997,B,0.740238846339781,0.000704426334064328,0.000743674151688568,0.000984747817624237
10B,1.028084,19,1.050863,F,Rotenone,1,ZW144_375,ZW144,375,0.00119889473684211,B,0.0947837132507223,0.00104212393115141,0.00116980665562678,0.00132657746131748
10B,0.996368,11,1.009214,F,Control,1,ZW144_375,ZW144,375,0.00116781818181818,B,-0.0548054668917678,0.00109010060601164,0.00118354565556564,0.00126126323137218
10B,0.95958,15,0.980172,M,Control,1,ZW144_375,ZW144,375,0.0013728,B,2.51725291569854,0.000704426334064328,0.000743674151688568,0.00141204781762424
